normalized_point,LORA_current_uA,LORA_max_voltage,LORA_min_voltage,BLE_current_uA,BLE_min_voltage,BLE_max_voltage,TX_current_uA,TX_max_voltage,TX_min_voltage,VDD_CAP_current_uA,VDD_CAP_max_voltage,VDD_CAP_min_voltage
32,-45,-0.195695746,-0.242873254,-45,-0.795774339,-0.757209661,-45,-0.207734256,-0.255825744,-45,-0.519080682,-0.560092652
33,-40,-0.191313371,-0.238564629,-40,-0.792071017,-0.753166983,-40,-0.202927635,-0.250684365,-40,-0.514922037,-0.554512296
34,-35,-0.186583784,-0.232211216,-35,-0.788017801,-0.748570199,-35,-0.197460525,-0.244690475,-35,-0.509441864,-0.548716469
35,-30,-0.180695947,-0.225683053,-30,-0.783142325,-0.743080675,-30,-0.191085582,-0.237604418,-30,-0.503568079,-0.541534254
36,-25,-0.173553905,-0.218620095,-25,-0.777290468,-0.736279532,-25,-0.183249181,-0.229464819,-25,-0.495059405,-0.533148928
37,-20,-0.16434055,-0.20836345,-20,-0.769663672,-0.727550328,-20,-0.173219545,-0.218998455,-20,-0.484693169,-0.520785165
38,-15,-0.151745233,-0.195179767,-15,-0.758922584,-0.715256416,-15,-0.158894143,-0.204688857,-15,-0.470644366,-0.501997634
39,-10,-0.13003084,-0.17193516,-10,-0.740839145,-0.694527855,-10,-0.133003656,-0.180267344,-10,-0.441195038,-0.474613295
40,-5,0.00051305,-0.04254205,-5,-0.620701386,-0.552700614,-5,0.002922729,-0.007088729,-5,-0.426116726,-0.458822274
41,0,0.754365059,0.720315941,0,0.710995445,0.753335555,0,0.388147515,0.322317485,0,,
42,5,0.772430644,0.739746356,5,0.738545275,0.771260725,5,0.67951823,0.63107777,,,
43,10,0.783080885,0.750348115,10,0.746849969,0.781909031,10,0.719640725,0.702180275,,,
44,15,0.790600852,0.758190148,15,0.756622677,0.789448323,15,0.736841859,0.722402141,,,
45,20,0.796518052,0.763970948,20,0.762494577,0.795268423,20,0.747593631,0.734058369,,,
46,25,0.801236892,0.768916108,25,0.767269648,0.800103352,25,0.755450302,0.742073698,,,
47,30,0.805466505,0.772900495,30,0.771282295,0.804324705,30,0.761663247,0.748066753,,,
48,35,0.808996126,0.776530874,35,0.774841425,0.807816575,35,0.766822741,0.752903259,,,
49,40,0.812083859,0.779682141,40,0.777922044,0.810965956,40,0.771239595,0.757000405,,,
50,45,0.814951368,0.782505632,45,0.780761595,0.813750405,45,0.77507435,0.76052565,,,
51,50,0.817376932,0.784986068,50,0.783282894,0.816302106,50,0.778527425,0.763654575,,,
52,55,0.819870224,0.787160776,55,0.785530503,0.818678497,55,0.781636384,0.766432616,,,
53,60,0.822011186,0.789512814,60,0.787678037,0.820838963,60,0.784464682,0.768953318,,,
54,65,0.824040951,0.791256049,65,0.789630751,0.822857249,65,0.787084581,0.771239419,,,
55,70,0.825940365,0.793231635,70,0.791521192,0.824730808,70,0.789504752,0.773348248,,,
56,75,0.827647464,0.794833536,75,0.793216491,0.826518509,75,0.791756398,0.775279602,,,
57,80,0.829347582,0.796729418,80,0.794865815,0.828194185,80,0.79386055,0.77709345,,,
58,85,0.83092925,0.79808675,85,0.796381073,0.829725927,85,0.795850237,0.778779763,,,
59,90,0.832382209,0.799684791,90,0.797785737,0.831242263,90,0.797746488,0.780352512,,,
60,95,0.83379869,0.80092631,95,0.799206002,0.832659998,95,0.799523022,0.781856978,,,
61,100,0.83521187,0.80218713,100,0.800520446,0.834023554,100,0.801225823,0.783269177,,,
62,105,0.836496172,0.803508828,105,0.80179115,0.83530785,105,0.802849671,0.784604329,,,
63,110,0.837752492,0.804701508,110,0.80296702,0.83655498,110,0.804392598,0.785870402,,,
64,115,0.838929868,0.805863132,115,0.804098655,0.837747345,115,0.80587144,0.78707556,,,
65,120,0.840120624,0.806344376,120,0.805167757,0.838893243,120,0.807312986,0.788236014,,,
66,125,0.841169296,0.808104704,125,0.806263061,0.840002939,125,0.808677354,0.789342646,,,
67,130,0.842278395,0.809097605,130,0.807287093,0.841070907,130,0.810004029,0.790392971,,,
68,135,0.843273109,0.810200891,135,0.808233373,0.842094627,135,0.811282501,0.791411499,,,
69,140,0.844312332,0.811149668,140,0.809205457,0.843086543,140,0.81251612,0.79239888,,,
70,145,0.845229082,0.811859918,145,0.810124433,0.844060567,145,0.813705187,0.793330813,,,
71,150,0.846209804,0.812937196,150,0.810942146,0.844988854,150,0.81486651,0.79424149,,,
72,155,0.847133422,0.813703578,155,0.811870239,0.845848761,155,0.815991318,0.795118682,,,
73,160,0.848016594,0.814617406,160,0.812689247,0.846746753,160,0.817084755,0.795968245,,,
74,165,0.848883629,0.815444371,165,0.813506815,0.847645185,165,0.818141806,0.796779194,,,
75,170,0.849714115,0.816293885,170,0.814314973,0.848468027,170,0.819169314,0.797581686,,,
76,175,0.850528061,0.816861939,175,0.815025382,0.849298618,175,0.820168904,0.798357096,,,
77,180,0.851312947,0.817708053,180,0.815809705,0.850098295,180,0.821158799,0.799099201,,,
78,185,0.852035557,0.818564443,185,0.816535292,0.850866708,185,0.821675854,0.799867146,,,
79,190,0.852870124,0.819242876,190,0.817249834,0.851615166,190,0.823036167,0.800529833,,,
80,195,0.853603833,0.819916167,195,0.817930914,0.852371086,195,0.82394036,0.80122664,,,
81,200,,,200,,,200,,,,,
