Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
121,17.3,13.8,5.2109,3.776,99.5038,99.6179,09:02:49.588
122,17.5,14.1,5.0598,4.2291,99.6015,99.749,09:02:50.355
123,17.0,13.8,4.3802,4.1914,98.896,99.6671,09:02:51.116
124,17.5,15.0,3.6627,4.0026,99.75,100.1203,09:02:51.873
125,17.5,14.5,6.3059,4.6822,119.4667,102.3409,09:02:52.637
126,17.5,13.6,4.9843,3.2851,119.1874,120.2869,09:02:53.397
127,17.5,14.1,5.664,5.5885,120.2117,119.3132,09:02:54.160
128,17.5,13.8,4.5312,3.4362,119.7698,120.2636,09:02:54.920
129,17.9,14.1,4.871,5.3242,120.1013,120.4774,09:02:55.718
130,17.9,14.1,4.0781,4.5312,120.7015,120.2499,09:02:56.480
131,17.5,14.1,5.2864,4.4557,119.7167,120.2111,09:02:57.254
132,17.7,14.1,4.9843,4.3424,120.3166,119.8317,09:02:58.016
133,17.5,14.8,5.1354,4.9466,120.2003,120.0813,09:02:58.774
134,17.9,13.8,7.401,4.3802,119.6037,120.2805,09:02:59.535
135,17.5,14.5,6.1171,5.2486,119.8496,119.6759,09:03:00.299
136,17.3,14.5,5.4752,4.1158,119.5073,120.2077,09:03:01.064
137,17.5,14.1,4.3046,5.0221,120.3765,119.8808,09:03:01.837
138,17.7,14.1,6.0416,4.4934,120.1302,119.7216,09:03:02.612
139,17.5,14.1,5.5507,4.5312,120.2926,120.545,09:03:03.370
140,18.2,14.1,5.5885,4.1914,120.3377,119.862,09:03:04.129
141,17.9,14.5,4.9466,3.0586,120.7122,120.1077,09:03:04.894
142,17.9,14.5,4.9843,4.569,120.6303,119.2846,09:03:05.655
143,17.5,14.3,4.6445,3.4362,120.1768,120.1969,09:03:06.415
144,17.9,14.3,6.1171,4.9843,119.8904,119.4485,09:03:07.174
145,17.7,14.3,4.4934,3.5117,99.8578,99.7313,09:03:07.930
146,17.5,15.0,3.5117,3.5872,99.6165,99.9879,09:03:08.694
147,18.2,14.5,4.72,4.4557,99.53,99.0086,09:03:09.455
148,17.9,14.3,4.6445,4.8333,99.7086,99.4618,09:03:10.216
149,18.2,14.1,4.6067,3.3606,99.704,99.5409,09:03:10.974
150,17.9,14.5,4.3046,3.3984,99.2623,99.7358,09:03:11.752
151,17.7,14.5,5.513,3.9648,99.1181,99.832,09:03:12.516
152,17.7,14.8,4.72,4.0026,99.4122,99.1934,09:03:13.261
153,18.4,14.1,4.5312,3.4739,99.5968,99.4635,09:03:14.019
154,18.2,14.5,5.5885,3.6627,99.7316,99.6042,09:03:14.828
155,18.2,14.5,4.6445,4.3424,99.6885,99.488,09:03:15.594
156,18.2,14.1,4.7955,3.5494,99.6824,99.5052,09:03:16.354
157,18.2,14.1,4.0403,3.5117,100.3053,99.9497,09:03:17.119
158,18.2,14.3,4.7578,4.3802,99.5847,99.399,09:03:17.883
159,17.5,14.3,5.0976,3.927,99.5758,99.777,09:03:18.673
160,17.9,14.3,5.7395,3.3606,99.577,99.3686,09:03:19.431
161,17.7,14.1,4.1914,4.0781,99.2018,99.8927,09:03:20.191
162,17.9,14.5,4.9088,4.2291,99.4966,99.7747,09:03:20.956
163,17.9,14.3,5.4752,4.1914,99.6317,99.6027,09:03:21.731
164,18.4,14.1,3.625,2.1146,99.9604,99.7637,09:03:22.489
165,17.5,14.3,3.5117,2.7565,80.5705,80.1861,09:03:23.264
166,17.9,14.1,3.8138,3.1341,80.1875,80.3955,09:03:24.053
167,17.9,14.1,3.2851,2.9075,80.4027,80.7023,09:03:24.817
168,18.2,14.5,3.5117,3.8893,80.2055,80.4588,09:03:25.564
169,17.9,14.1,3.5872,3.0586,80.2835,80.8463,09:03:26.324
170,18.2,14.1,3.7382,3.5117,80.1875,81.0161,09:03:27.087
171,18.2,15.0,4.1158,3.2851,80.2992,80.76,09:03:27.847
172,17.7,14.5,4.5312,3.3229,78.9052,80.5344,09:03:28.623
173,18.2,14.8,4.6822,3.6627,79.6013,80.5568,09:03:29.384
174,17.7,14.5,4.1158,2.9453,80.7539,80.1981,09:03:30.156
175,18.2,14.1,4.6445,2.9075,80.9736,79.9108,09:03:30.933
176,18.4,15.0,4.3046,3.7005,80.5916,80.1173,09:03:31.695
177,17.5,14.5,5.5885,3.7382,80.7192,79.7924,09:03:32.455
178,18.4,14.5,4.6067,3.8893,80.2345,80.3059,09:03:33.227
179,17.7,14.5,4.4934,4.1536,80.6538,80.2148,09:03:33.985
180,17.7,15.0,4.0403,4.4557,80.7811,80.416,09:03:34.762
181,18.2,14.1,4.2669,3.625,80.4828,80.6661,09:03:35.538
182,18.4,15.2,4.3424,4.1536,80.8729,80.4168,09:03:36.300
183,18.2,14.8,4.3802,4.1914,80.167,80.0721,09:03:37.078
184,18.2,13.8,3.8515,3.776,59.7937,59.918,09:03:37.867
185,18.2,14.1,3.8138,3.1341,59.7117,59.7991,09:03:38.634
186,18.2,14.1,3.8515,2.832,60.5597,59.8304,09:03:39.393
187,17.7,14.5,3.9648,3.0208,60.2198,59.9498,09:03:40.152
188,18.2,13.6,3.8515,2.7942,60.0259,60.1481,09:03:40.928
189,18.2,14.8,3.6627,2.9453,60.3625,60.186,09:03:41.688
190,18.2,14.5,2.983,2.4922,59.7302,59.8078,09:03:42.449
191,18.2,14.1,4.0781,2.9075,60.2641,60.3357,09:03:43.239
192,17.9,13.6,3.8515,3.6627,60.0045,59.9688,09:03:43.998
193,18.4,15.0,4.5312,3.3984,59.8374,59.9772,09:03:44.761
194,17.9,15.0,3.4739,2.7942,59.6893,60.4352,09:03:45.537
195,18.2,14.1,3.2851,2.6432,60.1291,59.7482,09:03:46.300
196,18.2,14.3,3.2851,2.6432,59.9874,60.2586,09:03:47.059
197,17.9,15.2,3.5117,3.0963,60.1935,60.1249,09:03:47.837
198,18.2,14.5,4.2291,2.7942,59.3995,59.6491,09:03:48.597
199,17.7,14.3,3.8515,2.4166,60.5955,60.2972,09:03:49.367
200,18.2,14.3,4.2669,3.1718,59.7982,60.2368,09:03:50.158
