Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
93,10.9,8.2,9.1851,5.248628571,8.4582,4.833257143,98.6419,99.7422,02:42.3
94,10.9,8.2,8.9869,5.135371429,6.9384,3.9648,100.1855,100.0009,02:43.1
95,11.1,8.4,7.3349,4.191371429,6.8062,3.889257143,80.2801,80.3608,02:43.9
96,10.9,8.6,7.9957,4.568971429,6.2776,3.5872,79.6827,80.2835,02:44.6
97,11.3,8.2,7.3349,4.191371429,7.5331,4.304628571,80.1734,80.3577,02:45.4
98,11.3,8.2,8.5243,4.871028571,6.608,3.776,80.3821,80.632,02:46.1
99,10.4,8.4,8.9208,5.0976,8.1939,4.682228571,80.9352,80.4917,02:46.9
100,11.3,8.2,7.8635,4.493428571,8.1939,4.682228571,80.6905,80.2415,02:47.7
101,11.1,8.2,7.7314,4.417942857,7.0045,4.002571429,80.6621,80.3179,02:48.4
102,10.9,9.5,8.7226,4.984342857,6.2776,3.5872,80.4749,80.088,02:49.2
103,11.1,8.4,7.1366,4.078057143,6.5419,3.738228571,80.1245,80.2423,02:50.0
104,11.3,8.6,7.8635,4.493428571,5.4186,3.096342857,80.2753,80.235,02:50.7
105,11.3,8.6,7.7314,4.417942857,5.4846,3.134057143,80.6634,80.3585,02:51.5
106,10.9,8.8,8.3922,4.795542857,5.815,3.322857143,80.3202,80.518,02:52.3
107,11.3,8.6,7.1366,4.078057143,5.4186,3.096342857,80.3894,80.7494,02:53.0
108,11.1,9.1,5.6829,3.247371429,5.5507,3.171828571,59.9877,59.8578,02:53.8
109,10.9,8.6,6.3437,3.624971429,5.4846,3.134057143,59.7799,60.2536,02:54.6
110,11.3,8.4,7.0045,4.002571429,5.4846,3.134057143,59.8699,59.9758,02:55.3
111,11.1,8.2,5.6168,3.2096,5.6168,3.2096,59.8572,59.9347,02:56.1
112,10.7,9.1,6.7402,3.851542857,4.5595,2.605428571,60.1379,59.0473,02:56.9
113,10.9,8.6,6.4098,3.662742857,5.3525,3.058571429,60.0634,59.9583,02:57.6
114,10.9,9.1,7.1366,4.078057143,5.1542,2.945257143,60.2847,59.7226,02:58.4
115,11.3,9.1,4.956,2.832,4.7578,2.718742857,60.0482,59.9342,02:59.1
116,11.3,8.8,6.1454,3.511657143,3.5022,2.001257143,60.0525,59.9049,02:59.9
117,11.3,8.6,6.8062,3.889257143,5.2203,2.983028571,59.9837,59.9065,03:00.7
118,11.3,8.6,7.7314,4.417942857,5.6829,3.247371429,59.939,59.7286,03:01.4
119,11.1,9.3,7.7314,4.417942857,6.5419,3.738228571,60.0137,59.7424,03:02.2
120,10.7,8.6,5.9472,3.3984,5.6829,3.247371429,59.489,60.7326,03:03.0
121,11.1,8.6,5.6829,3.247371429,4.163,2.378857143,39.697,39.3568,03:03.7
122,10.9,9.1,4.6256,2.6432,5.9472,3.3984,39.5672,39.5252,03:04.5
123,10.9,8.6,5.5507,3.171828571,5.8811,3.360628571,39.3534,39.6477,03:05.3
124,11.1,7.9,4.7578,2.718742857,4.8238,2.756457143,38.9909,39.3889,03:06.0
125,11.3,8.2,4.8899,2.794228571,4.7578,2.718742857,39.1639,39.4783,03:06.8
126,11.1,9.5,4.8899,2.794228571,4.6917,2.680971429,39.7391,39.6911,03:07.6
127,10.9,8.8,7.2688,4.1536,5.4846,3.134057143,39.5742,39.435,03:08.3
128,10.9,8.6,3.8987,2.227828571,4.6256,2.6432,39.6669,40.5827,03:09.1
129,10.9,8.6,5.6829,3.247371429,4.097,2.341142857,39.5925,39.9461,03:09.8
130,10.9,8.6,4.4934,2.567657143,4.6917,2.680971429,40.081,39.5557,03:10.6
131,10.9,9.1,5.9472,3.3984,4.6917,2.680971429,39.7569,39.3784,03:11.4
132,11.1,8.6,6.1454,3.511657143,4.4274,2.529942857,39.565,39.4161,03:12.2
133,11.3,8.6,4.8238,2.756457143,5.2864,3.0208,39.6122,39.3773,03:12.9
134,10.9,8.2,3.6344,2.0768,2.9075,1.661428571,21.2179,20.4021,03:13.7
135,10.9,8.2,3.5022,2.001257143,3.7666,2.152342857,20.2209,20.0879,03:14.5
136,11.1,9.1,4.6917,2.680971429,3.304,1.888,20.2917,20.721,03:15.2
137,11.3,8.2,3.4362,1.963542857,3.1058,1.774742857,20.6417,20.2262,03:16.0
138,10.9,9.5,3.1058,1.774742857,3.8987,2.227828571,20.2941,20.4393,03:16.7
139,10.7,9.1,4.6917,2.680971429,2.8414,1.623657143,20.4642,20.3346,03:17.5
140,10.7,8.4,4.6917,2.680971429,4.2952,2.4544,20.4683,20.7394,03:18.3
141,10.9,8.6,3.5022,2.001257143,3.1718,1.812457143,20.3535,20.3273,03:19.0
142,11.3,8.6,3.9648,2.2656,3.9648,2.2656,20.2465,20.4382,03:19.8
143,10.9,9.1,4.8899,2.794228571,2.8414,1.623657143,20.2606,20.4911,03:20.6
144,10.7,8.6,3.4362,1.963542857,4.0309,2.303371429,20.2345,19.9765,03:21.3
145,10.9,8.8,3.9648,2.2656,3.3701,1.925771429,20.1617,20.4401,03:22.1
146,10.9,8.6,3.4362,1.963542857,4.4934,2.567657143,20.44,20.3203,03:22.9
