Log,cp_pressure,mixer_temperature_Funnel,cp_flowrate,mixer_pressure,cp_temperature,ac_flowrate,mixer_speed_M2,mixer_torque_M1,mixer_speed_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_temperature_Funnel_outlet,mixer_motor_temperature_M1,Time
28,0.554,26.8,1.5,0.26,24.8,0.0,59.929,1.737,59.929,1.812,20.7,27.9,19.8,11:21:39.112
29,0.469,25.3,1.5,0.209,24.8,0.0,60.082,1.812,60.082,1.51,21.6,25.8,19.8,11:21:40.219
30,0.482,25.3,1.5,0.237,24.8,0.0,59.915,1.85,59.915,1.775,21.6,25.8,20.2,11:21:41.332
31,0.502,26.8,1.5,0.243,24.8,0.0,59.921,2.266,59.921,1.888,21.6,25.8,19.3,11:21:42.448
32,0.533,25.3,1.5,0.245,26.3,0.0,59.909,2.077,59.909,1.926,21.1,25.8,19.1,11:21:43.554
33,0.483,25.4,1.5,0.222,24.9,0.0,60.029,1.699,60.029,2.417,21.1,25.8,18.8,11:21:44.658
34,0.477,25.3,1.5,0.199,24.9,0.0,59.693,1.926,59.693,2.001,20.9,27.9,18.4,11:21:45.761
35,0.436,25.4,1.5,0.309,26.3,0.0,60.481,1.322,60.481,1.699,21.3,25.8,18.6,11:21:46.864
36,0.431,26.8,1.5,0.275,24.9,0.0,60.001,1.775,60.001,1.737,21.3,27.9,19.5,11:21:47.972
37,0.555,25.4,1.5,0.256,24.9,0.0,59.855,2.152,59.855,1.888,21.1,25.8,19.5,11:21:49.077
38,0.521,25.4,1.5,0.242,24.9,0.0,60.006,1.775,60.006,1.964,21.1,25.8,19.5,11:21:50.181
39,0.541,25.3,1.5,0.216,24.9,0.0,60.085,1.661,60.085,2.492,21.1,27.9,19.8,11:21:51.287
40,0.496,25.4,1.5,0.233,26.3,0.0,59.909,1.548,59.909,2.228,21.1,25.9,19.5,11:21:52.391
41,0.505,26.8,1.5,0.209,24.9,0.0,59.973,1.624,59.973,1.775,21.6,27.9,19.8,11:21:53.496
42,0.525,25.4,1.5,0.208,26.3,0.0,60.327,1.473,60.327,1.737,21.3,25.8,19.8,11:21:54.599
43,0.503,26.8,1.5,0.251,24.9,0.0,60.084,2.379,60.084,3.134,21.3,25.8,19.3,11:21:55.702
44,0.555,25.4,1.5,0.261,24.9,0.0,60.612,1.888,60.612,1.964,21.1,27.9,18.8,11:21:56.806
45,0.503,25.4,1.5,0.208,26.3,0.0,59.948,2.115,59.948,2.341,21.3,25.8,19.3,11:21:57.915
46,0.448,26.8,1.5,0.319,24.9,0.0,59.897,1.473,59.897,2.039,21.3,27.9,19.8,11:21:59.022
47,0.511,25.4,1.5,0.247,26.4,0.0,60.06,1.246,60.06,2.87,21.6,25.8,18.8,11:22:00.126
48,0.521,25.4,1.5,0.208,24.9,0.0,59.924,1.246,59.924,1.926,21.1,25.8,19.3,11:22:01.234
49,0.515,25.4,1.5,0.179,24.9,0.0,59.986,1.699,59.986,1.775,21.3,28.0,19.1,11:22:02.338
50,0.502,25.4,1.5,0.27,26.4,0.0,60.276,2.115,60.276,2.039,21.6,25.8,19.8,11:22:03.446
51,0.53,26.8,1.5,0.288,24.9,0.0,59.884,2.19,59.884,1.926,21.8,27.9,19.3,11:22:04.551
52,0.513,25.4,1.5,0.231,26.4,0.0,60.14,1.888,60.14,2.341,21.6,25.8,19.8,11:22:05.660
53,0.558,25.4,1.5,0.259,24.9,0.0,60.067,1.624,60.067,2.341,21.1,25.8,19.3,11:22:06.765
54,0.518,25.3,1.5,0.24,24.9,0.0,59.79,2.039,59.79,1.699,21.3,27.9,19.1,11:22:07.868
55,0.51,25.4,1.5,0.293,26.4,0.0,59.621,2.039,59.621,2.228,21.6,25.8,19.5,11:22:08.976
56,0.526,26.8,1.5,0.255,24.9,0.0,59.701,2.228,59.701,1.926,21.1,25.8,19.1,11:22:10.081
57,0.515,25.4,1.5,0.295,26.4,0.0,60.156,1.926,60.156,2.228,21.1,25.8,20.4,11:22:11.186
58,0.516,25.4,1.5,0.298,24.9,0.0,60.081,1.812,60.081,2.417,21.6,25.9,19.3,11:22:12.285
59,0.498,25.4,1.5,0.206,24.9,0.0,59.91,1.85,59.91,2.266,21.6,27.9,20.0,11:22:13.391
60,0.56,25.4,1.5,0.261,24.9,0.0,61.196,1.359,61.196,1.548,21.3,25.8,19.8,11:22:14.494
61,0.51,25.4,1.5,0.208,24.9,0.0,59.737,1.812,59.737,1.699,21.6,28.0,19.3,11:22:15.597
62,0.483,25.4,1.5,0.232,26.4,0.0,59.848,2.492,59.848,2.19,21.6,25.8,19.8,11:22:16.703
63,0.477,26.8,1.5,0.208,24.9,0.0,60.019,2.303,60.019,2.756,21.3,25.9,19.8,11:22:17.807
64,0.488,25.4,1.5,0.26,26.4,0.0,60.402,1.964,60.402,2.605,21.3,25.9,19.1,11:22:18.908
65,0.54,25.4,1.5,0.256,24.9,0.0,60.798,1.812,60.798,2.605,21.6,25.8,18.8,11:22:20.011
66,0.559,25.4,1.5,0.25,24.9,0.0,60.53,1.964,60.53,1.812,22.0,27.9,18.8,11:22:21.115
67,0.546,25.4,1.5,0.179,25.0,0.0,59.985,1.926,59.985,2.077,21.1,25.8,20.0,11:22:22.218
68,0.51,26.8,1.5,0.248,25.0,0.0,59.917,2.039,59.917,2.53,21.3,25.9,19.5,11:22:23.323
69,0.525,25.4,1.5,0.261,26.4,0.0,60.057,2.077,60.057,2.115,21.1,28.0,19.3,11:22:24.443
70,0.541,25.4,1.5,0.294,25.0,0.0,60.07,1.964,60.07,2.341,21.3,25.9,19.5,11:22:25.542
71,0.453,25.4,1.5,0.288,24.9,0.0,59.961,1.737,59.961,2.303,21.1,28.0,19.8,11:22:26.647
72,0.518,25.4,1.5,0.193,26.4,0.0,59.84,1.812,59.84,2.152,21.6,25.9,19.3,11:22:27.768
73,0.498,26.8,1.5,0.28,25.0,0.0,59.933,1.586,59.933,2.756,21.1,25.9,19.5,11:22:28.864
74,0.551,25.4,1.5,0.24,26.4,0.0,59.772,2.53,59.772,1.926,21.1,28.0,20.4,11:22:29.964
75,0.573,25.4,1.5,0.276,25.0,0.0,60.051,1.926,60.051,2.19,21.3,25.9,20.0,11:22:31.068
76,0.508,25.4,1.5,0.261,25.0,0.0,60.009,2.039,60.009,2.832,21.6,28.0,19.5,11:22:32.173
77,0.501,25.4,1.5,0.236,26.4,0.0,59.848,2.115,59.848,2.643,21.6,25.9,18.8,11:22:33.280
78,0.516,26.9,1.5,0.316,25.0,0.0,59.905,1.397,59.905,2.568,21.8,25.9,20.0,11:22:34.382
79,0.564,25.4,1.5,0.293,26.4,0.0,59.959,1.661,59.959,1.661,21.8,28.0,19.8,11:22:35.488
80,0.449,26.8,1.5,0.251,25.0,0.0,60.007,2.115,60.007,1.964,21.6,25.9,19.8,11:22:36.591
81,0.521,25.4,1.5,0.276,25.0,0.0,60.577,2.417,60.577,1.888,21.1,28.0,18.8,11:22:37.699
82,0.541,25.4,1.5,0.266,26.5,0.0,60.169,2.266,60.169,2.303,21.3,25.9,19.8,11:22:38.806
83,0.555,26.9,1.5,0.221,25.0,0.0,59.969,2.115,59.969,2.719,21.6,25.9,19.8,11:22:39.915
84,0.553,25.4,1.5,0.269,26.4,0.0,59.881,1.586,59.881,2.454,21.3,28.0,19.8,11:22:41.022
85,0.518,25.4,1.5,0.273,25.0,0.0,59.971,1.624,59.971,2.228,21.3,25.9,19.3,11:22:42.130
86,0.548,26.9,1.5,0.278,25.0,0.0,59.965,1.661,59.965,3.285,21.6,25.9,19.1,11:22:43.251
87,0.564,25.4,1.5,0.26,26.5,0.0,59.819,1.775,59.819,2.039,21.6,28.0,19.5,11:22:44.359
88,0.544,25.4,1.5,0.251,25.0,0.0,60.269,1.926,60.269,1.586,21.6,25.9,20.4,11:22:45.463
89,0.577,25.4,1.5,0.264,25.0,0.0,59.001,2.908,59.001,1.964,21.3,25.9,19.8,11:22:46.568
90,0.544,25.4,1.5,0.283,26.4,0.0,59.942,2.152,59.942,2.454,21.3,25.9,19.8,11:22:47.676
91,0.521,25.4,1.5,0.286,26.5,0.0,59.849,2.719,59.849,2.303,21.1,25.9,19.5,11:22:48.811
92,0.563,26.9,1.5,0.289,25.0,0.0,60.0,2.492,60.0,3.323,21.3,25.9,19.3,11:22:49.915
93,0.588,25.4,1.5,0.25,26.5,0.0,59.509,1.888,59.509,2.568,21.6,28.0,19.8,11:22:51.023
94,0.549,25.4,1.5,0.28,25.0,0.0,59.962,2.115,59.962,2.681,21.3,25.9,19.8,11:22:52.127
95,0.502,25.4,1.5,0.245,25.0,0.0,60.015,1.888,60.015,3.134,21.6,28.0,19.8,11:22:53.233
96,0.551,25.4,1.5,0.24,26.5,0.0,59.724,1.812,59.724,2.001,21.6,28.0,19.3,11:22:54.355
97,0.529,25.4,1.5,0.251,25.0,0.0,59.893,1.964,59.893,1.85,21.6,25.9,20.2,11:22:55.458
98,0.538,26.9,1.5,0.326,25.0,0.0,59.412,3.059,59.412,1.888,21.6,25.9,19.3,11:22:56.579
99,0.503,25.4,1.5,0.275,26.5,0.0,59.954,2.152,59.954,2.719,21.6,25.9,20.2,11:22:57.681
100,0.559,25.4,1.5,0.24,26.5,0.0,60.111,2.19,60.111,2.19,21.3,25.9,20.2,11:22:58.821
101,0.554,26.9,1.5,0.275,25.1,0.0,59.747,2.53,59.747,2.643,21.8,25.9,19.3,11:22:59.923
102,0.498,25.4,1.5,0.313,26.5,0.0,59.988,2.115,59.988,2.492,21.3,28.0,19.8,11:23:01.030
103,0.596,25.4,1.5,0.255,25.0,0.0,59.876,2.115,59.876,3.323,22.0,25.9,20.2,11:23:02.136
104,0.608,25.4,1.5,0.238,25.0,0.0,60.133,1.586,60.133,2.152,22.0,25.9,19.3,11:23:03.238
105,0.521,25.4,1.5,0.319,25.1,0.0,60.36,1.775,60.36,2.115,21.6,25.9,19.1,11:23:04.343
106,0.508,25.4,1.5,0.243,25.1,0.0,60.438,2.341,60.438,2.303,22.0,25.9,19.3,11:23:05.443
107,0.551,25.4,1.5,0.24,26.5,0.0,60.258,2.832,60.258,2.341,22.3,28.0,19.5,11:23:06.554
108,0.559,25.4,1.5,0.248,25.1,0.0,60.123,2.115,60.123,2.681,21.6,25.9,20.2,11:23:07.654
109,0.565,26.9,1.5,0.247,25.1,0.0,59.763,2.303,59.763,2.681,21.6,25.9,18.8,11:23:08.780
110,0.479,25.4,1.5,0.322,26.5,0.0,59.66,2.53,59.66,2.945,22.0,28.0,19.3,11:23:09.886
111,0.559,25.4,1.5,0.336,25.1,0.0,60.029,1.775,60.029,1.85,21.6,25.9,19.8,11:23:10.989
112,0.503,26.9,1.5,0.271,25.1,0.0,59.748,2.379,59.748,2.228,21.6,25.9,19.8,11:23:12.108
113,0.551,25.4,1.5,0.275,26.5,0.0,59.93,1.926,59.93,2.417,21.6,28.0,19.1,11:23:13.212
114,0.543,25.4,1.5,0.222,26.5,0.0,59.998,1.51,59.998,2.152,21.3,28.0,19.1,11:23:14.346
115,0.546,26.9,1.5,0.293,25.1,0.0,60.107,2.039,60.107,2.794,21.6,25.9,20.2,11:23:15.452
116,0.571,25.4,1.5,0.236,26.5,0.0,60.101,2.756,60.101,2.152,21.6,28.0,19.8,11:23:16.557
117,0.593,25.4,1.5,0.266,26.5,0.0,60.05,2.303,60.05,2.908,21.8,28.0,19.3,11:23:17.680
118,0.543,26.9,1.5,0.286,25.1,0.0,59.971,2.266,59.971,2.643,21.8,25.9,20.4,11:23:18.779
119,0.458,25.4,1.5,0.273,25.1,0.0,59.318,2.945,59.318,2.341,21.6,25.9,19.8,11:23:19.898
120,0.569,25.4,1.5,0.238,25.1,0.0,59.791,2.19,59.791,2.303,21.6,25.9,20.4,11:23:21.002
121,0.531,25.4,1.5,0.28,25.1,0.0,59.84,2.115,59.84,2.115,21.6,25.9,19.5,11:23:22.106
122,0.563,25.4,1.5,0.245,26.6,0.0,60.025,1.926,60.025,2.719,22.0,28.0,20.0,11:23:23.223
123,0.51,25.4,1.5,0.231,25.1,0.0,59.861,2.568,59.861,2.341,21.3,25.9,19.8,11:23:24.329
124,0.577,26.9,1.5,0.265,25.1,0.0,59.987,2.379,59.987,2.115,21.6,25.9,19.5,11:23:25.447
125,0.569,25.4,1.5,0.305,25.1,0.0,59.867,2.454,59.867,1.926,21.6,25.9,20.4,11:23:26.582
126,0.488,25.4,1.5,0.237,25.1,0.0,59.896,2.341,59.896,2.53,22.3,26.0,20.2,11:23:27.703
127,0.569,25.4,1.5,0.245,26.6,0.0,60.465,2.53,60.465,2.417,21.8,28.1,19.3,11:23:28.824
128,0.548,25.4,1.5,0.308,25.1,0.0,60.743,2.832,60.743,2.379,22.3,25.9,19.3,11:23:29.948
129,0.579,25.4,1.5,0.283,25.1,0.0,59.916,2.53,59.916,2.454,21.3,25.9,19.3,11:23:31.061
130,0.515,25.4,1.5,0.278,26.6,0.0,60.021,3.172,60.021,2.983,21.6,28.1,19.8,11:23:32.168
131,0.563,25.4,1.5,0.259,26.6,0.0,59.851,2.379,59.851,3.889,21.6,28.1,18.8,11:23:33.294
132,0.521,25.4,1.5,0.288,25.1,0.0,59.881,2.492,59.881,2.719,21.6,26.0,19.8,11:23:34.417
133,0.476,26.9,1.5,0.248,25.1,0.0,59.213,2.983,59.213,2.643,21.6,26.0,20.0,11:23:35.540
134,0.553,25.4,1.5,0.286,26.6,0.0,59.948,2.077,59.948,2.266,22.0,26.0,20.0,11:23:36.645
135,0.586,25.4,1.5,0.314,25.2,0.0,59.64,2.454,59.64,3.134,21.8,28.1,19.3,11:23:37.764
136,0.608,25.4,1.5,0.304,25.1,0.0,59.915,1.812,59.915,2.681,21.3,26.0,19.3,11:23:38.868
137,0.548,25.4,1.5,0.295,26.6,0.0,59.253,3.172,59.253,2.152,21.6,28.1,19.5,11:23:39.971
138,0.502,25.4,1.5,0.4,25.1,0.0,59.958,2.341,59.958,2.19,21.6,26.0,20.4,11:23:41.093
139,0.581,26.9,1.5,0.264,25.2,51.6,60.564,2.077,60.564,1.85,21.3,26.0,20.0,11:23:42.212
140,0.548,25.4,1.5,0.264,25.2,51.6,59.746,2.379,59.746,2.228,21.6,26.0,19.5,11:23:43.333
141,0.502,25.4,1.5,0.231,25.2,51.6,59.581,2.454,59.581,2.756,21.6,28.1,19.8,11:23:44.439
142,0.52,26.9,1.5,0.293,25.2,51.6,59.774,2.719,59.774,2.303,21.6,26.0,20.2,11:23:45.555
143,0.558,25.4,1.5,0.238,26.6,51.6,60.011,2.492,60.011,2.87,21.6,26.0,20.2,11:23:46.658
144,0.565,25.4,1.5,0.319,26.6,51.6,59.729,2.983,59.729,2.756,21.6,26.0,20.0,11:23:47.797
145,0.571,25.4,1.5,0.266,25.2,51.6,60.126,1.888,60.126,2.605,21.8,28.1,19.8,11:23:48.899
146,0.538,25.4,1.5,0.283,25.2,51.6,60.057,1.775,60.057,2.756,21.8,26.0,20.2,11:23:50.005
147,0.568,25.4,1.5,0.322,25.2,51.6,59.819,2.53,59.819,2.379,22.3,28.1,19.1,11:23:51.107
148,0.551,26.9,1.5,0.316,25.2,51.6,59.596,2.417,59.596,2.454,21.8,26.0,19.8,11:23:52.230
149,0.533,25.4,1.5,0.275,25.2,51.6,60.012,1.586,60.012,2.605,21.8,26.0,20.0,11:23:53.349
150,0.576,25.4,1.5,0.248,26.6,51.6,59.972,2.19,59.972,2.039,21.6,25.9,20.2,11:23:54.454
151,0.584,26.9,1.5,0.232,25.2,51.6,60.022,3.361,60.022,2.303,21.6,26.0,20.4,11:23:55.557
152,0.603,25.4,1.5,0.265,26.6,51.6,59.989,2.228,59.989,2.719,21.6,26.0,19.8,11:23:56.662
153,0.453,25.4,1.5,0.275,25.2,51.6,59.771,2.152,59.771,2.719,21.8,28.0,20.9,11:23:57.768
154,0.491,26.9,1.5,0.243,25.2,51.6,59.964,1.548,59.964,2.908,22.0,26.0,20.2,11:23:58.875
155,0.529,25.4,1.5,0.283,26.6,51.6,60.137,1.775,60.137,1.926,21.8,26.0,19.3,11:23:59.991
156,0.596,25.4,1.5,0.319,26.6,51.6,58.988,2.266,58.988,1.964,22.3,26.0,20.0,11:24:01.115
157,0.497,26.9,1.5,0.319,25.2,51.6,59.991,1.812,59.991,2.228,22.0,25.9,20.2,11:24:02.218
158,0.563,25.4,1.5,0.243,25.2,51.6,59.996,2.039,59.996,2.001,22.0,26.0,19.3,11:24:03.336
159,0.571,25.4,1.5,0.245,26.6,51.6,60.728,2.266,60.728,2.19,21.8,26.0,20.2,11:24:04.456
160,0.564,25.4,1.5,0.321,25.2,51.6,59.867,2.454,59.867,2.152,22.0,28.1,20.2,11:24:05.565
161,0.513,25.4,1.5,0.348,25.2,51.6,59.938,2.341,59.938,2.001,22.3,26.0,19.8,11:24:06.681
162,0.564,25.4,1.5,0.216,26.6,51.6,59.817,2.303,59.817,2.983,21.8,25.9,19.8,11:24:07.792
163,0.536,25.4,1.5,0.25,25.2,51.6,59.891,1.964,59.891,2.568,21.6,28.0,20.4,11:24:08.913
164,0.502,26.9,1.5,0.293,25.2,51.6,59.862,2.19,59.862,2.908,22.0,28.1,20.0,11:24:10.035
165,0.608,25.4,1.5,0.326,25.2,51.6,60.161,2.001,60.161,3.096,21.8,26.0,20.0,11:24:11.155
166,0.518,25.4,1.5,0.316,26.7,51.6,59.879,2.152,59.879,2.832,22.0,26.0,19.8,11:24:12.274
167,0.574,25.4,1.5,0.259,25.2,51.6,59.931,1.359,59.931,2.643,21.6,28.0,20.2,11:24:13.382
168,0.576,25.4,1.5,0.259,25.2,51.6,60.519,1.888,60.519,2.303,21.8,28.1,19.8,11:24:14.516
169,0.541,25.4,1.5,0.283,25.2,51.6,59.876,1.624,59.876,2.341,21.6,25.9,20.2,11:24:15.624
170,0.533,25.4,1.5,0.266,26.7,51.6,60.069,2.039,60.069,2.077,21.3,25.9,19.8,11:24:16.741
171,0.511,26.9,1.5,0.305,25.2,51.6,60.133,2.228,60.133,2.492,21.6,28.0,20.2,11:24:17.846
172,0.563,25.4,1.5,0.266,25.2,51.6,60.037,2.266,60.037,2.039,22.3,25.9,19.5,11:24:18.966
173,0.487,25.4,1.5,0.336,26.7,51.6,60.343,2.152,60.343,2.454,21.6,25.9,20.0,11:24:20.072
174,0.554,26.9,1.5,0.317,25.2,51.6,60.036,2.19,60.036,2.341,22.0,28.0,20.4,11:24:21.174
175,0.576,25.4,1.5,0.26,25.2,51.6,59.908,2.152,59.908,2.681,21.8,25.9,19.5,11:24:22.293
176,0.544,25.4,1.5,0.255,26.7,51.6,60.069,2.417,60.069,3.096,21.8,25.9,19.8,11:24:23.418
177,0.571,25.4,1.5,0.276,25.2,51.6,59.956,2.228,59.956,2.454,21.6,25.9,20.2,11:24:24.538
178,0.546,25.4,1.5,0.232,25.2,51.6,59.5,2.568,59.5,2.492,22.3,25.9,20.2,11:24:25.638
179,0.582,25.4,1.5,0.255,25.3,51.6,59.491,2.341,59.491,2.719,22.0,25.9,19.8,11:24:26.771
180,0.563,25.4,1.5,0.313,26.7,51.6,59.894,1.661,59.894,2.417,21.8,25.9,20.4,11:24:27.879
181,0.521,26.9,1.5,0.295,25.2,51.6,59.823,1.812,59.823,2.454,22.0,28.0,20.4,11:24:28.985
182,0.565,25.4,1.5,0.265,26.7,51.6,60.562,2.077,60.562,2.001,21.6,25.9,20.4,11:24:30.090
183,0.61,25.4,1.5,0.276,25.3,51.6,60.111,2.87,60.111,2.303,21.8,28.0,19.8,11:24:31.195
184,0.569,25.4,1.5,0.228,25.3,51.6,59.633,2.53,59.633,2.417,22.3,25.9,19.8,11:24:32.303
185,0.503,25.4,1.5,0.417,26.7,51.6,59.961,1.85,59.961,2.983,21.8,25.9,19.3,11:24:33.412
186,0.529,25.4,1.5,0.265,25.2,51.6,59.814,2.53,59.814,2.379,22.0,28.0,19.3,11:24:34.528
187,0.491,26.9,1.5,0.25,25.3,51.6,60.055,1.888,60.055,2.077,22.0,28.0,20.2,11:24:35.650
188,0.546,25.4,1.5,0.265,26.7,51.6,59.756,2.152,59.756,2.568,21.6,25.9,20.0,11:24:36.754
189,0.582,25.4,1.5,0.247,25.3,51.6,59.991,1.322,59.991,2.19,21.6,25.9,19.8,11:24:37.876
190,0.579,25.4,1.5,0.286,25.3,51.6,60.28,2.077,60.28,2.266,22.3,28.0,20.0,11:24:38.980
191,0.548,25.4,1.5,0.278,26.7,51.6,59.537,2.454,59.537,2.19,21.6,25.9,20.0,11:24:40.098
192,0.516,25.4,1.5,0.238,26.7,51.6,60.426,2.115,60.426,2.379,21.6,25.9,20.2,11:24:41.214
193,0.603,25.4,1.5,0.238,25.3,51.6,59.98,1.85,59.98,2.001,21.6,25.9,20.0,11:24:42.333
194,0.535,25.4,1.5,0.331,25.3,51.6,59.535,3.134,59.535,2.605,22.3,25.9,19.5,11:24:43.453
195,0.576,25.4,1.5,0.217,26.7,51.6,59.71,2.605,59.71,2.303,21.8,25.9,20.4,11:24:44.556
196,0.525,25.4,1.5,0.284,25.3,51.6,60.206,2.379,60.206,2.266,22.3,25.9,20.2,11:24:45.674
197,0.491,25.4,1.5,0.248,25.3,51.6,59.665,2.568,59.665,3.059,22.0,25.9,20.2,11:24:46.779
198,0.577,25.4,1.5,0.352,26.7,51.6,60.436,1.775,60.436,2.454,21.6,25.9,19.8,11:24:47.899
199,0.551,25.4,1.5,0.281,26.7,51.6,60.708,2.266,59.747,2.454,22.3,25.9,20.4,11:24:49.023
200,0.581,26.9,1.5,0.27,25.3,51.6,59.841,2.115,59.841,2.756,22.3,28.0,20.4,11:24:50.143
201,0.486,25.4,1.5,0.259,25.3,51.6,60.021,1.624,60.021,2.53,22.0,28.0,20.4,11:24:51.263
202,0.538,25.4,1.5,0.256,26.7,51.6,59.556,1.888,59.556,2.832,22.3,25.9,20.2,11:24:52.381
203,0.518,25.4,1.5,0.294,25.3,51.6,59.868,1.812,59.868,2.077,22.3,25.9,20.4,11:24:53.487
204,0.551,26.9,1.5,0.273,25.3,51.6,59.751,1.85,59.751,1.775,22.0,28.0,20.0,11:24:54.609
205,0.548,25.4,1.5,0.314,25.3,51.6,60.12,1.85,60.12,2.228,21.6,25.9,19.8,11:24:55.727
206,0.553,25.4,1.5,0.265,26.7,51.6,60.151,2.115,60.151,2.152,22.3,25.9,20.2,11:24:56.834
207,0.558,26.9,1.5,0.314,25.3,51.6,60.005,2.568,60.005,2.643,22.5,28.0,20.7,11:24:57.940
208,0.563,26.9,1.5,0.266,25.3,51.6,59.861,2.605,59.861,1.888,21.8,28.0,20.0,11:24:59.063
209,0.521,25.4,1.5,0.278,26.7,51.6,60.146,2.228,60.146,2.379,22.3,25.9,20.4,11:25:00.179
210,0.541,25.4,1.5,0.303,25.3,51.6,59.91,1.926,59.91,3.059,22.0,25.9,20.4,11:25:01.303
211,0.538,26.9,1.5,0.264,25.3,51.6,60.218,2.341,60.218,2.945,22.0,28.0,20.4,11:25:02.423
212,0.486,25.4,1.5,0.281,26.7,51.6,59.732,2.417,59.732,2.794,22.3,25.9,19.8,11:25:03.529
213,0.586,25.5,1.5,0.24,26.7,51.6,60.106,1.888,60.106,2.152,22.0,25.9,20.4,11:25:04.651
214,0.54,25.4,1.5,0.256,25.3,51.6,59.515,1.85,59.515,2.568,22.5,25.9,20.4,11:25:05.769
215,0.533,26.9,1.5,0.217,25.3,51.6,59.855,2.115,59.855,2.605,21.8,28.0,20.2,11:25:06.887
216,0.569,25.4,1.5,0.289,26.7,51.6,59.761,1.775,59.761,1.926,22.3,25.9,19.8,11:25:08.003
217,0.625,25.4,1.5,0.247,26.8,51.6,60.125,1.435,60.125,2.605,21.8,25.9,19.8,11:25:09.123
218,0.516,26.9,1.5,0.194,25.3,51.6,59.09,2.228,59.09,2.492,21.8,25.9,19.8,11:25:10.242
219,0.502,26.9,1.5,0.265,25.3,51.6,59.839,1.737,59.839,2.152,22.0,28.0,19.8,11:25:11.363
220,0.469,25.4,1.5,0.259,26.8,51.6,59.985,2.303,59.985,1.812,22.0,25.9,20.4,11:25:12.483
221,0.626,25.5,1.5,0.266,26.8,51.6,59.878,2.077,59.878,1.775,22.0,25.9,19.8,11:25:13.608
