Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
109,11.6,9.5,5.0221,2.869771429,4.3613,2.492171429,60.0214,59.8277,46:25.2
110,11.1,9.1,3.9648,2.2656,4.4934,2.567657143,59.9357,60.0603,46:25.9
111,11.3,9.1,4.0309,2.303371429,3.9648,2.2656,59.9846,59.9072,46:26.7
112,11.3,9.5,3.7005,2.114571429,5.0221,2.869771429,59.8347,59.9625,46:27.5
113,11.1,9.1,6.2115,3.549428571,3.8987,2.227828571,60.0536,59.9994,46:28.3
114,11.3,9.8,4.6256,2.6432,5.2203,2.983028571,60.0533,59.9761,46:29.0
115,11.3,9.3,5.3525,3.058571429,4.4274,2.529942857,60.0385,60.1433,46:29.8
116,11.3,9.1,6.1454,3.511657143,4.7578,2.718742857,60.0299,59.9779,46:30.6
117,11.3,8.6,5.0221,2.869771429,3.5022,2.001257143,60.0649,59.9535,46:31.3
118,10.9,8.6,3.8987,2.227828571,3.6344,2.0768,60.1783,59.8826,46:32.1
119,11.6,9.3,3.7666,2.152342857,3.3701,1.925771429,59.9693,59.7767,46:32.9
120,11.1,9.1,4.4934,2.567657143,4.4274,2.529942857,59.6775,60.0436,46:33.6
121,11.1,10.2,4.6256,2.6432,3.7666,2.152342857,39.6589,39.5473,46:34.4
122,11.3,9.1,3.0397,1.736971429,3.7666,2.152342857,39.5843,39.5974,46:35.2
123,10.9,8.4,4.8238,2.756457143,3.7005,2.114571429,39.5073,39.5258,46:36.0
124,11.3,8.6,3.2379,1.850228571,3.4362,1.963542857,39.6424,39.8281,46:36.7
125,10.9,9.1,4.097,2.341142857,4.163,2.378857143,39.8657,39.621,46:37.5
126,11.1,9.1,5.4186,3.096342857,3.2379,1.850228571,39.8373,39.8075,46:38.3
127,11.8,9.3,4.163,2.378857143,3.5022,2.001257143,39.5952,39.8064,46:39.0
128,11.3,8.8,4.163,2.378857143,3.2379,1.850228571,39.4614,39.7658,46:39.8
129,11.3,9.5,3.1058,1.774742857,4.4274,2.529942857,39.6621,39.4708,46:40.6
130,11.3,8.4,3.8326,2.190057143,3.7005,2.114571429,40.0999,39.5505,46:41.3
131,11.6,9.1,3.3701,1.925771429,3.5022,2.001257143,39.4297,39.813,46:42.1
132,11.1,8.6,4.956,2.832,2.5771,1.472628571,39.7422,39.5518,46:42.9
133,11.6,8.6,5.0221,2.869771429,3.3701,1.925771429,39.8869,39.8859,46:43.6
134,11.3,8.6,3.3701,1.925771429,3.5683,2.039028571,20.5749,20.23,46:44.4
135,11.3,8.8,3.4362,1.963542857,3.8987,2.227828571,20.4014,20.3854,46:45.1
136,11.1,8.6,2.9075,1.661428571,3.1718,1.812457143,20.795,20.1817,46:45.9
137,11.3,9.3,3.4362,1.963542857,3.4362,1.963542857,20.3907,20.2217,46:46.7
138,11.3,8.8,3.2379,1.850228571,3.5022,2.001257143,20.4382,20.4642,46:47.5
139,11.3,8.6,2.7754,1.585942857,2.9075,1.661428571,20.4572,20.499,46:48.2
140,11.3,9.5,5.5507,3.171828571,3.1058,1.774742857,20.2499,20.2731,46:49.0
141,11.6,9.5,3.6344,2.0768,2.7754,1.585942857,20.451,20.4037,46:49.7
142,11.8,9.5,3.8326,2.190057143,3.7666,2.152342857,20.2776,20.3444,46:50.5
143,11.3,9.1,3.0397,1.736971429,4.3613,2.492171429,20.3235,20.3302,46:51.3
144,11.1,8.6,3.5683,2.039028571,2.3789,1.359371429,20.2604,20.5159,46:52.0
145,11.1,8.8,3.5683,2.039028571,2.8414,1.623657143,20.7837,20.45,46:52.8
146,11.8,9.1,2.5771,1.472628571,2.9736,1.6992,20.4229,20.4452,46:53.6
