Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_O,mixer_torque_M2,mixer_torque_M1_O,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
133,10,7.9,5.6829,3.247371429,3.3701,1.925771429,39.6933,39.499,00:13.7
134,9.8,8.6,4.8238,2.756457143,3.304,1.888,20.4378,20.466,00:14.4
135,10.2,8.4,3.5683,2.039028571,4.163,2.378857143,20.1587,20.3773,00:15.2
136,10,7.9,4.2291,2.416628571,3.1718,1.812457143,20.6036,20.3831,00:15.9
137,10,8.6,3.7666,2.152342857,3.0397,1.736971429,20.3908,20.5571,00:16.7
138,10.2,7.9,4.3613,2.492171429,3.9648,2.2656,20.5929,20.2635,00:17.5
139,10.2,8.4,3.4362,1.963542857,2.9736,1.6992,20.442,20.3993,00:18.2
140,10.4,7.7,4.5595,2.605428571,3.5022,2.001257143,20.4676,20.2097,00:19.0
141,10.4,7.7,4.7578,2.718742857,3.7666,2.152342857,20.3618,20.3821,00:19.8
142,10,8.6,3.5683,2.039028571,2.7093,1.548171429,20.8726,20.4052,00:20.6
143,10.4,7.3,3.7005,2.114571429,3.4362,1.963542857,20.3046,20.6342,00:21.3
144,10.4,7.3,4.2291,2.416628571,4.4274,2.529942857,20.558,20.4518,00:22.1
145,10.4,7.5,4.6917,2.680971429,2.9736,1.6992,20.0653,20.4087,00:22.9
146,10,8.2,4.2291,2.416628571,3.5022,2.001257143,20.3366,20.2276,00:23.6
