Log,cp_flowrate,cp_temperature_fresh,mixer_torque_M2,mixer_motor_temperature_M1,cp_temperature,ac_flowrate,mixer_motor_temperature_M2,mixer_pressure,mixer_temperature_Funnel_outlet,cp_pressure,mixer_torque_M1,mixer_speed_M1,mixer_speed_M2,Time
86,3.0,22.2,4.947,17.9,21.6,0.0,20.4,0.245,21.1,0.321,3.587,80.355,80.355,10:23:33.637
87,3.0,22.2,5.513,18.4,21.6,0.0,20.2,0.261,21.1,0.322,2.945,80.426,80.426,10:23:34.743
88,3.0,22.2,5.626,18.4,21.6,0.0,20.2,0.256,21.1,0.321,3.776,80.218,80.218,10:23:35.867
89,3.0,22.2,6.193,18.4,21.6,0.0,20.2,0.255,21.1,0.317,3.549,80.357,80.357,10:23:36.974
90,3.0,23.6,5.135,18.4,21.6,0.0,20.2,0.242,21.1,0.311,3.549,80.39,80.39,10:23:38.092
91,3.0,22.2,5.4,18.2,23.0,0.0,20.7,0.238,21.1,0.338,4.191,81.277,81.277,10:23:39.198
92,3.0,22.2,4.909,18.2,21.6,0.0,20.4,0.266,21.1,0.306,4.493,80.58,80.58,10:23:40.306
93,3.0,22.2,4.758,18.2,21.6,0.0,20.2,0.259,21.1,0.316,3.361,80.485,80.485,10:23:41.406
94,3.0,22.2,4.229,18.2,23.0,0.0,20.2,0.259,23.2,0.32,4.116,80.368,80.368,10:23:42.530
95,3.0,23.6,4.003,18.2,21.6,0.0,20.4,0.24,21.2,0.327,4.04,80.332,80.332,10:23:43.634
96,3.0,22.2,4.267,18.2,21.6,0.0,20.2,0.284,21.1,0.3,4.607,80.182,80.182,10:23:44.749
97,3.0,22.2,4.305,18.4,21.6,0.0,20.2,0.264,23.2,0.327,3.587,80.249,80.249,10:23:45.846
98,3.0,23.6,3.965,18.4,21.6,0.0,20.4,0.245,21.2,0.311,3.965,80.433,80.433,10:23:46.952
99,3.0,22.2,3.361,18.2,23.0,0.0,20.2,0.264,21.2,0.297,3.7,80.505,80.505,10:23:48.057
100,3.0,22.2,3.927,17.9,21.6,0.0,20.2,0.236,21.2,0.292,3.965,80.843,80.843,10:23:49.158
101,3.0,22.2,7.854,17.9,21.6,0.0,20.2,0.222,21.3,0.33,4.116,99.58,99.58,10:23:50.262
102,3.0,22.2,4.267,18.4,21.6,0.0,20.2,0.25,23.4,0.306,3.776,99.578,99.578,10:23:51.368
103,3.0,22.2,4.607,17.9,21.6,0.0,20.4,0.254,21.4,0.306,5.324,99.519,99.519,10:23:52.473
104,3.0,22.2,5.022,18.4,23.0,0.0,20.4,0.259,21.4,0.308,4.116,99.49,99.49,10:23:53.591
105,3.0,22.2,4.644,18.2,21.6,0.0,20.2,0.25,21.5,0.326,4.531,99.315,99.315,10:23:54.694
106,3.0,22.2,4.644,18.2,21.6,0.0,20.2,0.254,21.5,0.302,4.569,101.038,101.038,10:23:55.801
107,3.0,22.2,5.211,18.4,23.0,0.0,20.7,0.242,21.6,0.317,3.323,99.159,99.159,10:23:56.922
108,3.0,22.2,5.286,18.2,21.5,0.0,20.7,0.25,21.7,0.326,3.549,100.077,100.077,10:23:58.028
109,3.0,22.2,3.852,18.2,21.6,0.0,20.2,0.25,21.7,0.326,4.947,100.138,100.138,10:23:59.128
110,3.0,22.2,4.72,18.2,23.0,0.0,20.7,0.251,23.8,0.302,3.852,99.323,99.238,10:24:00.235
111,3.0,22.2,6.23,18.4,21.6,0.0,20.4,0.255,21.8,0.303,4.342,99.849,99.849,10:24:01.357
112,3.0,23.6,4.191,18.4,21.6,0.0,20.4,0.264,21.8,0.316,4.116,99.489,99.489,10:24:02.496
113,3.0,22.2,5.098,18.4,21.5,0.0,20.7,0.243,21.9,0.302,5.891,98.61,98.61,10:24:03.615
114,3.0,22.2,4.796,18.6,23.0,0.0,20.7,0.266,21.9,0.338,3.361,99.339,99.339,10:24:04.730
115,3.0,23.6,4.418,18.4,21.6,0.0,20.4,0.255,21.9,0.32,4.191,99.647,99.647,10:24:05.834
116,3.0,22.2,3.927,18.4,21.6,0.0,20.4,0.256,22.0,0.288,5.286,100.222,100.222,10:24:06.938
117,3.0,22.2,4.418,18.2,23.0,0.0,20.7,0.247,22.0,0.32,4.418,99.528,99.528,10:24:08.059
118,3.0,22.2,4.72,18.4,21.5,0.0,20.7,0.242,24.1,0.302,4.456,99.889,99.889,10:24:09.183
119,3.0,23.6,4.947,18.4,21.6,0.0,20.4,0.254,22.0,0.321,4.229,119.92,119.92,10:24:10.286
120,3.0,22.2,4.116,18.2,23.0,0.0,20.4,0.243,24.1,0.3,4.531,120.693,120.693,10:24:11.394
121,3.0,22.2,5.702,18.4,21.6,0.0,20.4,0.278,24.2,0.292,4.116,119.275,119.275,10:24:12.503
122,3.0,22.2,5.211,18.2,21.5,0.0,20.7,0.24,22.1,0.321,5.551,119.198,119.198,10:24:13.609
123,3.0,22.2,5.173,18.4,21.5,0.0,20.7,0.247,24.2,0.313,5.211,119.839,119.839,10:24:14.716
124,3.0,23.6,5.4,18.2,21.6,0.0,20.7,0.269,22.2,0.336,4.267,119.599,119.599,10:24:15.831
125,3.0,22.2,3.474,18.8,23.0,0.0,20.7,0.254,22.2,0.316,4.984,120.138,120.138,10:24:16.933
126,3.0,22.2,4.947,18.4,23.0,0.0,20.7,0.248,24.3,0.317,4.342,119.628,119.628,10:24:18.053
127,3.0,22.2,4.493,18.4,21.5,0.0,20.7,0.288,22.2,0.313,4.607,119.925,119.925,10:24:19.173
128,3.0,22.2,5.437,18.2,21.6,0.0,21.1,0.281,22.2,0.325,4.078,119.933,119.933,10:24:20.277
129,3.0,22.2,4.493,18.6,21.5,0.0,20.7,0.24,24.3,0.33,5.135,121.247,121.247,10:24:21.375
130,3.0,22.2,5.324,17.9,21.5,0.0,20.9,0.237,22.2,0.327,4.078,119.879,119.879,10:24:22.480
131,3.0,22.2,4.72,18.4,23.0,0.0,20.9,0.228,22.3,0.313,6.381,119.486,119.486,10:24:23.584
132,3.0,22.2,4.644,18.4,21.5,0.0,20.7,0.214,24.3,0.32,4.305,119.983,119.983,10:24:24.699
133,3.0,22.2,4.531,18.4,21.5,0.0,20.7,0.254,22.3,0.316,4.456,119.93,119.93,10:24:25.804
134,3.0,22.2,4.003,18.8,23.0,0.0,20.9,0.242,22.3,0.322,5.249,120.223,120.223,10:24:26.908
135,3.0,22.2,5.173,18.4,21.5,0.0,20.7,0.242,22.3,0.333,3.172,119.876,119.876,10:24:28.014
136,3.0,22.2,4.078,18.6,23.0,0.0,21.3,0.25,22.3,0.292,5.324,120.251,120.251,10:24:29.117
137,3.0,23.6,4.342,18.2,21.5,0.0,20.9,0.248,22.3,0.305,5.022,98.501,98.501,10:24:30.223
138,3.0,22.2,4.305,18.6,23.0,0.0,20.7,0.243,22.3,0.31,2.719,99.654,99.654,10:24:31.324
139,3.0,22.2,4.003,18.4,21.5,0.0,21.3,0.243,24.4,0.313,3.549,99.794,99.794,10:24:32.433
140,3.0,23.6,3.889,18.6,21.5,0.0,20.7,0.245,22.3,0.321,4.682,98.949,98.949,10:24:33.552
141,3.0,22.2,4.342,18.4,23.0,0.0,20.9,0.266,22.3,0.321,3.436,99.608,99.608,10:24:34.660
142,3.0,22.2,4.871,18.4,23.0,0.0,20.7,0.236,22.3,0.321,3.436,99.542,99.542,10:24:35.801
143,3.0,22.2,4.607,18.8,21.5,0.0,20.7,0.242,24.4,0.3,3.474,100.196,100.196,10:24:36.907
144,3.0,23.6,5.135,18.4,21.5,0.0,20.9,0.248,24.4,0.308,4.456,99.362,99.362,10:24:38.032
145,3.0,22.2,5.588,18.4,21.5,0.0,21.1,0.216,22.3,0.316,3.7,99.689,99.689,10:24:39.154
146,3.0,22.2,3.398,18.4,21.5,0.0,21.1,0.236,22.3,0.325,3.814,99.452,99.452,10:24:40.256
147,3.0,23.6,4.191,19.1,21.5,0.0,20.7,0.251,22.4,0.321,3.549,99.38,99.38,10:24:41.362
148,3.0,22.2,5.4,18.6,21.5,0.0,21.1,0.265,22.3,0.316,3.21,99.582,99.582,10:24:42.481
149,3.0,22.2,4.078,19.1,21.5,0.0,21.1,0.243,24.4,0.31,4.569,99.35,99.35,10:24:43.583
150,3.0,23.6,4.191,18.6,21.5,0.0,21.1,0.226,22.4,0.311,4.493,99.331,99.331,10:24:44.689
151,3.0,22.2,4.191,18.4,21.5,0.0,20.9,0.226,22.4,0.33,3.889,99.465,99.465,10:24:45.813
152,3.0,22.2,3.776,18.4,21.5,0.0,21.1,0.237,22.4,0.298,3.474,99.55,99.55,10:24:46.920
153,3.0,23.6,3.361,19.1,21.5,0.0,20.9,0.27,24.4,0.316,3.814,99.517,99.517,10:24:48.024
154,3.0,22.2,3.852,18.2,21.5,0.0,21.1,0.243,22.4,0.303,2.908,99.282,99.282,10:24:49.147
155,3.0,22.2,3.21,18.4,22.9,0.0,21.1,0.251,22.4,0.322,4.72,80.211,80.211,10:24:50.262
156,3.0,23.6,3.398,18.4,21.5,0.0,21.6,0.245,22.4,0.31,3.512,80.228,80.228,10:24:51.364
157,3.0,23.6,4.569,18.2,21.5,0.0,20.7,0.243,22.3,0.331,4.493,80.106,80.106,10:24:52.501
158,3.0,23.6,2.794,18.6,21.5,0.0,20.9,0.243,22.4,0.317,3.625,81.209,81.209,10:24:53.637
159,3.0,22.2,3.587,18.8,23.0,0.0,21.1,0.28,22.3,0.302,4.04,81.584,81.584,10:24:54.747
160,3.0,23.6,3.285,18.8,21.5,0.0,21.1,0.256,24.4,0.327,3.852,79.452,79.452,10:24:55.846
161,3.0,22.2,4.342,18.6,21.5,0.0,21.1,0.251,22.4,0.308,3.889,80.1,80.1,10:24:56.968
162,3.0,22.2,4.267,18.6,22.9,0.0,21.1,0.247,22.4,0.317,3.285,79.976,79.976,10:24:58.092
163,3.0,22.2,4.267,18.6,22.9,0.0,21.1,0.236,22.4,0.322,4.493,80.156,80.156,10:24:59.217
164,3.0,22.2,3.436,18.8,21.5,0.0,21.1,0.255,22.4,0.302,4.38,80.61,80.61,10:25:00.340
165,3.0,23.6,4.456,18.4,21.5,0.0,21.6,0.269,24.4,0.317,3.096,80.935,80.935,10:25:01.461
166,3.0,22.2,3.512,18.4,22.9,0.0,21.1,0.237,22.4,0.297,4.229,79.531,79.531,10:25:02.565
167,3.0,22.2,3.7,18.8,21.5,0.0,21.1,0.256,22.4,0.336,4.418,79.575,79.575,10:25:03.679
168,3.0,23.6,3.549,19.1,21.5,0.0,21.1,0.228,24.4,0.316,3.7,80.166,80.166,10:25:04.798
169,3.0,22.2,4.078,18.4,21.5,0.0,21.1,0.237,22.4,0.308,4.984,79.244,79.244,10:25:05.909
170,3.0,22.2,3.738,18.2,22.9,0.0,21.1,0.27,22.4,0.317,4.267,79.826,79.826,10:25:07.028
171,3.0,22.2,3.814,18.6,21.5,0.0,21.1,0.223,22.3,0.302,4.342,79.415,79.415,10:25:08.149
172,3.0,23.6,4.078,18.8,21.5,0.0,21.1,0.266,24.4,0.33,4.871,79.527,79.527,10:25:09.284
173,3.0,22.2,2.832,19.1,22.9,0.0,21.1,0.242,22.4,0.311,2.832,59.907,59.907,10:25:10.383
174,3.0,22.2,3.247,18.4,21.5,0.0,21.3,0.221,22.3,0.316,2.87,59.89,59.89,10:25:11.486
175,3.0,23.6,3.852,19.1,21.5,0.0,21.1,0.27,22.3,0.302,2.945,60.162,60.162,10:25:12.616
176,3.0,22.2,3.474,18.8,22.9,0.0,21.1,0.242,22.3,0.308,3.738,60.074,60.074,10:25:13.721
177,3.0,22.1,2.908,17.9,21.5,0.0,21.1,0.266,22.3,0.303,2.605,59.853,59.853,10:25:14.829
178,3.0,22.2,4.833,18.8,21.5,0.0,21.1,0.269,22.3,0.317,2.379,60.277,60.277,10:25:15.960
179,3.0,22.2,2.87,18.6,21.5,0.0,21.1,0.251,22.3,0.326,2.266,60.036,60.036,10:25:17.063
180,3.0,22.2,2.417,18.6,22.9,0.0,21.1,0.255,22.3,0.306,2.568,59.86,59.86,10:25:18.185
181,3.0,23.6,2.53,18.4,21.5,0.0,20.7,0.227,22.3,0.325,2.379,60.442,60.442,10:25:19.292
182,3.0,22.2,2.719,19.3,22.9,0.0,20.9,0.248,22.3,0.326,3.134,59.98,59.98,10:25:20.392
183,3.0,22.2,3.398,18.6,21.5,0.0,21.1,0.248,22.3,0.327,2.492,60.2,60.2,10:25:21.515
184,3.0,23.6,3.398,18.4,21.5,0.0,21.1,0.26,22.3,0.283,3.134,59.938,59.938,10:25:22.618
185,3.0,22.2,3.965,19.3,21.5,0.0,21.1,0.237,24.4,0.311,4.003,60.198,60.198,10:25:23.741
186,3.0,22.2,3.134,18.4,22.9,0.0,21.1,0.266,22.3,0.313,3.059,59.888,59.888,10:25:24.864
187,3.0,22.2,4.909,18.8,21.5,0.0,20.9,0.26,22.3,0.313,2.417,60.075,60.075,10:25:25.968
188,3.0,22.2,3.21,18.4,21.5,0.0,21.3,0.24,24.4,0.315,2.454,59.878,59.878,10:25:27.088
189,3.0,22.2,3.625,18.8,22.9,0.0,20.7,0.248,24.4,0.31,3.134,59.14,59.14,10:25:28.205
190,3.0,22.2,3.096,18.8,22.9,0.0,21.1,0.222,22.3,0.322,2.643,59.923,59.923,10:25:29.327
191,3.0,22.2,3.776,18.6,21.5,0.0,20.7,0.255,22.3,0.315,2.228,39.723,39.723,10:25:30.450
192,3.0,22.2,2.945,18.8,21.5,0.0,21.1,0.259,24.4,0.326,2.379,39.52,39.52,10:25:31.556
193,3.0,22.2,2.87,18.6,22.9,0.0,21.3,0.26,24.4,0.321,2.001,39.673,39.673,10:25:32.676
194,3.0,22.2,2.19,19.1,21.5,0.0,21.1,0.251,22.3,0.295,2.605,39.38,39.38,10:25:33.795
195,3.0,23.6,3.172,18.8,21.5,0.0,21.1,0.261,22.3,0.321,1.85,39.756,39.756,10:25:34.914
196,3.0,22.2,2.681,18.4,21.5,0.0,21.1,0.245,24.4,0.31,2.794,39.392,39.392,10:25:36.033
197,3.0,22.2,4.305,18.8,21.5,0.0,21.6,0.254,22.3,0.308,2.492,39.443,39.443,10:25:37.140
198,3.0,22.2,2.303,18.6,21.5,0.0,21.1,0.256,22.3,0.313,2.039,39.415,39.415,10:25:38.281
199,3.0,23.6,2.53,18.4,21.5,0.0,21.1,0.276,22.3,0.287,1.586,39.622,39.622,10:25:39.403
200,3.0,23.6,2.492,18.6,21.5,0.0,20.9,0.264,22.3,0.302,2.417,39.802,39.802,10:25:40.527
201,3.0,22.2,4.078,18.4,22.9,0.0,20.9,0.242,24.4,0.306,2.077,39.675,39.675,10:25:41.631
202,3.0,22.1,2.983,19.1,21.5,0.0,21.6,0.248,22.3,0.316,3.247,39.169,39.169,10:25:42.757
203,3.0,23.6,2.945,18.2,21.5,0.0,21.1,0.261,22.3,0.286,2.228,39.611,39.611,10:25:43.878
204,3.0,23.6,2.794,19.1,21.5,0.0,20.9,0.254,22.3,0.306,2.719,39.887,39.887,10:25:44.997
205,3.0,22.2,3.738,18.8,22.9,0.0,20.9,0.254,24.4,0.327,2.379,39.596,39.596,10:25:46.122
206,3.0,22.2,2.077,18.8,21.5,0.0,21.1,0.216,24.4,0.313,3.021,39.433,39.433,10:25:47.245
207,3.0,23.6,2.643,19.3,21.5,0.0,20.9,0.248,22.3,0.305,2.19,40.202,40.202,10:25:48.350
208,3.0,22.1,2.417,18.4,21.5,0.0,21.1,0.254,22.3,0.298,3.814,38.203,38.203,10:25:49.472
209,3.0,22.2,2.115,18.8,22.9,0.0,20.9,0.255,24.4,0.306,1.926,20.311,20.311,10:25:50.590
210,3.0,22.1,2.228,18.8,21.5,0.0,20.7,0.256,22.3,0.333,2.266,20.485,20.485,10:25:51.713
211,3.0,23.6,2.077,18.4,21.5,0.0,21.1,0.254,22.3,0.306,2.53,20.517,20.517,10:25:52.837
212,3.0,22.2,1.586,19.5,21.5,0.0,21.1,0.238,22.3,0.336,2.341,20.89,20.89,10:25:53.958
213,3.0,22.2,2.379,18.8,22.9,0.0,21.1,0.231,22.3,0.338,2.228,20.193,20.193,10:25:55.081
214,3.0,22.2,3.474,18.8,22.9,0.0,21.3,0.228,24.4,0.3,2.53,20.275,20.275,10:25:56.202
215,3.0,22.2,1.964,18.8,21.5,0.0,21.3,0.26,24.4,0.292,2.492,20.399,20.399,10:25:57.325
216,3.0,23.6,2.87,18.8,21.5,0.0,20.9,0.238,22.3,0.334,2.794,20.366,20.366,10:25:58.449
217,3.0,22.2,2.719,18.6,22.9,0.0,21.1,0.236,22.3,0.33,1.737,20.491,20.491,10:25:59.554
218,3.0,22.1,3.021,19.5,21.5,0.0,21.3,0.248,24.4,0.313,1.548,20.482,20.482,10:26:00.670
219,3.0,23.6,2.228,18.4,21.5,0.0,21.1,0.256,22.3,0.291,2.228,20.259,20.259,10:26:01.789
220,3.0,23.6,1.51,18.4,21.5,0.0,20.9,0.251,22.3,0.317,1.586,20.795,20.795,10:26:02.921
221,3.0,22.2,2.417,18.6,22.9,0.0,21.1,0.236,22.3,0.315,1.812,20.367,20.367,10:26:04.040
