Log,mixer_motor_temperature_M1,mixer_speed_M2,cp_temperature,cp_pressure,cp_flowrate,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_torque_M2,mixer_temperature_Funnel,ac_flowrate,mixer_speed_M1,mixer_motor_temperature_M2,mixer_torque_M1,Time
64,18.4,59.941,24.1,0.598,3.0,0.232,27.0,2.039,27.2,103.2,59.941,19.8,1.775,12:12:55.546
65,18.6,60.051,24.1,0.616,3.0,0.15,24.9,2.152,27.2,103.2,60.051,19.8,1.322,12:12:56.649
66,18.2,60.039,25.6,0.496,3.0,0.211,24.9,1.548,27.2,103.2,60.039,19.5,1.171,12:12:57.755
67,18.6,59.962,24.1,0.548,3.0,0.155,25.0,1.435,28.6,103.2,59.962,19.8,1.624,12:12:58.861
68,18.2,59.962,25.6,0.559,3.0,0.183,25.0,1.359,27.1,103.2,59.962,19.5,1.737,12:12:59.969
69,18.4,59.922,24.1,0.586,3.0,0.164,27.1,1.548,27.1,103.2,59.922,20.0,1.775,12:13:01.080
70,18.2,59.985,24.1,0.502,3.0,0.251,25.0,1.926,27.1,103.2,59.985,20.0,1.812,12:13:02.171
71,18.2,59.952,24.1,0.521,3.0,0.209,25.0,2.077,27.1,103.2,59.952,19.8,1.661,12:13:03.278
72,18.4,60.039,24.1,0.588,3.0,0.273,25.0,1.397,27.1,103.2,60.039,20.0,1.284,12:13:04.376
73,17.9,60.093,25.6,0.586,3.0,0.264,25.0,1.246,27.1,103.2,60.093,19.8,1.624,12:13:05.481
74,18.4,59.951,24.1,0.624,3.0,0.223,27.1,1.51,28.6,103.2,59.951,19.5,1.775,12:13:06.590
75,18.6,60.009,24.1,0.56,3.0,0.247,25.1,1.548,27.1,103.2,60.009,20.0,1.926,12:13:07.696
76,18.6,59.91,24.2,0.596,3.0,0.265,27.2,2.039,27.1,103.2,59.91,19.5,1.888,12:13:08.801
77,18.4,60.002,24.2,0.573,3.0,0.227,25.1,2.001,27.1,103.2,60.002,20.4,1.322,12:13:09.906
78,17.9,60.19,25.6,0.502,3.0,0.198,25.1,1.548,27.1,103.2,60.19,20.0,1.435,12:13:11.013
79,18.2,60.13,24.2,0.549,3.0,0.26,27.2,1.737,28.5,103.2,60.13,19.8,1.624,12:13:12.117
80,18.4,59.776,24.1,0.571,3.0,0.209,25.1,1.397,27.0,103.2,59.776,19.5,1.926,12:13:13.224
81,18.6,59.936,24.2,0.569,3.0,0.261,27.2,1.812,27.0,103.2,59.936,19.5,2.454,12:13:14.327
82,18.4,59.971,24.2,0.64,3.0,0.232,25.1,1.964,28.5,103.2,59.971,19.3,2.152,12:13:15.440
83,18.4,60.043,25.6,0.536,3.0,0.223,25.2,2.001,27.0,103.2,60.043,20.2,1.661,12:13:16.541
84,18.8,60.016,24.2,0.576,3.0,0.204,27.2,2.228,28.5,103.2,60.016,20.2,1.775,12:13:17.648
85,19.1,59.848,25.6,0.496,3.0,0.203,25.2,1.964,27.0,103.2,59.848,19.3,2.001,12:13:18.751
86,18.4,60.048,24.2,0.529,3.0,0.238,25.2,1.964,27.0,103.2,60.048,19.5,1.964,12:13:19.860
87,17.9,59.762,24.2,0.619,3.0,0.256,25.2,1.812,28.4,103.2,59.762,20.2,2.53,12:13:20.964
88,18.6,59.882,25.6,0.564,3.0,0.24,25.2,1.812,27.0,103.2,59.882,19.8,2.077,12:13:22.067
89,18.4,59.898,24.2,0.531,3.0,0.232,27.3,2.19,26.9,103.2,59.898,20.2,1.888,12:13:23.177
90,18.2,60.033,24.2,0.607,3.0,0.222,25.2,2.266,26.9,103.2,60.033,19.8,1.964,12:13:24.283
91,17.9,59.927,24.2,0.658,3.0,0.238,25.2,1.964,26.9,103.2,59.927,20.2,2.001,12:13:25.393
92,18.4,59.982,24.2,0.574,3.0,0.228,27.3,1.888,28.4,103.2,59.982,19.8,1.926,12:13:26.499
93,18.2,60.395,24.2,0.586,3.0,0.271,25.2,2.001,26.9,103.2,60.395,19.8,1.926,12:13:27.621
94,18.4,60.122,25.6,0.481,3.0,0.289,25.2,1.812,26.9,103.2,60.122,19.5,1.661,12:13:28.742
95,18.4,60.064,24.2,0.551,3.0,0.245,27.3,1.473,26.9,103.2,60.064,20.0,2.001,12:13:29.848
96,18.4,59.891,24.2,0.551,3.0,0.211,25.2,2.001,26.8,103.2,59.891,20.2,2.152,12:13:30.957
97,18.4,60.029,25.6,0.586,3.0,0.3,25.2,2.492,26.8,103.2,60.029,19.5,2.228,12:13:32.062
98,18.4,59.979,24.2,0.558,3.0,0.222,27.3,2.492,28.3,103.2,59.979,19.8,2.039,12:13:33.164
99,18.8,59.888,25.6,0.588,3.0,0.286,25.2,2.077,26.8,103.2,59.888,19.8,1.435,12:13:34.273
100,18.4,60.081,24.2,0.603,3.0,0.242,27.3,1.737,26.8,103.2,60.081,19.8,1.661,12:13:35.374
101,18.8,60.056,24.2,0.577,3.0,0.238,25.3,1.661,26.8,103.2,60.056,19.8,2.115,12:13:36.478
102,18.4,59.865,25.6,0.56,3.0,0.208,25.3,2.719,26.8,103.2,59.865,20.2,2.417,12:13:37.589
103,18.4,59.888,24.2,0.596,3.0,0.217,25.3,1.812,26.7,103.2,59.888,20.2,3.285,12:13:38.714
104,18.4,60.064,24.2,0.546,3.0,0.197,27.3,2.19,28.2,103.2,60.064,20.0,2.568,12:13:39.833
105,18.4,59.922,25.6,0.54,3.0,0.269,25.3,2.492,26.7,103.2,59.922,20.0,2.454,12:13:40.943
106,18.6,59.937,24.2,0.648,3.0,0.281,25.3,3.021,26.7,103.2,59.937,20.2,2.228,12:13:42.049
107,18.2,59.977,24.2,0.549,3.0,0.309,25.3,2.832,28.2,103.2,59.977,20.0,1.699,12:13:43.155
108,18.6,60.001,24.2,0.501,3.0,0.228,25.3,2.643,26.7,103.2,60.001,20.0,2.303,12:13:44.279
109,19.1,59.817,24.2,0.608,3.0,0.254,25.3,2.228,26.7,103.2,59.817,20.2,2.341,12:13:45.392
110,18.4,60.116,24.2,0.581,3.0,0.222,27.4,2.228,28.2,103.2,60.116,20.2,2.152,12:13:46.501
111,18.8,59.912,24.2,0.563,3.0,0.197,25.3,2.53,26.7,103.2,59.912,19.8,1.888,12:13:47.624
112,18.6,59.938,25.6,0.571,3.0,0.25,25.3,2.417,26.7,103.2,59.938,20.7,2.115,12:13:48.745
113,18.2,60.312,24.2,0.525,3.0,0.316,25.3,2.454,26.7,103.2,60.312,20.0,2.417,12:13:49.858
114,18.4,60.011,24.2,0.593,3.0,0.248,27.4,2.303,28.1,103.2,60.011,20.0,2.908,12:13:50.965
115,18.4,59.993,25.6,0.597,3.0,0.222,25.3,2.417,26.6,103.2,59.993,20.2,2.152,12:13:52.070
116,18.4,59.988,24.2,0.525,3.0,0.245,27.4,3.134,28.1,103.2,59.988,20.2,2.341,12:13:53.172
117,18.8,59.879,25.6,0.53,3.0,0.242,25.3,2.53,26.6,103.2,59.879,20.2,2.379,12:13:54.275
118,18.8,59.842,24.2,0.616,3.0,0.223,27.4,2.077,26.6,103.2,59.842,20.0,2.19,12:13:55.378
119,18.4,59.686,24.2,0.536,3.0,0.24,25.3,2.228,26.6,103.2,59.686,20.4,2.605,12:13:56.487
120,18.8,59.968,25.6,0.586,3.0,0.26,25.3,3.096,26.6,103.2,59.968,20.7,2.643,12:13:57.610
121,18.6,59.873,24.2,0.555,3.0,0.256,25.3,2.115,26.6,103.2,59.873,20.0,2.643,12:13:58.719
122,18.4,59.96,24.2,0.596,3.0,0.251,27.4,2.945,28.1,103.2,59.96,20.4,2.756,12:13:59.840
123,18.6,59.932,24.2,0.648,3.0,0.356,25.3,2.643,26.6,103.2,59.932,20.0,2.908,12:14:00.945
124,18.4,60.013,25.6,0.568,3.0,0.221,25.3,4.078,26.6,103.2,60.013,20.2,2.379,12:14:02.071
125,18.4,59.865,24.2,0.573,3.0,0.243,27.4,3.021,28.0,103.2,59.865,20.2,2.115,12:14:03.180
126,18.4,59.657,24.2,0.605,3.0,0.304,25.3,2.87,26.6,103.2,59.657,20.0,2.87,12:14:04.303
127,18.4,58.811,25.7,0.521,3.0,0.323,25.3,2.53,26.6,103.2,58.811,20.0,3.625,12:14:05.413
128,18.2,59.784,24.2,0.62,3.0,0.228,27.4,2.983,26.6,103.2,59.784,20.0,2.454,12:14:06.522
129,18.8,59.966,24.2,0.587,3.0,0.259,25.3,3.474,26.5,103.2,59.966,20.2,2.228,12:14:07.627
130,18.4,60.015,25.6,0.543,3.0,0.233,25.3,2.266,26.5,103.2,60.015,20.2,3.134,12:14:08.732
131,18.8,59.741,24.2,0.603,3.0,0.27,27.4,2.681,26.5,103.2,59.741,20.2,2.756,12:14:09.852
132,18.4,59.904,24.2,0.615,3.0,0.271,25.3,2.719,26.5,103.2,59.904,20.4,2.53,12:14:10.959
133,18.6,60.024,24.2,0.52,3.0,0.303,25.3,2.266,26.5,103.2,60.024,20.2,2.039,12:14:12.095
134,18.4,59.928,24.2,0.598,3.0,0.254,25.3,2.417,26.5,103.2,59.928,20.4,2.492,12:14:13.211
135,18.4,61.737,24.2,0.525,3.0,0.264,27.4,2.568,28.0,103.2,61.737,20.0,2.794,12:14:14.320
136,19.1,60.093,24.2,0.546,3.0,0.237,25.3,2.719,26.5,103.2,60.093,20.7,2.794,12:14:15.431
137,18.8,60.217,25.7,0.541,3.0,0.245,25.3,2.983,26.5,103.2,60.217,20.2,2.756,12:14:16.539
138,18.6,59.847,24.2,0.536,3.0,0.286,27.4,3.172,27.9,103.2,59.847,20.7,2.341,12:14:17.647
139,18.2,59.634,24.2,0.593,3.0,0.236,25.3,3.172,26.5,103.2,59.634,20.4,2.832,12:14:18.757
140,18.8,59.978,25.7,0.531,3.0,0.261,25.3,2.832,26.5,103.2,59.978,20.7,2.605,12:14:19.881
141,18.4,59.921,24.2,0.63,3.0,0.31,25.3,2.87,26.5,103.2,59.921,20.2,2.87,12:14:21.002
142,19.3,59.949,24.2,0.646,3.0,0.228,27.4,2.681,27.9,103.2,59.949,20.2,1.737,12:14:22.128
143,18.6,60.035,24.2,0.584,3.0,0.273,25.3,3.021,26.4,103.2,60.035,20.2,2.303,12:14:23.236
144,18.8,60.106,25.7,0.615,3.0,0.25,25.3,2.19,26.4,103.2,60.106,20.2,2.454,12:14:24.346
145,18.4,59.822,24.2,0.555,3.0,0.233,27.4,2.605,27.9,103.2,59.822,20.2,3.323,12:14:25.454
146,18.2,59.956,24.2,0.549,3.0,0.363,27.3,2.341,27.9,103.2,59.956,20.4,2.605,12:14:26.579
147,18.4,59.81,25.7,0.616,3.0,0.266,25.3,3.323,26.4,103.2,59.81,20.2,2.945,12:14:27.685
148,18.4,60.019,24.2,0.596,3.0,0.293,27.4,4.04,26.4,103.2,60.019,20.7,3.625,12:14:28.796
149,18.8,59.75,24.2,0.608,3.0,0.394,25.3,3.059,26.4,103.2,59.75,20.2,3.587,12:14:29.905
150,18.2,59.701,25.7,0.619,3.0,0.27,25.3,3.361,26.4,103.2,59.701,20.7,3.663,12:14:31.013
151,18.6,59.883,24.2,0.592,3.0,0.227,27.4,2.605,27.9,103.2,59.883,20.4,1.888,12:14:32.131
152,18.8,59.66,24.2,0.564,3.0,0.265,25.3,3.549,26.4,103.2,59.66,20.2,2.832,12:14:33.237
153,18.6,59.972,24.2,0.653,3.0,0.247,25.3,2.341,26.4,103.2,59.972,20.7,3.21,12:14:34.344
154,18.8,59.858,24.2,0.54,3.0,0.181,25.3,2.568,26.4,103.2,59.858,20.2,2.87,12:14:35.464
155,18.4,59.978,24.2,0.621,3.0,0.226,25.3,2.681,26.4,103.2,59.978,20.7,3.21,12:14:36.571
156,18.4,59.828,25.7,0.636,3.0,0.281,25.3,3.285,26.4,103.2,59.828,20.0,3.285,12:14:37.689
157,18.4,59.936,24.3,0.621,3.0,0.281,25.3,3.247,26.4,103.2,59.936,20.2,4.267,12:14:38.811
158,18.8,59.74,24.3,0.61,3.0,0.288,27.3,3.021,27.8,103.2,59.74,20.7,2.681,12:14:39.934
159,18.8,59.912,24.3,0.613,3.0,0.259,25.3,3.512,26.4,103.2,59.912,20.2,2.228,12:14:41.053
160,18.6,59.67,25.7,0.491,3.0,0.27,25.3,2.87,26.3,103.2,59.67,20.2,2.719,12:14:42.178
161,19.1,59.828,24.3,0.654,3.0,0.264,25.3,2.379,26.3,103.2,59.828,20.7,2.681,12:14:43.284
162,18.8,59.728,24.3,0.507,3.0,0.347,27.4,2.379,27.8,103.2,59.728,20.7,2.53,12:14:44.395
163,18.8,59.828,25.7,0.551,3.0,0.266,25.3,2.417,26.3,103.2,59.828,20.4,2.379,12:14:45.501
164,18.4,59.832,24.3,0.554,3.0,0.216,25.3,2.266,26.3,103.2,59.832,20.7,2.605,12:14:46.618
165,19.1,60.102,24.3,0.571,3.0,0.247,25.3,3.398,26.3,103.2,60.102,20.2,2.492,12:14:47.722
166,18.8,59.761,25.7,0.621,3.0,0.321,25.3,2.832,26.3,103.2,59.761,20.7,2.756,12:14:48.843
167,18.6,59.613,24.3,0.613,3.0,0.24,25.3,2.908,26.3,103.2,59.613,20.4,3.738,12:14:49.949
168,18.4,60.377,24.3,0.619,3.0,0.271,27.4,3.059,26.2,103.2,60.377,20.4,2.379,12:14:51.055
169,19.3,60.064,25.7,0.564,3.0,0.238,25.3,2.719,26.2,103.2,60.064,20.7,1.699,12:14:52.162
170,18.8,60.127,24.3,0.584,3.0,0.237,25.3,2.87,26.2,103.2,60.127,20.7,3.021,12:14:53.292
171,18.4,60.245,24.3,0.593,3.0,0.291,27.4,2.379,27.7,103.2,59.798,20.7,2.077,12:14:54.404
172,18.8,60.326,24.3,0.619,3.0,0.26,27.4,3.096,26.2,103.2,60.326,20.2,2.454,12:14:55.526
173,18.6,60.19,24.3,0.538,3.0,0.286,25.3,2.341,26.2,103.2,60.19,20.2,2.341,12:14:56.632
174,18.6,60.257,24.3,0.582,3.0,0.309,27.4,2.454,27.6,103.2,60.257,20.2,2.152,12:14:57.742
175,18.4,59.317,24.3,0.563,3.0,0.256,27.4,2.303,26.1,103.2,59.317,20.7,2.945,12:14:58.864
176,18.6,60.134,25.7,0.577,3.0,0.284,25.3,2.303,26.1,103.2,60.728,20.2,2.228,12:14:59.983
177,18.8,59.849,25.7,0.593,3.0,0.314,25.3,2.87,26.1,103.2,59.849,20.2,2.379,12:15:01.108
178,18.8,59.794,24.3,0.558,3.0,0.232,27.4,2.228,27.5,103.2,59.794,20.4,2.152,12:15:02.216
179,19.3,59.771,24.3,0.54,3.0,0.309,27.4,2.115,26.0,103.2,59.771,20.4,2.756,12:15:03.340
180,18.6,59.861,25.7,0.605,3.0,0.251,25.3,2.19,26.0,103.2,59.861,20.4,2.643,12:15:04.449
181,18.8,59.725,25.8,0.56,3.0,0.243,25.3,2.681,26.0,103.2,59.725,20.2,2.832,12:15:05.575
182,19.5,60.567,24.3,0.659,3.0,0.271,27.3,2.492,27.5,103.2,60.567,20.7,2.53,12:15:06.682
183,18.8,59.856,25.7,0.586,3.0,0.313,25.3,2.605,26.0,103.2,59.856,20.2,2.341,12:15:07.788
184,19.3,59.461,25.7,0.62,3.0,0.356,25.3,2.643,26.0,103.2,59.461,20.7,3.398,12:15:08.925
185,18.6,60.178,24.3,0.588,3.0,0.237,25.3,3.247,26.0,103.2,60.178,20.7,1.964,12:15:10.049
186,18.8,59.622,24.3,0.544,3.0,0.278,25.3,3.172,27.4,103.2,59.622,20.2,2.039,12:15:11.171
187,18.4,59.929,24.3,0.511,3.0,0.227,27.4,2.53,27.4,103.2,59.929,20.4,2.266,12:15:12.295
188,18.4,59.925,25.8,0.582,3.0,0.286,25.3,2.266,25.9,103.2,59.925,20.7,2.266,12:15:13.399
189,18.8,60.463,24.3,0.505,3.0,0.278,27.4,2.228,27.4,103.2,60.463,20.4,2.001,12:15:14.501
190,19.3,59.636,24.3,0.563,3.0,0.248,27.4,2.756,25.9,103.2,59.636,20.9,2.379,12:15:15.623
191,18.4,60.713,25.8,0.625,3.0,0.273,25.3,2.152,25.9,103.2,60.713,20.2,2.417,12:15:16.727
192,19.1,60.385,24.3,0.541,3.0,0.343,25.3,2.19,27.3,103.2,60.385,20.7,2.417,12:15:17.838
193,19.3,59.526,24.3,0.593,3.0,0.316,27.4,2.53,25.8,103.2,59.526,20.2,2.794,12:15:18.945
194,18.6,59.992,25.8,0.568,3.0,0.256,25.3,2.417,25.8,103.2,59.992,20.2,2.417,12:15:20.053
195,19.5,60.214,24.3,0.631,3.0,0.295,25.3,3.889,27.3,103.2,60.214,20.7,1.964,12:15:21.171
196,19.3,60.556,24.3,0.635,3.0,0.238,27.4,3.172,27.3,103.2,60.556,20.2,2.379,12:15:22.295
197,19.3,59.013,24.4,0.601,3.0,0.281,25.3,3.21,25.8,103.2,59.013,20.2,3.587,12:15:23.414
198,18.6,59.164,24.4,0.601,3.0,0.303,25.3,2.039,25.8,103.2,59.164,20.4,2.303,12:15:24.512
199,18.8,59.835,24.4,0.593,3.0,0.228,27.4,2.454,27.3,103.2,59.835,20.4,1.775,12:15:25.641
200,18.8,59.877,24.3,0.543,3.0,0.247,27.5,2.719,27.3,103.2,59.877,20.7,2.228,12:15:26.764
201,18.8,60.514,24.4,0.608,3.0,0.271,25.4,2.832,25.8,103.2,60.514,20.7,2.568,12:15:27.884
202,18.6,59.081,24.4,0.651,3.0,0.269,25.4,2.719,25.8,103.2,59.081,20.7,2.719,12:15:28.987
203,18.4,60.028,24.4,0.593,3.0,0.284,27.5,2.568,27.2,103.2,60.028,20.4,1.85,12:15:30.108
204,18.8,59.617,25.8,0.591,3.0,0.254,25.4,2.87,25.7,103.2,59.617,21.1,2.152,12:15:31.211
205,18.2,60.963,25.8,0.525,3.0,0.256,25.4,2.417,25.7,103.2,60.963,20.4,2.379,12:15:32.337
206,19.1,59.668,24.4,0.596,3.0,0.243,27.5,2.115,27.2,103.2,59.668,20.2,2.53,12:15:33.439
207,18.8,59.875,24.4,0.596,3.0,0.288,25.4,2.908,25.7,103.2,59.875,20.7,2.794,12:15:34.562
208,18.6,59.974,24.4,0.593,3.0,0.255,25.4,2.341,25.7,103.2,59.974,20.4,2.87,12:15:35.703
209,18.6,60.268,25.8,0.635,3.0,0.303,25.4,2.568,25.7,103.2,60.268,20.4,3.512,12:15:36.824
210,19.1,60.254,24.4,0.576,3.0,0.28,25.5,2.266,25.7,103.2,60.254,20.7,2.605,12:15:37.946
211,18.8,60.059,24.4,0.508,3.0,0.295,25.5,3.247,27.2,103.2,60.059,20.9,2.039,12:15:39.069
212,19.1,59.798,24.4,0.543,3.0,0.216,27.6,2.832,25.7,103.2,59.798,20.9,1.85,12:15:40.180
213,18.8,59.97,24.4,0.624,3.0,0.3,27.6,2.417,25.7,103.2,59.97,20.7,2.53,12:15:41.306
214,18.4,60.414,25.9,0.559,3.0,0.248,25.5,3.096,25.7,103.2,60.414,20.7,1.85,12:15:42.424
215,18.4,59.789,24.4,0.624,3.0,0.271,25.5,2.945,25.7,103.2,59.789,21.1,2.039,12:15:43.547
216,18.4,60.909,24.4,0.592,3.0,0.269,27.6,2.681,25.7,103.2,60.909,20.7,2.115,12:15:44.658
217,18.6,59.447,25.9,0.598,3.0,0.291,25.5,2.832,25.7,103.2,59.447,20.7,2.077,12:15:45.768
218,18.8,59.051,24.5,0.601,3.0,0.278,25.6,2.568,25.7,103.2,59.051,20.4,2.908,12:15:46.890
219,19.5,59.938,24.5,0.584,3.0,0.25,25.6,4.909,25.7,103.2,59.938,20.4,2.039,12:15:48.027
220,19.3,59.974,24.5,0.571,3.0,0.281,27.7,3.172,27.2,103.2,59.974,20.4,1.548,12:15:49.150
221,18.8,58.944,24.5,0.544,3.0,0.24,27.7,2.341,25.7,103.2,58.944,20.4,2.945,12:15:50.272
