Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2_old,mixer_torque_M2,mixer_torque_M1_old,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
31,7.9,5.9,5.3525,3.058571429,5.3525,3.058571429,59.9293,59.761,23:04.8
32,7.5,5.2,5.4186,3.096342857,5.1542,2.945257143,60.082,60.1173,23:05.6
33,7.7,5.2,7.6653,4.380171429,6.608,3.776,59.919,59.7996,23:06.3
34,7.5,5.7,5.8811,3.360628571,6.0794,3.473942857,60.0183,60.053,23:07.1
35,7.3,6.1,6.4758,3.700457143,6.2776,3.5872,60.3326,60.0976,23:07.9
36,7.7,5.7,7.6653,4.380171429,5.6829,3.247371429,60.1046,59.6381,23:08.6
37,7.9,6.1,7.467,4.266857143,6.0133,3.436171429,60.1738,59.9992,23:09.4
38,7.7,5.7,5.2864,3.0208,5.749,3.285142857,60.0547,59.8609,23:10.2
39,7.7,5.4,6.2115,3.549428571,4.3613,2.492171429,60.0976,59.9344,23:10.9
40,7.7,6.1,6.7402,3.851542857,5.0221,2.869771429,59.9823,59.7642,23:11.7
41,7.7,5.4,5.4846,3.134057143,4.8238,2.756457143,60.0504,60.1359,23:12.4
42,7.5,5.9,6.608,3.776,4.4934,2.567657143,59.7249,59.8146,23:13.2
43,7.9,6.1,5.0221,2.869771429,4.4934,2.567657143,60.3118,60.1801,23:14.0
44,7.7,5.7,6.8062,3.889257143,6.4098,3.662742857,60.42,59.9953,23:14.7
45,7.5,5.7,7.0706,4.040342857,6.3437,3.624971429,59.9362,60.8148,23:15.5
46,7.7,5.2,5.815,3.322857143,6.4758,3.700457143,61.359,60.1088,23:16.3
47,7.3,5.7,5.5507,3.171828571,5.4186,3.096342857,59.8972,60.1757,23:17.0
48,7.9,6.1,7.1366,4.078057143,5.4186,3.096342857,60.1692,59.6517,23:17.8
49,7.5,5.9,5.2203,2.983028571,5.1542,2.945257143,59.8795,59.6985,23:18.6
50,7.3,5.7,4.956,2.832,4.6917,2.680971429,59.8883,60.3365,23:19.3
51,7.9,6.1,4.8238,2.756457143,4.6917,2.680971429,59.8835,59.8243,23:20.1
52,7.7,6.1,6.4098,3.662742857,5.3525,3.058571429,60.2582,60.1505,23:20.8
53,7.9,6.1,5.8811,3.360628571,6.0794,3.473942857,60.1683,60.4918,23:21.6
54,7.7,5.7,6.2776,3.5872,5.6829,3.247371429,60.069,59.6836,23:22.4
55,7.3,5.7,6.1454,3.511657143,6.0794,3.473942857,59.6027,60.0354,23:23.1
56,7.7,5.7,5.9472,3.3984,5.749,3.285142857,60.0071,59.9664,23:23.9
57,7.7,5.2,6.5419,3.738228571,6.608,3.776,59.96,59.7719,23:24.6
58,7.7,5.2,7.5992,4.3424,6.2115,3.549428571,59.4737,59.8185,23:25.4
59,7.9,6.3,5.0882,2.907542857,4.8899,2.794228571,59.9163,59.6676,23:26.1
60,7.5,5.9,5.5507,3.171828571,4.163,2.378857143,60.5957,59.8403,23:26.9
61,7.7,6.1,5.8811,3.360628571,5.4846,3.134057143,59.3658,60.0368,23:27.7
62,7.7,6.1,5.3525,3.058571429,5.5507,3.171828571,60.0355,59.4156,23:28.4
63,7.7,6.1,4.956,2.832,4.2291,2.416628571,60.0225,59.8642,23:29.2
64,7.3,6.1,4.8238,2.756457143,3.5683,2.039028571,60.1889,60.1691,23:29.9
65,7.5,5.2,6.608,3.776,4.956,2.832,59.884,59.9898,23:30.7
66,7.7,5.7,6.0794,3.473942857,5.6168,3.2096,59.8915,60.0409,23:31.5
67,7.9,5.4,7.3349,4.191371429,5.9472,3.3984,60.1149,60.353,23:32.2
68,7.9,5.4,5.3525,3.058571429,6.2776,3.5872,60.0004,60.7502,23:33.0
69,7.7,5.9,6.608,3.776,5.2864,3.0208,60.1311,59.7665,23:33.8
70,7.7,6.1,6.1454,3.511657143,6.1454,3.511657143,59.7862,59.8005,23:34.5
71,7.9,5.7,5.8811,3.360628571,6.2115,3.549428571,60.2723,59.9009,23:35.3
72,7.7,5.2,4.4934,2.567657143,4.8238,2.756457143,59.8361,59.9414,23:36.1
73,7.7,6.1,4.8238,2.756457143,4.7578,2.718742857,60.1945,59.923,23:36.8
74,7.7,5.7,5.4846,3.134057143,4.956,2.832,59.9065,59.9448,23:37.6
75,7.7,5.2,6.0133,3.436171429,5.5507,3.171828571,59.7832,60.0617,23:38.3
76,7.7,5.2,4.4934,2.567657143,5.8811,3.360628571,60.0018,60.1216,23:39.1
77,8.2,5.9,6.2115,3.549428571,4.956,2.832,59.6597,59.9195,23:39.9
78,7.5,5.9,6.8062,3.889257143,6.4098,3.662742857,60.0237,60.0778,23:40.6
79,7.5,5.7,7.0706,4.040342857,5.8811,3.360628571,60.0891,59.875,23:41.4
80,7.9,5.9,5.6168,3.2096,5.2864,3.0208,59.258,59.9928,23:42.1
81,7.9,6.3,5.6829,3.247371429,4.097,2.341142857,60.2251,59.6872,23:42.9
82,8.2,6.6,5.5507,3.171828571,5.6168,3.2096,60.2131,60.1186,23:43.7
83,8.2,6.1,6.5419,3.738228571,5.3525,3.058571429,60.0684,60.0289,23:44.4
84,7.7,6.1,5.0882,2.907542857,4.6917,2.680971429,59.8726,60.0397,23:45.2
85,7.7,6.3,5.1542,2.945257143,4.3613,2.492171429,59.9964,60.0715,23:45.9
86,7.7,5.7,6.2776,3.5872,5.8811,3.360628571,60.33,59.9874,23:46.7
87,7.9,5.7,5.6168,3.2096,5.1542,2.945257143,59.9128,59.5862,23:47.5
88,7.9,5.7,5.749,3.285142857,5.9472,3.3984,60.015,60.0001,23:48.2
89,7.7,6.1,5.8811,3.360628571,5.6829,3.247371429,59.796,60.2932,23:49.0
90,7.9,6.1,6.6741,3.813771429,6.4758,3.700457143,60.3559,60.3103,23:49.7
91,7.3,6.1,7.0706,4.040342857,6.5419,3.738228571,59.946,59.7321,23:50.5
92,7.5,5.4,5.9472,3.3984,5.749,3.285142857,60.0344,59.9155,23:51.3
93,7.7,5.9,4.5595,2.605428571,5.6168,3.2096,59.9104,60.1424,23:52.0
94,7.7,6.3,4.2291,2.416628571,5.0221,2.869771429,60.0107,60.4269,23:52.8
95,7.7,6.6,5.6829,3.247371429,6.3437,3.624971429,59.8182,60.078,23:53.6
96,7.7,6.1,5.1542,2.945257143,5.9472,3.3984,60.2938,60.1576,23:54.3
97,7.9,6.3,5.5507,3.171828571,5.5507,3.171828571,59.2742,59.7557,23:55.1
98,7.7,5.2,6.0794,3.473942857,5.4186,3.096342857,59.9398,60.0917,23:55.9
99,7.7,6.6,6.8723,3.927028571,6.2115,3.549428571,60.2506,59.8515,23:56.6
100,8.2,6.1,5.8811,3.360628571,5.5507,3.171828571,60.0577,60.3126,23:57.4
101,7.9,6.8,5.4846,3.134057143,4.6256,2.6432,59.894,59.9176,23:58.2
102,8.2,6.1,5.1542,2.945257143,4.6256,2.6432,59.9082,59.9459,23:58.9
103,8.4,5.4,5.2203,2.983028571,4.956,2.832,60.0458,60.0479,23:59.7
104,8.2,6.8,5.0882,2.907542857,4.8899,2.794228571,59.7509,60.0194,24:00.4
105,7.7,5.9,4.4274,2.529942857,4.956,2.832,59.5831,59.8188,24:01.2
106,7.7,6.1,5.2864,3.0208,4.5595,2.605428571,60.0323,59.8689,24:02.0
107,7.7,5.7,6.0794,3.473942857,4.8899,2.794228571,60.0903,60.0451,24:02.7
108,7.7,6.1,5.8811,3.360628571,5.3525,3.058571429,59.7914,60.0158,24:03.5
109,7.7,5.9,6.7402,3.851542857,4.7578,2.718742857,60.0889,60.5104,24:04.2
110,7.7,5.9,5.4846,3.134057143,5.5507,3.171828571,59.9239,59.8715,24:05.0
111,7.9,5.9,6.608,3.776,6.2115,3.549428571,59.4689,61.096,24:05.8
112,7.7,5.7,6.2776,3.5872,5.749,3.285142857,59.896,60.115,24:06.5
113,7.7,6.6,5.2203,2.983028571,5.2864,3.0208,60.0314,59.48,24:07.3
114,7.7,5.4,4.7578,2.718742857,4.7578,2.718742857,59.8023,59.7107,24:08.0
115,7.5,6.1,5.0882,2.907542857,4.956,2.832,60.1791,60.3741,24:08.8
116,8.2,5.9,5.2203,2.983028571,5.0882,2.907542857,60.1231,59.9769,24:09.6
117,7.9,5.7,6.5419,3.738228571,6.7402,3.851542857,59.7836,60.0011,24:10.3
118,7.9,6.1,4.7578,2.718742857,4.8899,2.794228571,59.9702,59.954,24:11.1
119,7.7,6.1,6.1454,3.511657143,5.6168,3.2096,59.8016,59.8691,24:11.9
120,7.9,5.7,7.7974,4.455657143,6.7402,3.851542857,60.1227,59.8295,24:12.6
121,7.7,6.1,6.6741,3.813771429,5.6829,3.247371429,59.9496,59.859,24:13.4
122,7.7,5.4,5.1542,2.945257143,5.749,3.285142857,59.4422,59.6237,24:14.1
123,8.4,5.9,7.0706,4.040342857,5.1542,2.945257143,59.9144,59.9155,24:14.9
124,7.9,6.8,6.1454,3.511657143,7.0706,4.040342857,60.2417,59.8139,24:15.6
125,7.7,6.8,6.0794,3.473942857,6.6741,3.813771429,60.173,59.8091,24:16.4
126,8.2,6.1,5.6168,3.2096,5.1542,2.945257143,60.7014,59.9194,24:17.2
127,8.2,5.7,5.2864,3.0208,4.7578,2.718742857,59.9837,60.305,24:17.9
128,8.2,6.3,4.956,2.832,5.4846,3.134057143,60.1098,59.9508,24:18.7
129,8.2,5.7,5.5507,3.171828571,5.4186,3.096342857,60.1462,59.7201,24:19.4
130,8.2,6.3,5.1542,2.945257143,4.7578,2.718742857,60.0249,59.5063,24:20.2
131,8.2,6.8,5.6168,3.2096,5.4186,3.096342857,59.97,59.8673,24:21.0
132,8.2,5.7,5.2203,2.983028571,5.2203,2.983028571,60.3061,59.9668,24:21.7
133,8.2,6.1,6.2115,3.549428571,6.0794,3.473942857,60.2046,60.2504,24:22.5
134,8.4,6.1,6.5419,3.738228571,5.2864,3.0208,59.8743,60.0091,24:23.2
135,7.7,5.7,5.6168,3.2096,6.2115,3.549428571,59.9068,60.1517,24:24.0
136,7.7,6.3,5.4186,3.096342857,6.3437,3.624971429,59.9038,59.996,24:24.8
137,7.9,5.9,4.6256,2.6432,5.4846,3.134057143,60.0798,60.2177,24:25.5
138,7.9,6.3,5.0221,2.869771429,4.163,2.378857143,59.6337,59.7191,24:26.3
139,7.9,6.3,4.4274,2.529942857,6.2115,3.549428571,59.8352,59.9774,24:27.1
140,7.7,6.6,5.4186,3.096342857,4.5595,2.605428571,59.8634,59.8048,24:27.8
141,7.9,6.3,5.5507,3.171828571,4.4934,2.567657143,59.9019,60.8154,24:28.6
142,7.7,6.1,5.749,3.285142857,6.9384,3.9648,59.7306,60.406,24:29.3
143,7.7,6.1,5.4846,3.134057143,6.5419,3.738228571,59.5498,59.6943,24:30.1
144,7.7,6.1,5.6829,3.247371429,5.8811,3.360628571,60.8458,60.3883,24:30.9
145,7.7,5.9,6.0133,3.436171429,6.0794,3.473942857,60.056,60.108,24:31.6
146,8.2,5.4,6.1454,3.511657143,5.2203,2.983028571,60.1092,59.802,24:32.4
147,7.9,5.7,4.6917,2.680971429,5.2864,3.0208,60.7238,60.0003,24:33.2
148,7.5,6.1,5.1542,2.945257143,4.956,2.832,59.9168,59.2404,24:33.9
149,7.9,6.3,5.5507,3.171828571,4.163,2.378857143,60.9561,60.0622,24:34.7
150,8.6,6.1,4.8238,2.756457143,5.0882,2.907542857,60.1458,59.8936,24:35.4
151,8.2,6.1,5.2864,3.0208,7.0045,4.002571429,59.8111,60.0849,24:36.2
152,8.2,5.7,5.2864,3.0208,4.2291,2.416628571,59.8391,59.9948,24:37.0
153,8.2,5.7,7.6653,4.380171429,6.5419,3.738228571,60.1247,60.1747,24:37.7
154,8.2,6.8,5.6168,3.2096,5.815,3.322857143,60.0691,59.9537,24:38.5
155,8.4,6.3,9.5155,5.437428571,6.0794,3.473942857,60.0539,59.8226,24:39.3
156,8.2,5.9,5.4846,3.134057143,4.6256,2.6432,59.628,60.0102,24:40.0
157,8.2,6.3,6.0794,3.473942857,5.4846,3.134057143,59.9335,59.5262,24:40.8
158,7.9,5.7,7.5992,4.3424,6.2115,3.549428571,59.7327,60.0717,24:41.6
159,7.9,7,5.5507,3.171828571,6.1454,3.511657143,59.8074,60.1997,24:42.3
160,8.2,6.8,4.4274,2.529942857,5.4846,3.134057143,60.0468,59.9025,24:43.1
161,8.2,5.7,6.608,3.776,6.1454,3.511657143,59.903,59.0032,24:43.9
162,7.7,6.3,6.4758,3.700457143,6.1454,3.511657143,60.0357,60.0443,24:44.6
163,7.7,5.7,5.8811,3.360628571,5.749,3.285142857,59.7722,59.8627,24:45.4
164,8.6,6.6,5.2864,3.0208,6.0133,3.436171429,60.1318,59.8998,24:46.2
165,8.2,7,5.4846,3.134057143,4.4274,2.529942857,60.501,59.5493,24:46.9
166,8.2,5.7,5.815,3.322857143,5.815,3.322857143,60.1148,60.0959,24:47.7
167,7.9,6.1,5.749,3.285142857,5.9472,3.3984,60.0038,59.886,24:48.4
168,7.9,6.3,4.8899,2.794228571,4.7578,2.718742857,60.1013,60.5848,24:49.2
169,7.7,6.1,4.8899,2.794228571,4.6256,2.6432,59.963,59.9214,24:50.0
170,8.2,6.1,5.8811,3.360628571,6.3437,3.624971429,59.9079,60.0428,24:50.7
171,7.7,6.8,5.6829,3.247371429,6.608,3.776,59.9629,60.0971,24:51.5
172,8.4,6.3,6.1454,3.511657143,6.2776,3.5872,59.7316,61.1962,24:52.3
173,8.2,5.9,5.0221,2.869771429,6.608,3.776,59.8175,60.0278,24:53.0
174,7.9,6.3,6.2115,3.549428571,5.2864,3.0208,60.0783,60.5578,24:53.8
175,7.9,5.4,5.749,3.285142857,5.1542,2.945257143,59.8705,59.6898,24:54.6
176,8.6,6.8,5.749,3.285142857,4.8899,2.794228571,60.3277,60.1864,24:55.3
177,8.4,5.9,4.6256,2.6432,5.815,3.322857143,59.8839,60.582,24:56.1
178,8.4,6.8,5.4186,3.096342857,5.2864,3.0208,61.4599,59.9997,24:56.9
179,8.2,6.6,7.401,4.229142857,8.5243,4.871028571,59.7747,59.9157,24:57.6
180,8.2,6.6,6.3437,3.624971429,5.5507,3.171828571,59.9942,59.9228,24:58.4
181,8.6,6.1,5.2203,2.983028571,4.6256,2.6432,59.8712,59.8391,24:59.2
182,8.2,6.1,5.2864,3.0208,4.2952,2.4544,60.6727,60.1164,24:59.9
183,8.2,6.3,5.0221,2.869771429,6.0133,3.436171429,60.0518,59.9929,25:00.7
184,8.2,6.1,5.6168,3.2096,5.1542,2.945257143,59.7557,59.8369,25:01.5
185,7.7,6.6,5.6168,3.2096,5.3525,3.058571429,60.1846,60.0933,25:02.2
186,7.9,6.3,6.0133,3.436171429,5.749,3.285142857,60.0109,60.0607,25:03.0
187,8.2,6.1,6.9384,3.9648,6.2776,3.5872,59.8488,59.6124,25:03.7
188,8.2,6.6,6.1454,3.511657143,6.4098,3.662742857,59.9875,61.0515,25:04.5
189,7.9,6.8,7.9296,4.5312,5.9472,3.3984,60.6082,60.0624,25:05.3
190,8.2,6.6,5.6829,3.247371429,5.2203,2.983028571,59.9317,59.8395,25:06.0
191,8.4,5.9,6.8062,3.889257143,6.0794,3.473942857,59.8288,61.0414,25:06.8
192,8.4,6.6,6.3437,3.624971429,5.5507,3.171828571,59.9861,60.3199,25:07.5
193,8.2,6.1,7.9957,4.568971429,5.2203,2.983028571,60.1082,60.0029,25:08.3
194,8.6,6.3,4.5595,2.605428571,6.3437,3.624971429,59.9123,60.1946,25:09.0
195,7.9,6.1,5.815,3.322857143,7.0706,4.040342857,59.92,60.3879,25:09.8
196,8.2,6.1,5.815,3.322857143,5.749,3.285142857,60.0634,60.0705,25:10.6
197,7.9,6.6,6.3437,3.624971429,6.0794,3.473942857,60.5774,60.1439,25:11.4
198,8.6,6.6,5.4846,3.134057143,6.0794,3.473942857,59.9673,60.0006,25:12.1
199,8.6,6.6,5.815,3.322857143,5.3525,3.058571429,60.6142,59.3982,25:12.9
200,8.2,5.7,5.2203,2.983028571,6.2115,3.549428571,60.2141,59.8333,25:13.7
201,8.2,6.1,6.0794,3.473942857,5.0882,2.907542857,59.9596,59.0384,25:14.4
202,7.9,6.8,6.0794,3.473942857,4.4934,2.567657143,59.8996,59.5135,25:15.2
203,7.9,6.1,5.749,3.285142857,5.6829,3.247371429,59.9115,60.1581,25:16.0
204,8.6,6.1,7.9957,4.568971429,6.8062,3.889257143,60.5371,59.8333,25:16.7
205,8.6,6.1,6.608,3.776,6.2776,3.5872,59.8355,59.7011,25:17.5
206,8.2,6.1,7.9957,4.568971429,7.7314,4.417942857,59.8981,60.534,25:18.3
207,8.2,6.1,5.1542,2.945257143,5.2864,3.0208,59.9482,60.277,25:19.0
208,8.2,6.3,5.4846,3.134057143,4.8238,2.756457143,60.15,59.4694,25:19.8
209,8.4,6.1,5.6829,3.247371429,5.6168,3.2096,60.1926,59.7674,25:20.6
210,8.4,6.3,7.401,4.229142857,6.2776,3.5872,60.1869,59.8712,25:21.4
211,7.9,6.1,5.4186,3.096342857,5.0221,2.869771429,60.1413,59.2155,25:22.2
212,8.4,6.6,5.3525,3.058571429,4.956,2.832,60.5704,59.7214,25:22.9
213,8.4,6.6,5.3525,3.058571429,4.956,2.832,59.962,59.7969,25:23.7
214,8.2,6.1,4.956,2.832,5.0221,2.869771429,60.2911,60.4795,25:24.4
215,8.2,6.3,5.749,3.285142857,5.2864,3.0208,61.2566,59.6222,25:25.2
216,8.6,6.1,4.8899,2.794228571,5.0221,2.869771429,59.9908,59.9266,25:26.0
217,8.2,6.3,6.608,3.776,6.4098,3.662742857,60.3836,59.9724,25:26.7
218,7.9,7,6.3437,3.624971429,6.4098,3.662742857,59.877,59.9499,25:27.5
219,7.9,6.1,6.5419,3.738228571,6.2115,3.549428571,60.0625,60.3142,25:28.2
220,7.9,6.3,5.749,3.285142857,5.8811,3.360628571,60.0057,60.1823,25:29.0
221,8.6,6.8,6.4098,3.662742857,6.0133,3.436171429,59.9681,59.7669,25:29.8
222,8.2,6.6,5.815,3.322857143,5.6829,3.247371429,59.9783,60.1375,25:30.5
223,7.9,7,6.0133,3.436171429,5.9472,3.3984,59.9109,60.5188,25:31.3
224,8.4,6.1,4.6917,2.680971429,6.0133,3.436171429,59.7879,60.0594,25:32.0
225,8.2,6.6,5.1542,2.945257143,4.6917,2.680971429,59.9452,60.0297,25:32.8
226,8.2,5.7,4.4934,2.567657143,5.5507,3.171828571,59.9776,60.021,25:33.6
227,8.2,6.1,7.6653,4.380171429,6.2115,3.549428571,59.96,60.3526,25:34.3
228,8.6,6.8,5.2864,3.0208,5.4186,3.096342857,59.8004,59.9254,25:35.1
229,8.2,6.6,8.3922,4.795542857,6.4098,3.662742857,59.831,59.9944,25:35.9
230,8.6,6.1,7.0045,4.002571429,6.6741,3.813771429,59.9103,59.9837,25:36.6
231,8.2,6.3,6.0794,3.473942857,5.815,3.322857143,59.9945,59.8579,25:37.4
232,8.2,6.3,4.956,2.832,5.749,3.285142857,59.9455,59.9537,25:38.2
233,8.2,6.3,6.5419,3.738228571,5.0221,2.869771429,60.3218,59.6086,25:38.9
234,8.2,6.3,5.4186,3.096342857,4.4274,2.529942857,60.0278,59.9519,25:39.7
235,8.2,6.3,7.7314,4.417942857,6.7402,3.851542857,59.9438,60.1528,25:40.4
236,8.4,6.1,3.7666,2.152342857,4.7578,2.718742857,60.1646,60.951,25:41.2
237,8.2,6.6,3.6344,2.0768,3.4362,1.963542857,20.4848,20.4302,25:42.0
238,8.2,6.3,4.2291,2.416628571,5.0882,2.907542857,20.2034,19.9779,25:42.7
239,8.4,5.9,2.8414,1.623657143,4.2952,2.4544,20.0474,20.5057,25:43.5
240,8.2,6.1,3.0397,1.736971429,3.0397,1.736971429,20.4285,20.3906,25:44.3
241,8.6,5.9,3.5683,2.039028571,3.7666,2.152342857,20.266,20.1817,25:45.0
242,8.6,6.1,4.0309,2.303371429,3.0397,1.736971429,20.481,20.4043,25:45.8
243,8.2,6.6,3.7005,2.114571429,3.0397,1.736971429,20.7077,20.4698,25:46.6
244,8.6,6.6,3.8326,2.190057143,2.9736,1.6992,20.6775,20.5138,25:47.3
245,8.6,6.6,3.7005,2.114571429,3.1058,1.774742857,20.4254,20.4346,25:48.1
246,8.2,7.3,3.1058,1.774742857,4.5595,2.605428571,20.6395,20.7419,25:48.9
247,8.6,5.9,2.9075,1.661428571,3.7666,2.152342857,20.2849,20.1006,25:49.6
248,8.6,6.3,4.6256,2.6432,3.304,1.888,20.6061,20.4758,25:50.4
249,8.6,6.6,2.2467,1.283828571,5.9472,3.3984,20.4495,20.3754,25:51.2
250,8.4,6.1,4.2291,2.416628571,3.9648,2.2656,20.2524,20.2572,25:51.9
251,8.2,5.7,3.1718,1.812457143,2.7093,1.548171429,20.2858,20.0934,25:52.7
252,8.2,6.6,3.5022,2.001257143,3.8326,2.190057143,20.5264,20.3882,25:53.5
253,8.4,6.3,4.6256,2.6432,3.8987,2.227828571,20.4176,21.0308,25:54.2
254,8.2,6.1,4.6917,2.680971429,3.7666,2.152342857,20.4611,20.4761,25:55.0
255,8.2,6.6,3.0397,1.736971429,2.7754,1.585942857,20.6073,20.5113,25:55.8
256,7.9,6.1,4.4934,2.567657143,3.3701,1.925771429,20.2504,20.229,25:56.5
257,8.2,6.6,3.3701,1.925771429,4.6256,2.6432,20.5132,20.2268,25:57.3
258,8.6,6.8,3.6344,2.0768,2.9736,1.6992,20.4181,20.426,25:58.1
259,8.2,5.9,5.4186,3.096342857,4.0309,2.303371429,20.2972,20.3738,25:58.8
260,8.2,5.9,3.1058,1.774742857,3.2379,1.850228571,20.6504,20.4063,25:59.6
261,8.2,6.3,3.5022,2.001257143,4.4934,2.567657143,20.8466,20.3731,26:00.4
262,8.6,6.6,3.1058,1.774742857,4.0309,2.303371429,20.0472,20.3644,26:01.1
263,8.4,6.1,5.0882,2.907542857,5.2864,3.0208,39.7639,39.5939,26:01.9
264,8.2,6.1,4.8899,2.794228571,4.2291,2.416628571,39.5899,39.5202,26:02.7
265,8.2,6.8,5.9472,3.3984,4.6917,2.680971429,39.6904,39.7219,26:03.4
266,8.2,5.7,4.3613,2.492171429,4.6917,2.680971429,39.2654,39.1078,26:04.2
267,7.9,5.9,6.608,3.776,4.5595,2.605428571,39.6065,39.8273,26:05.0
268,7.9,5.9,4.097,2.341142857,5.2864,3.0208,39.6465,39.7194,26:05.7
269,8.4,5.7,6.0133,3.436171429,4.6917,2.680971429,39.7266,39.6361,26:06.5
270,8.4,7,4.8238,2.756457143,4.6256,2.6432,39.7575,40.4019,26:07.2
271,8.2,6.3,4.6256,2.6432,4.6256,2.6432,39.6284,39.6431,26:08.0
272,8.2,6.1,4.5595,2.605428571,5.8811,3.360628571,39.6645,39.7164,26:08.8
273,8.2,6.6,5.0221,2.869771429,5.0882,2.907542857,39.5792,39.4762,26:09.5
274,8.4,5.9,4.4274,2.529942857,4.7578,2.718742857,39.2735,39.4374,26:10.3
275,8.6,6.3,6.2776,3.5872,4.5595,2.605428571,40.0473,39.4578,26:11.1
276,8.4,7.5,4.3613,2.492171429,5.2203,2.983028571,39.3598,39.7015,26:11.8
277,8.6,6.6,5.8811,3.360628571,4.6917,2.680971429,39.5985,39.7889,26:12.6
278,8.2,6.1,4.4934,2.567657143,4.3613,2.492171429,39.5187,39.3992,26:13.4
279,8.4,7,6.0794,3.473942857,5.1542,2.945257143,39.3339,39.3243,26:14.1
280,8.2,7,4.8899,2.794228571,4.7578,2.718742857,39.4769,39.6181,26:14.9
281,8.2,6.8,6.8723,3.927028571,4.5595,2.605428571,39.3665,39.5378,26:15.7
282,8.2,7,4.3613,2.492171429,6.9384,3.9648,39.1361,39.3778,26:16.5
283,8.6,6.8,5.0221,2.869771429,5.5507,3.171828571,39.5475,39.6977,26:17.2
284,8.2,6.3,4.097,2.341142857,6.4098,3.662742857,39.5618,39.7087,26:18.0
285,8.2,6.6,5.1542,2.945257143,4.7578,2.718742857,39.6053,39.6212,26:18.8
286,8.2,6.6,4.0309,2.303371429,4.6256,2.6432,39.8382,39.5485,26:19.5
287,8.2,6.6,4.0309,2.303371429,6.3437,3.624971429,39.4971,39.6288,26:20.3
288,8.2,6.8,3.9648,2.2656,4.6256,2.6432,40.3856,39.582,26:21.0
289,8.4,5.7,6.7402,3.851542857,6.0794,3.473942857,59.9063,59.9417,26:21.8
290,8.4,6.3,7.2027,4.115828571,8.9208,5.0976,59.9192,59.9656,26:22.5
291,8.4,6.3,6.4758,3.700457143,5.6829,3.247371429,60.5081,60.2741,26:23.3
292,8.6,6.6,6.2776,3.5872,6.5419,3.738228571,59.8811,59.8223,26:24.1
293,8.8,7,6.0794,3.473942857,6.1454,3.511657143,59.8488,60.4312,26:24.8
