Log,ac_flowrate,cp_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_speed_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,Time
30,172.1,0.85,5.0,23.7,23.2,0.227,23.6,19.1,17.9,119.933,3.927,3.549,119.933,11:36:58.406
31,172.1,0.988,5.0,25.7,23.2,0.305,25.1,19.1,17.9,120.018,3.21,4.531,120.018,11:36:59.511
32,172.1,0.853,5.0,23.7,24.7,0.276,23.6,19.1,17.0,119.61,5.513,2.908,119.61,11:37:00.615
33,172.1,1.052,5.0,25.7,23.2,0.266,25.1,19.5,17.9,120.283,3.323,3.361,120.283,11:37:01.718
34,172.1,0.944,5.0,23.7,23.2,0.255,23.6,18.8,17.9,120.195,3.663,3.814,120.195,11:37:02.825
35,172.1,0.863,5.0,23.7,23.2,0.286,23.7,19.1,17.9,119.966,4.456,4.04,119.966,11:37:03.929
36,172.1,0.957,5.0,23.7,23.2,0.317,23.7,19.5,17.5,120.241,3.587,3.549,120.241,11:37:05.033
37,172.1,0.869,5.0,23.7,24.7,0.276,23.7,19.1,17.5,119.853,4.569,3.059,119.853,11:37:06.141
38,172.1,0.944,5.0,25.7,23.2,0.266,25.1,19.5,17.9,119.572,3.587,4.38,119.572,11:37:07.247
39,172.1,0.881,5.0,23.7,23.2,0.242,23.7,19.3,17.9,120.538,5.211,3.587,120.538,11:37:08.360
40,172.1,0.901,5.0,23.7,23.2,0.314,23.7,18.8,17.5,120.143,5.022,4.267,120.143,11:37:09.452
41,172.1,0.969,5.0,25.8,23.2,0.321,25.1,19.1,17.7,120.035,4.456,3.965,120.035,11:37:10.562
42,172.1,0.869,5.0,23.7,24.7,0.233,23.7,19.8,18.2,119.662,5.098,3.021,119.662,11:37:11.670
43,172.1,0.922,5.0,25.8,23.2,0.271,25.1,18.8,17.5,121.443,3.172,3.927,121.443,11:37:12.771
44,172.1,0.996,5.0,23.7,23.2,0.309,23.7,19.5,18.2,119.725,5.286,4.871,119.725,11:37:13.880
45,172.1,0.83,5.0,23.7,23.2,0.273,23.7,19.1,17.9,120.667,3.889,4.229,120.667,11:37:14.985
46,172.1,0.953,5.0,25.8,23.2,0.3,25.1,18.8,18.2,120.856,3.587,3.474,120.856,11:37:16.095
47,172.1,0.927,5.0,23.7,24.7,0.3,23.7,19.1,17.9,119.693,3.361,3.814,119.693,11:37:17.200
48,172.1,0.879,5.0,25.8,23.3,0.266,25.2,19.3,17.9,120.505,4.418,3.059,120.505,11:37:18.305
49,172.1,0.891,5.0,23.7,24.7,0.28,23.7,19.3,17.9,120.678,3.247,3.361,120.678,11:37:19.406
50,172.1,0.857,5.0,23.7,23.3,0.313,23.7,19.1,17.7,120.239,3.285,3.474,120.239,11:37:20.513
51,172.1,0.964,5.0,25.8,23.3,0.321,25.2,19.1,17.9,120.146,4.191,3.172,120.146,11:37:21.618
52,172.1,0.845,5.0,23.7,24.7,0.31,23.7,20.0,18.2,120.274,3.172,3.021,120.274,11:37:22.725
53,172.1,0.857,5.0,25.8,23.3,0.298,25.2,19.5,17.9,119.97,4.154,3.172,119.97,11:37:23.826
54,172.1,1.047,5.0,23.7,24.7,0.26,23.7,19.3,17.9,119.654,4.493,3.852,119.654,11:37:24.933
55,172.1,0.868,5.0,23.7,23.3,0.261,25.2,19.5,17.9,120.028,2.945,2.945,120.028,11:37:26.036
56,172.1,0.964,5.0,25.8,23.3,0.242,23.7,19.5,17.7,119.859,3.625,2.719,119.859,11:37:27.141
57,172.1,0.983,5.0,23.7,23.3,0.231,23.7,19.3,17.9,120.413,3.096,2.719,120.413,11:37:28.247
58,172.1,0.85,5.0,25.8,23.3,0.278,25.2,19.8,17.7,120.079,4.342,2.87,120.079,11:37:29.352
59,172.1,0.977,5.0,23.7,23.3,0.269,23.8,19.1,18.4,120.176,3.096,2.832,120.176,11:37:30.460
60,172.1,0.936,5.0,23.7,23.3,0.276,23.8,19.1,17.9,120.215,4.493,2.908,120.215,11:37:31.566
61,172.1,0.912,5.0,25.8,23.3,0.273,23.8,20.0,18.2,120.192,4.116,2.19,120.192,11:37:32.675
62,172.1,0.916,5.0,23.7,24.8,0.286,23.8,19.5,17.9,120.819,2.719,2.983,120.819,11:37:33.780
63,172.1,0.891,5.0,23.7,23.3,0.289,25.2,19.1,17.7,119.616,3.587,3.361,119.616,11:37:34.888
64,172.1,0.979,5.0,23.7,23.3,0.299,23.8,19.3,17.9,119.814,3.436,2.908,119.814,11:37:35.996
65,172.1,0.809,5.0,23.7,23.3,0.313,23.8,19.3,17.9,120.139,3.096,2.492,120.139,11:37:37.104
66,172.1,0.891,5.0,25.8,23.3,0.247,25.2,19.5,17.9,120.119,3.512,2.832,120.119,11:37:38.208
67,172.1,1.005,5.0,23.7,24.8,0.265,23.8,19.3,18.2,119.576,3.474,3.21,119.576,11:37:39.312
68,172.1,0.845,5.0,23.7,23.3,0.276,25.2,19.5,17.7,119.675,3.549,3.323,119.675,11:37:40.414
69,172.1,0.916,5.0,25.8,23.3,0.343,25.2,19.8,18.4,119.616,3.21,2.908,119.616,11:37:41.537
70,172.1,0.949,5.0,23.7,24.8,0.319,23.8,19.8,17.5,119.685,3.625,3.852,119.685,11:37:42.644
71,172.1,0.892,5.0,23.7,23.4,0.276,25.3,19.3,17.9,120.161,2.681,2.794,120.161,11:37:43.749
72,172.1,0.924,5.0,25.8,23.3,0.341,23.8,19.5,17.7,119.907,3.398,2.719,119.907,11:37:44.858
73,172.1,0.9,5.0,23.7,23.4,0.288,23.8,19.8,17.9,119.962,3.436,3.021,119.962,11:37:45.964
74,172.1,0.891,5.0,25.8,23.4,0.286,25.3,19.5,17.9,120.753,3.776,2.87,120.753,11:37:47.073
75,172.1,0.925,5.0,23.7,24.8,0.281,23.8,19.5,17.7,119.781,3.21,2.53,119.781,11:37:48.181
76,172.1,0.887,5.0,23.7,23.4,0.288,23.9,19.5,17.9,120.008,2.794,2.719,120.008,11:37:49.291
77,172.1,0.953,5.0,25.8,23.4,0.303,23.9,19.3,17.5,119.867,3.7,3.096,119.867,11:37:50.396
78,172.1,0.787,5.0,23.7,24.9,0.337,23.8,20.2,17.9,121.057,3.776,2.908,121.057,11:37:51.504
79,172.1,0.901,5.0,23.7,23.4,0.247,25.3,19.8,17.9,120.312,3.927,2.19,120.312,11:37:52.611
80,172.1,1.011,5.0,23.7,24.9,0.271,23.9,19.5,17.9,119.032,2.417,3.549,119.032,11:37:53.717
81,172.1,0.868,5.0,23.7,23.4,0.293,23.9,20.0,18.2,120.194,3.247,2.945,120.194,11:37:54.825
82,172.1,0.981,5.0,23.7,23.4,0.264,25.3,20.0,17.9,119.683,3.247,3.927,119.683,11:37:55.931
83,172.1,0.935,5.0,23.7,24.9,0.288,23.9,20.0,17.5,120.46,2.681,2.417,120.46,11:37:57.036
84,172.1,0.892,5.0,23.8,23.4,0.27,25.3,20.0,18.2,119.901,3.059,2.417,119.901,11:37:58.145
85,172.1,0.964,5.0,25.8,23.4,0.278,23.9,19.8,17.7,119.04,2.983,3.663,119.04,11:37:59.252
86,172.1,0.824,5.0,23.8,23.4,0.298,23.9,19.5,18.4,120.057,3.625,2.53,120.057,11:38:00.360
87,172.1,0.936,5.0,23.7,23.4,0.303,25.3,19.8,18.2,119.758,3.134,3.285,119.758,11:38:01.465
88,172.1,0.901,5.0,25.8,24.9,0.327,23.9,20.0,17.9,119.814,2.832,3.096,119.814,11:38:02.573
89,172.1,0.869,5.0,23.8,23.4,0.322,25.3,19.5,18.4,119.802,3.247,2.19,119.802,11:38:03.670
90,172.1,1.007,5.0,25.8,24.9,0.298,23.9,19.5,18.4,121.412,2.681,2.643,121.412,11:38:04.776
91,172.1,0.886,5.0,23.8,23.5,0.261,23.9,19.8,17.9,120.121,3.21,3.21,120.121,11:38:05.884
92,172.1,0.886,5.0,23.8,23.5,0.26,25.3,20.2,17.7,120.98,3.134,2.568,120.98,11:38:06.991
93,172.1,1.016,5.0,25.9,24.9,0.299,23.9,20.0,18.2,120.25,3.285,2.077,120.25,11:38:08.103
94,172.1,0.812,5.0,23.8,23.5,0.273,25.4,19.5,18.4,120.133,2.756,3.436,120.133,11:38:09.207
95,172.1,0.977,5.0,25.9,23.5,0.288,23.9,20.2,17.7,119.741,3.625,3.398,119.741,11:38:10.315
96,172.1,0.909,5.0,23.8,23.5,0.309,23.9,20.0,17.9,119.098,3.21,3.059,119.098,11:38:11.422
97,172.1,0.879,5.0,23.8,23.5,0.304,25.4,20.4,18.2,120.119,2.643,2.266,120.119,11:38:12.530
98,172.1,0.962,5.0,25.8,23.5,0.259,23.9,19.5,17.9,120.214,2.832,2.152,120.214,11:38:13.639
99,172.1,0.831,5.0,25.8,24.9,0.266,24.0,19.8,18.6,120.11,3.361,2.719,120.11,11:38:14.769
100,172.1,0.957,5.0,23.8,23.5,0.281,25.4,19.5,17.9,120.175,3.361,2.832,120.175,11:38:15.871
101,172.1,0.811,5.0,25.9,25.0,0.259,24.0,20.0,18.2,120.018,3.059,2.983,120.018,11:38:16.975
102,172.1,0.896,5.0,23.8,23.5,0.321,23.9,20.0,17.7,120.379,3.021,2.908,120.379,11:38:18.083
103,172.1,1.039,5.0,23.8,23.5,0.3,25.4,19.5,17.9,119.969,2.643,3.512,119.969,11:38:19.207
104,172.1,0.846,5.0,25.9,23.5,0.293,24.0,19.5,18.2,119.959,3.852,2.719,119.959,11:38:20.314
105,172.1,0.978,5.0,23.8,23.5,0.291,24.0,19.5,17.9,120.041,3.247,2.568,120.041,11:38:21.422
106,172.1,0.968,5.0,23.8,23.5,0.383,25.4,19.8,17.9,119.706,2.53,3.096,119.706,11:38:22.527
107,172.1,0.886,5.0,25.9,25.0,0.316,24.0,19.5,18.2,119.512,3.361,2.908,119.512,11:38:23.637
108,172.1,0.94,5.0,23.8,23.5,0.25,25.4,19.5,18.2,120.376,2.794,2.379,120.376,11:38:24.743
109,172.1,0.862,5.0,23.8,23.5,0.248,24.0,20.0,17.7,120.489,2.983,2.19,120.489,11:38:25.850
110,172.1,0.93,5.0,25.9,25.0,0.308,24.0,20.2,18.2,120.825,4.531,2.605,120.825,11:38:26.969
111,172.1,0.894,5.0,23.8,23.5,0.343,24.0,20.0,18.2,120.239,3.361,2.756,120.239,11:38:28.078
112,172.1,0.907,5.0,23.8,23.5,0.273,25.4,19.5,17.9,119.853,2.643,3.059,119.853,11:38:29.200
113,172.1,0.955,5.0,25.9,25.0,0.291,24.0,19.8,18.4,119.986,3.285,3.134,119.986,11:38:30.310
114,172.1,0.859,5.0,23.8,23.6,0.247,24.0,20.2,17.9,119.922,3.549,3.21,119.922,11:38:31.419
115,172.1,0.886,5.0,23.8,23.6,0.293,24.0,20.2,17.9,120.292,2.794,2.19,120.292,11:38:32.521
116,172.1,1.017,5.0,25.9,25.0,0.256,24.0,19.5,17.9,119.966,2.228,2.379,119.966,11:38:33.631
117,172.1,0.869,5.0,23.8,23.6,0.275,25.5,20.4,18.4,120.488,2.681,2.719,120.488,11:38:34.735
118,172.1,0.95,5.0,23.8,25.0,0.295,24.0,19.8,18.4,119.413,2.945,3.398,119.413,11:38:35.844
119,172.1,0.962,5.0,23.8,23.6,0.28,24.0,20.0,18.4,119.827,3.021,3.134,119.827,11:38:36.949
120,172.1,0.879,5.0,23.8,23.6,0.294,24.0,19.8,18.4,120.025,3.323,3.021,120.025,11:38:38.056
121,172.1,0.944,5.0,23.8,25.0,0.314,24.0,20.0,17.7,119.916,2.832,2.454,119.916,11:38:39.179
122,172.1,0.914,5.0,23.8,23.6,0.271,25.5,20.2,18.2,120.541,2.568,2.115,120.541,11:38:40.285
123,172.1,0.92,5.0,23.8,23.6,0.317,24.0,19.8,18.4,120.81,2.908,2.719,120.81,11:38:41.394
124,172.1,0.912,5.0,25.9,25.1,0.248,24.0,20.2,17.9,120.955,3.852,2.605,120.955,11:38:42.502
125,172.1,1.002,5.0,25.9,23.6,0.273,25.5,19.5,18.4,120.017,3.889,2.53,120.017,11:38:43.625
126,172.1,1.021,5.0,23.8,23.6,0.243,24.1,20.2,18.2,120.675,2.719,2.605,120.675,11:38:44.732
127,172.1,0.822,5.0,23.8,25.1,0.255,24.1,19.8,17.9,120.722,2.908,2.417,120.722,11:38:45.843
128,172.1,0.936,5.0,23.8,23.6,0.248,25.5,20.2,17.7,119.63,3.965,4.003,119.63,11:38:46.953
129,172.1,1.025,5.0,23.8,23.6,0.256,24.1,20.0,18.4,120.401,3.776,2.643,120.401,11:38:48.061
130,172.1,0.886,5.0,23.8,25.1,0.271,24.1,20.2,17.9,119.794,2.983,2.379,119.794,11:38:49.186
131,172.1,0.995,5.0,25.9,23.6,0.314,25.5,20.0,17.5,120.32,2.87,2.266,120.32,11:38:50.290
132,172.1,0.963,5.0,23.8,23.6,0.28,24.1,20.2,18.4,120.002,3.096,2.832,120.002,11:38:51.399
133,172.1,0.9,5.0,23.8,25.1,0.304,24.1,20.2,18.2,119.713,2.756,4.267,119.713,11:38:52.522
134,172.1,0.977,5.0,25.9,23.6,0.303,25.5,20.0,18.2,119.891,3.285,2.303,119.891,11:38:53.628
135,172.1,0.919,5.0,23.8,23.6,0.299,25.5,20.0,18.2,120.047,2.719,3.096,120.047,11:38:54.753
136,172.1,0.945,5.0,23.8,25.1,0.276,24.1,20.2,17.9,120.044,4.191,2.341,120.044,11:38:55.862
137,172.1,0.886,5.0,23.8,23.7,0.27,24.1,20.0,17.9,120.971,3.285,2.568,120.971,11:38:56.982
138,172.1,0.886,5.0,23.8,23.7,0.308,25.5,20.0,18.2,120.446,4.04,2.152,120.446,11:38:58.089
139,172.1,0.977,5.0,23.8,23.7,0.291,24.1,20.0,18.4,119.93,2.417,2.568,119.93,11:38:59.197
140,172.1,0.927,5.0,25.9,23.6,0.254,25.5,20.7,17.9,118.756,3.21,4.116,118.756,11:39:00.304
141,172.1,0.907,5.0,23.8,23.7,0.288,24.1,20.0,18.2,119.146,3.134,3.549,119.146,11:39:01.412
142,172.1,1.024,5.0,23.8,23.7,0.291,24.1,20.2,17.9,120.59,2.794,3.21,120.59,11:39:02.514
143,172.1,0.879,5.0,25.9,23.7,0.26,25.5,20.4,18.4,120.079,3.474,2.568,120.079,11:39:03.618
144,172.1,1.021,5.0,23.8,23.7,0.259,24.1,20.7,18.2,119.682,2.908,3.549,119.682,11:39:04.754
145,172.1,0.968,5.0,23.8,25.2,0.25,24.1,20.2,18.2,119.882,4.191,2.756,119.882,11:39:05.862
146,172.1,0.96,5.0,25.9,23.7,0.286,25.6,20.2,18.6,120.539,2.794,2.454,120.539,11:39:06.973
147,172.1,1.0,5.0,23.8,25.2,0.288,24.1,20.2,17.9,119.489,3.927,3.587,119.489,11:39:08.076
148,172.1,0.936,5.0,23.8,23.7,0.305,24.1,20.4,17.9,119.092,3.474,3.134,119.092,11:39:09.184
149,172.1,0.906,5.0,25.9,23.7,0.248,25.6,20.0,17.9,119.274,3.285,4.116,119.274,11:39:10.306
150,172.1,0.989,5.0,23.8,23.7,0.286,24.1,20.0,18.4,119.257,3.474,3.549,119.257,11:39:11.416
151,172.1,0.883,5.0,23.8,25.2,0.283,24.1,20.2,18.2,120.849,3.134,3.059,120.849,11:39:12.539
152,172.1,0.967,5.0,25.9,23.7,0.356,25.5,20.2,18.4,120.07,3.247,2.794,120.07,11:39:13.646
153,172.1,0.815,5.0,23.8,23.7,0.319,24.1,20.2,18.6,120.574,2.945,2.87,120.574,11:39:14.751
154,172.1,0.927,5.0,23.8,23.7,0.305,24.1,20.2,18.2,120.032,5.815,2.756,120.032,11:39:15.859
155,172.1,1.04,5.0,25.9,23.7,0.227,25.6,20.4,18.4,120.41,3.474,3.021,120.41,11:39:16.964
156,172.1,0.897,5.0,23.8,25.2,0.289,24.1,20.2,18.4,119.86,3.587,3.323,119.86,11:39:18.085
157,172.1,1.012,5.0,23.9,23.7,0.298,24.1,20.2,17.9,119.648,3.361,3.172,119.648,11:39:19.193
158,172.1,0.936,5.0,25.9,23.8,0.281,25.6,20.2,17.9,119.761,3.323,2.983,119.761,11:39:20.300
159,172.1,0.958,5.0,23.8,23.8,0.289,24.1,20.4,18.4,119.734,3.965,3.247,119.734,11:39:21.422
160,172.1,0.996,5.0,23.9,23.8,0.251,24.1,20.2,18.8,119.835,3.436,2.417,119.835,11:39:22.527
161,172.1,0.929,5.0,25.9,23.8,0.316,25.6,20.7,18.2,119.975,3.549,2.681,119.975,11:39:23.638
162,172.1,0.978,5.0,25.9,23.8,0.255,24.1,20.7,17.9,120.865,2.983,3.436,120.865,11:39:24.761
163,172.1,0.914,5.0,23.9,25.3,0.281,24.1,20.0,17.9,119.949,3.663,3.587,119.949,11:39:25.871
164,172.1,0.93,5.0,23.9,23.8,0.284,25.6,20.2,18.4,120.337,4.04,3.398,120.337,11:39:26.993
165,172.1,1.102,5.0,23.9,23.8,0.304,25.6,20.4,18.8,120.12,3.625,3.134,120.12,11:39:28.119
166,172.1,0.886,5.0,25.9,23.8,0.294,24.1,20.4,18.2,118.781,3.021,4.569,118.781,11:39:29.243
167,172.1,0.907,5.0,23.9,25.3,0.273,24.2,20.2,17.9,119.707,3.625,3.852,119.707,11:39:30.368
168,172.1,1.047,5.0,23.9,23.8,0.254,24.2,20.2,18.4,120.01,3.549,3.398,120.01,11:39:31.487
169,172.1,0.916,5.0,23.9,23.8,0.271,24.2,20.4,18.6,120.27,4.154,2.568,120.27,11:39:32.607
170,172.1,1.093,5.0,26.0,23.8,0.27,25.6,20.7,18.6,119.989,3.134,3.285,119.989,11:39:33.717
171,172.1,1.019,5.0,23.9,23.8,0.275,24.2,20.2,17.9,119.843,3.436,3.549,119.843,11:39:34.841
172,172.1,0.902,5.0,23.9,25.3,0.294,24.2,20.7,18.4,119.849,4.116,3.965,119.849,11:39:35.961
173,172.1,1.022,5.0,26.0,23.8,0.299,25.6,20.4,18.2,119.565,3.7,3.587,119.565,11:39:37.061
174,172.1,0.967,5.0,26.0,23.8,0.331,24.2,20.2,18.2,119.516,3.814,2.983,119.516,11:39:38.184
175,172.1,0.901,5.0,23.9,25.3,0.289,24.2,20.4,18.4,119.842,3.776,3.361,119.842,11:39:39.304
176,172.1,0.989,5.0,23.9,23.8,0.261,24.2,20.7,18.4,119.583,4.229,4.229,119.583,11:39:40.427
177,172.1,0.963,5.0,26.0,23.8,0.35,25.6,20.7,18.6,119.916,3.134,3.059,119.916,11:39:41.534
178,172.1,0.997,5.0,26.0,23.9,0.298,24.2,20.9,17.9,119.713,3.474,2.983,119.713,11:39:42.659
179,172.1,0.848,5.0,23.9,25.3,0.289,24.2,20.9,18.4,120.842,2.794,2.945,120.842,11:39:43.780
180,172.1,0.94,5.0,23.9,23.8,0.298,24.2,20.9,17.9,120.231,3.587,3.247,120.231,11:39:44.889
181,172.1,1.01,5.0,23.9,23.9,0.326,25.6,20.7,18.2,120.19,3.436,4.342,120.19,11:39:46.013
182,172.1,0.906,5.0,26.0,23.9,0.254,24.2,20.9,18.6,119.401,3.663,3.663,119.401,11:39:47.134
183,172.1,1.019,5.0,23.9,25.3,0.284,24.2,20.7,18.6,119.307,3.247,4.342,119.307,11:39:48.247
184,172.1,0.996,5.0,23.9,23.9,0.304,25.6,20.4,18.2,120.757,3.625,2.794,120.757,11:39:49.356
185,172.1,0.864,5.0,26.0,23.9,0.294,24.2,20.7,18.8,119.842,3.512,3.361,119.842,11:39:50.465
186,172.1,0.977,5.0,23.9,23.9,0.289,24.2,20.2,18.4,120.686,3.738,3.059,120.686,11:39:51.575
187,172.1,0.892,5.0,23.9,23.9,0.298,25.6,20.2,18.4,119.579,3.587,3.7,119.579,11:39:52.695
188,172.1,0.924,5.0,26.0,23.9,0.275,24.2,20.7,19.1,119.959,4.267,3.7,119.959,11:39:53.815
189,172.1,0.995,5.0,26.0,25.4,0.284,24.2,20.9,18.4,119.549,3.814,3.587,119.549,11:39:54.935
190,172.1,0.914,5.0,23.9,25.4,0.3,24.2,20.7,19.1,121.471,4.342,3.285,121.471,11:39:56.060
191,172.1,0.997,5.0,23.9,23.9,0.276,24.2,20.9,18.2,119.713,3.512,3.059,119.713,11:39:57.185
192,172.1,0.935,5.0,23.9,23.9,0.271,24.2,20.7,18.4,119.993,3.852,3.663,119.993,11:39:58.322
193,172.1,0.953,5.0,23.9,23.9,0.298,25.7,20.7,18.8,119.684,4.342,3.663,119.684,11:39:59.429
194,172.1,0.953,5.0,26.0,23.9,0.326,24.2,20.4,19.3,119.374,4.682,4.38,119.374,11:40:00.551
195,172.1,0.874,5.0,23.9,25.4,0.308,24.2,20.7,18.6,119.97,3.512,3.134,119.97,11:40:01.678
196,172.1,0.896,5.0,23.9,23.9,0.332,24.2,20.9,18.8,119.597,3.172,3.323,119.597,11:40:02.788
197,172.1,1.035,5.0,23.9,23.9,0.248,25.7,20.4,18.4,120.005,4.493,3.776,120.005,11:40:03.915
198,172.1,0.781,5.0,26.0,23.9,0.328,24.2,20.7,18.6,120.291,3.549,3.172,120.291,11:40:05.040
199,172.1,1.022,5.0,26.0,25.4,0.294,24.2,20.7,18.8,120.418,3.549,2.908,120.418,11:40:06.167
200,172.1,1.005,5.0,23.9,23.9,0.28,24.3,20.7,18.6,120.74,3.172,3.7,120.74,11:40:07.270
201,172.1,0.957,5.0,23.9,23.9,0.284,25.7,20.7,18.8,120.64,4.38,3.512,120.64,11:40:08.382
202,172.1,0.955,5.0,23.9,23.9,0.345,25.7,20.9,18.8,119.274,3.549,4.984,119.274,11:40:09.504
203,172.1,0.917,5.0,23.9,23.9,0.286,24.2,20.7,18.6,120.497,4.531,2.983,120.497,11:40:10.610
204,172.1,0.995,5.0,23.9,23.9,0.24,25.7,20.9,18.8,120.806,3.436,3.663,120.806,11:40:11.729
205,172.1,0.902,5.0,26.0,25.4,0.294,24.2,20.9,18.2,120.457,3.965,3.7,120.457,11:40:12.832
206,172.1,0.907,5.0,23.9,25.4,0.265,24.2,20.7,18.8,119.691,3.398,4.154,119.691,11:40:13.958
207,172.1,0.995,5.0,23.9,24.0,0.294,25.7,20.4,18.8,119.923,4.116,4.003,119.923,11:40:15.077
208,172.1,0.84,5.0,23.9,23.9,0.245,25.7,21.1,18.8,119.404,3.398,4.078,119.404,11:40:16.198
209,172.1,0.92,5.0,26.0,25.4,0.289,24.3,20.7,19.1,119.986,3.889,3.587,119.986,11:40:17.300
210,172.1,1.006,5.0,23.9,24.0,0.289,24.2,21.1,18.4,119.002,4.493,4.38,119.002,11:40:18.422
211,172.1,0.844,5.0,24.0,24.0,0.321,25.7,21.1,18.8,121.157,3.7,4.758,121.157,11:40:19.543
212,172.1,1.007,5.0,23.9,24.0,0.283,24.2,20.7,18.8,119.838,5.211,2.945,119.838,11:40:20.666
213,172.1,0.979,5.0,26.0,25.4,0.298,24.2,21.1,18.8,120.076,3.549,3.398,120.076,11:40:21.781
214,172.1,0.815,5.0,24.0,24.0,0.269,24.3,21.1,18.8,120.707,3.814,3.776,120.707,11:40:22.904
215,172.1,0.972,5.0,23.9,24.0,0.286,24.3,20.9,18.4,121.023,4.078,3.134,121.023,11:40:24.028
216,172.1,0.883,5.0,24.0,24.0,0.259,25.7,20.7,18.6,119.927,4.154,2.983,119.927,11:40:25.148
217,172.1,0.867,5.0,26.0,25.4,0.264,24.2,21.1,18.4,120.139,3.549,3.512,120.139,11:40:26.256
218,172.1,0.952,5.0,24.0,25.5,0.278,24.3,21.1,18.8,119.845,4.305,4.644,119.845,11:40:27.378
219,172.1,0.85,5.0,24.0,24.0,0.289,24.3,21.1,19.5,119.403,3.965,4.796,119.403,11:40:28.501
220,172.1,0.983,5.0,24.0,24.0,0.242,25.7,21.6,18.8,120.26,4.456,3.172,120.26,11:40:29.623
221,172.1,0.891,5.0,26.0,24.0,0.265,24.3,20.9,19.3,118.569,4.569,4.871,118.569,11:40:30.741
