Log,mixer_torque_M1,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_torque_M2,ac_flowrate,mixer_pressure,mixer_motor_temperature_M2,cp_temperature,cp_pressure,mixer_motor_temperature_M1,mixer_speed_M2,mixer_speed_M1,Time
222,4.003,3.0,25.1,26.3,4.493,104.2,0.293,20.9,23.9,0.554,19.3,120.053,120.053,12:07:25.852
223,4.116,3.0,25.1,27.8,3.927,104.2,0.273,20.7,23.9,0.544,18.4,119.29,119.29,12:07:26.977
224,4.191,3.0,27.2,26.3,4.078,104.2,0.26,20.9,23.9,0.62,18.8,119.349,119.349,12:07:28.093
225,3.965,3.0,25.1,26.3,3.738,104.2,0.265,20.7,25.3,0.607,18.8,119.906,119.906,12:07:29.220
226,4.72,3.0,25.1,26.3,4.909,104.2,0.283,20.7,25.4,0.516,18.8,118.804,118.804,12:07:30.345
227,3.7,3.0,25.1,26.3,4.116,104.2,0.31,20.7,23.9,0.554,18.4,119.278,119.278,12:07:31.470
228,3.587,3.0,25.1,27.8,3.7,104.2,0.265,21.1,23.9,0.564,18.6,120.138,120.138,12:07:32.592
229,3.361,3.0,27.2,26.3,4.493,104.2,0.294,21.6,23.9,0.521,19.1,118.924,118.924,12:07:33.716
230,3.398,3.0,27.2,26.3,3.965,104.2,0.232,20.9,23.9,0.638,19.3,121.068,121.068,12:07:34.858
231,4.418,3.0,27.2,26.3,3.436,104.2,0.26,20.7,25.4,0.553,19.3,119.024,119.024,12:07:35.979
232,4.682,3.0,25.2,26.3,3.889,104.2,0.254,21.1,25.4,0.543,19.3,120.228,120.228,12:07:37.103
233,3.776,3.0,25.2,26.3,4.229,104.2,0.256,21.1,23.9,0.605,18.6,120.148,120.148,12:07:38.227
234,4.154,3.0,25.2,26.3,3.889,104.2,0.28,20.7,23.9,0.576,19.3,119.664,119.664,12:07:39.368
235,4.267,3.0,25.2,27.8,4.116,104.2,0.269,21.1,23.9,0.61,19.5,119.792,119.792,12:07:40.483
236,3.852,3.0,27.2,26.3,3.512,104.2,0.228,20.9,23.9,0.548,18.8,120.394,120.394,12:07:41.606
237,5.362,3.0,27.2,26.3,4.456,104.2,0.271,21.1,25.4,0.554,18.8,119.987,120.161,12:07:42.728
238,4.569,3.0,25.2,26.4,3.927,104.2,0.264,20.9,25.4,0.597,19.5,119.43,119.43,12:07:43.853
239,3.852,3.0,25.2,26.3,3.889,104.2,0.232,20.7,23.9,0.586,19.3,119.349,119.349,12:07:44.981
240,3.436,3.0,25.2,27.8,3.852,104.2,0.283,21.3,23.9,0.555,18.8,120.743,120.743,12:07:46.105
241,4.342,3.0,25.2,27.8,4.154,104.2,0.3,21.3,23.9,0.593,19.1,119.504,119.504,12:07:47.231
242,3.625,3.0,27.3,26.4,4.154,104.2,0.275,20.4,23.9,0.563,19.1,119.969,119.969,12:07:48.352
243,3.474,3.0,25.2,26.4,3.776,104.2,0.261,20.7,25.4,0.569,18.8,119.185,119.185,12:07:49.475
244,4.38,3.0,25.2,26.4,4.003,104.2,0.25,21.1,23.9,0.626,19.8,119.92,119.92,12:07:50.593
245,3.549,3.0,25.2,27.8,4.116,104.2,0.294,21.1,23.9,0.541,18.8,119.673,119.673,12:07:51.719
246,4.078,3.0,25.2,27.8,4.342,104.2,0.308,20.9,23.9,0.582,19.5,119.953,119.953,12:07:52.853
247,3.398,3.0,27.3,26.4,4.833,104.2,0.192,21.1,24.0,0.584,18.8,119.289,119.289,12:07:53.977
248,4.078,3.0,27.3,26.4,3.512,104.2,0.35,20.9,23.9,0.531,19.3,119.451,119.451,12:07:55.115
249,4.456,3.0,27.3,26.4,3.852,104.2,0.256,21.1,25.4,0.621,19.5,120.076,120.076,12:07:56.242
250,3.549,3.0,25.2,26.4,4.418,104.2,0.286,20.9,25.4,0.492,19.8,120.124,120.124,12:07:57.380
251,3.361,3.0,25.2,26.4,3.285,104.2,0.269,21.1,23.9,0.588,19.3,119.7,119.7,12:07:58.503
252,3.965,3.0,25.3,27.8,4.38,104.2,0.276,21.6,23.9,0.592,19.8,119.323,119.323,12:07:59.625
253,4.116,3.0,25.3,26.4,4.003,104.2,0.256,21.6,23.9,0.568,18.8,120.142,120.142,12:08:00.749
254,3.398,3.0,27.3,26.4,4.154,104.2,0.289,21.3,23.9,0.621,18.8,121.072,121.072,12:08:01.871
255,3.889,3.0,25.3,26.4,4.191,104.2,0.298,21.1,25.4,0.565,18.4,119.538,119.538,12:08:02.989
256,4.078,3.0,25.3,26.4,3.889,104.2,0.261,21.1,23.9,0.582,20.2,119.316,119.316,12:08:04.113
257,4.267,3.0,25.3,27.9,6.495,104.2,0.271,20.9,23.9,0.587,19.1,119.459,119.459,12:08:05.237
258,3.625,3.0,25.3,27.9,4.758,104.2,0.278,21.6,23.9,0.549,19.1,120.231,120.231,12:08:06.363
259,4.191,3.0,27.3,26.4,4.154,104.2,0.3,21.6,23.9,0.558,20.0,119.459,119.459,12:08:07.486
260,3.738,3.0,27.4,26.4,3.474,104.2,0.247,21.6,25.4,0.584,19.5,119.987,119.987,12:08:08.611
261,4.191,3.0,25.3,26.4,3.927,104.2,0.28,21.1,23.9,0.559,19.8,120.067,120.067,12:08:09.736
262,3.852,3.0,25.3,27.9,4.493,104.2,0.283,21.6,23.9,0.598,19.8,120.111,120.111,12:08:10.860
263,4.833,3.0,25.3,27.9,3.625,104.2,0.232,21.1,23.9,0.576,18.8,118.984,118.984,12:08:11.982
264,4.116,3.0,25.3,26.4,4.003,104.2,0.278,21.1,23.9,0.559,19.3,120.364,120.364,12:08:13.108
265,4.154,3.0,27.4,26.4,4.418,104.2,0.337,21.1,25.4,0.558,19.8,120.41,120.41,12:08:14.232
266,3.814,3.0,27.4,26.4,4.078,104.2,0.313,21.3,25.4,0.593,19.3,119.82,119.82,12:08:15.362
267,3.7,3.0,25.3,26.4,5.135,104.2,0.26,21.1,23.9,0.568,19.8,119.643,119.643,12:08:16.489
268,4.38,3.0,25.3,27.9,3.776,104.2,0.291,21.6,23.9,0.46,19.8,119.955,119.536,12:08:17.608
269,4.267,3.0,25.3,26.4,4.229,104.2,0.271,21.6,23.9,0.571,20.2,119.959,119.959,12:08:18.734
270,3.7,3.0,27.4,26.4,4.154,104.2,0.281,21.3,25.4,0.569,19.5,119.972,119.972,12:08:19.854
271,3.436,3.0,27.4,26.4,3.549,104.2,0.376,21.1,25.4,0.586,18.8,119.531,119.531,12:08:20.980
272,4.078,3.0,25.3,26.4,4.116,104.2,0.271,21.3,23.9,0.563,19.8,120.405,120.405,12:08:22.097
273,4.418,3.0,25.3,26.4,4.531,104.2,0.289,21.3,23.9,0.586,19.8,119.636,119.636,12:08:23.236
274,3.549,3.0,25.3,27.9,4.871,104.2,0.25,21.1,24.0,0.529,19.8,120.71,120.71,12:08:24.362
275,3.285,3.0,25.3,27.9,3.361,104.2,0.286,21.1,24.0,0.569,20.0,119.899,119.899,12:08:25.503
276,3.927,3.0,25.3,26.4,3.474,104.2,0.236,21.6,24.0,0.602,19.8,119.615,119.615,12:08:26.614
277,4.305,3.0,25.3,26.4,3.965,104.2,0.256,21.3,24.0,0.53,19.8,119.541,119.541,12:08:27.753
278,3.549,3.0,27.4,26.5,4.267,104.2,0.314,21.6,25.4,0.546,20.0,120.723,120.723,12:08:28.873
279,4.569,3.0,25.4,26.5,3.21,104.2,0.248,21.3,24.0,0.544,19.5,118.385,118.385,12:08:29.998
280,3.927,3.0,25.3,27.9,3.398,104.2,0.254,21.6,24.0,0.582,20.4,119.748,119.748,12:08:31.118
281,3.852,3.0,25.4,27.9,3.285,104.2,0.266,21.6,24.0,0.601,19.5,120.468,120.468,12:08:32.254
282,3.361,3.0,25.4,26.5,6.079,104.2,0.294,21.6,24.0,0.581,19.3,120.012,120.012,12:08:33.381
283,3.172,3.0,27.5,26.5,3.059,104.2,0.264,21.6,25.4,0.613,19.8,119.879,119.879,12:08:34.503
284,3.965,3.0,27.4,26.5,4.342,104.2,0.352,21.6,24.0,0.649,20.2,119.985,119.985,12:08:35.629
285,4.04,3.0,25.4,27.9,4.191,104.2,0.281,21.8,24.0,0.554,19.8,120.128,120.128,12:08:36.744
286,4.116,3.0,25.4,26.5,3.965,104.2,0.314,22.0,24.0,0.554,20.0,120.366,120.366,12:08:37.868
287,3.889,3.0,25.4,26.5,4.154,104.2,0.251,22.0,24.0,0.576,19.3,119.548,119.548,12:08:38.993
288,4.154,3.0,27.5,26.5,3.436,104.2,0.283,21.3,25.4,0.546,19.3,119.719,119.719,12:08:40.114
289,3.738,3.0,27.5,26.5,3.776,104.2,0.278,21.3,25.4,0.61,19.3,119.965,119.965,12:08:41.252
290,2.945,3.0,27.5,26.5,3.852,104.2,0.261,21.6,25.4,0.576,20.4,119.903,119.903,12:08:42.394
291,3.587,3.0,25.4,26.5,3.7,104.2,0.227,22.0,24.0,0.549,20.7,119.918,119.918,12:08:43.518
292,3.436,3.0,25.4,27.9,5.664,104.2,0.371,21.6,24.0,0.574,19.8,119.851,119.851,12:08:44.645
293,4.871,3.0,25.4,26.5,3.776,104.2,0.243,21.3,24.0,0.577,19.8,119.276,119.276,12:08:45.767
294,2.908,3.0,25.4,26.5,5.135,104.2,0.323,21.6,24.0,0.619,20.2,120.218,120.218,12:08:46.892
295,3.361,3.0,27.5,26.5,3.776,104.2,0.238,21.8,25.4,0.573,20.4,119.704,119.704,12:08:48.016
296,3.059,3.0,27.5,26.5,5.362,104.2,0.27,21.6,24.0,0.533,19.8,120.165,120.165,12:08:49.138
297,4.456,3.0,25.4,27.9,3.852,104.2,0.231,21.6,23.9,0.584,19.5,119.463,119.463,12:08:50.260
298,3.059,3.0,25.4,28.0,4.418,104.2,0.228,21.6,24.0,0.546,19.8,120.07,120.07,12:08:51.386
299,3.965,3.0,25.4,26.5,2.794,104.2,0.278,21.6,24.0,0.549,19.8,119.652,119.652,12:08:52.505
300,4.493,3.0,27.5,26.5,3.927,104.2,0.273,22.0,25.4,0.592,19.8,119.432,119.432,12:08:53.629
301,3.625,3.0,27.5,26.5,4.607,104.2,0.248,21.6,24.0,0.529,19.5,119.875,119.875,12:08:54.752
302,3.7,3.0,25.4,28.0,3.7,104.2,0.308,21.6,24.0,0.608,19.1,120.609,120.609,12:08:55.878
303,3.474,3.0,25.5,28.0,2.756,104.2,0.259,22.0,24.0,0.573,20.0,119.783,119.783,12:08:57.006
304,4.04,3.0,25.4,28.0,4.04,104.2,0.286,22.3,24.0,0.481,20.2,119.498,119.498,12:08:58.150
305,4.418,3.0,25.5,28.0,3.965,104.2,0.293,21.3,24.0,0.571,20.4,120.208,120.208,12:08:59.267
306,3.172,3.0,25.5,26.5,4.342,104.2,0.273,22.3,25.4,0.551,19.5,120.56,120.56,12:09:00.389
307,3.889,3.0,27.6,26.5,3.323,104.2,0.314,22.3,24.0,0.563,19.8,120.004,120.004,12:09:01.511
308,3.323,3.0,25.5,28.0,4.229,104.2,0.247,22.3,24.0,0.564,19.3,120.179,120.179,12:09:02.636
309,3.21,3.0,25.5,28.0,3.663,104.2,0.24,22.3,24.0,0.581,20.4,120.007,120.007,12:09:03.761
310,3.663,3.0,25.5,26.5,3.852,104.2,0.271,21.6,24.0,0.613,19.8,119.717,119.717,12:09:04.885
311,3.172,3.0,25.5,26.6,2.983,104.2,0.319,22.3,25.4,0.548,19.5,120.406,120.406,12:09:06.007
312,4.191,3.0,27.6,26.5,3.7,104.2,0.255,21.6,24.0,0.535,20.4,120.073,120.073,12:09:07.126
313,4.418,3.0,25.5,28.0,4.796,104.2,0.26,21.8,24.0,0.593,19.5,119.952,119.952,12:09:08.238
314,3.965,3.0,25.5,26.6,4.116,104.2,0.266,21.8,24.0,0.525,20.4,119.973,119.973,12:09:09.357
315,3.738,3.0,25.5,26.6,4.04,104.2,0.28,22.0,25.4,0.573,19.8,119.701,119.701,12:09:10.482
316,4.003,3.0,27.6,26.6,3.776,104.2,0.233,21.8,24.0,0.559,20.9,119.623,119.623,12:09:11.604
317,3.814,3.0,25.5,28.0,4.116,104.2,0.284,22.0,24.0,0.54,20.2,120.96,120.96,12:09:12.723
318,3.096,3.0,25.5,26.6,5.475,104.2,0.248,22.3,24.0,0.582,20.4,120.674,120.674,12:09:13.847
319,3.436,3.0,25.5,26.6,4.078,104.2,0.256,21.3,25.4,0.553,19.8,119.572,119.572,12:09:14.969
320,4.154,3.0,27.6,26.6,3.172,104.2,0.255,21.6,25.4,0.582,20.4,119.368,119.368,12:09:16.089
321,3.247,3.0,27.6,26.6,5.098,104.2,0.255,22.0,24.0,0.565,20.7,119.943,119.943,12:09:17.211
322,3.549,3.0,25.5,28.0,3.814,104.2,0.299,21.6,24.0,0.577,20.4,120.818,120.818,12:09:18.332
323,3.587,3.0,25.5,26.6,4.229,104.2,0.256,21.6,24.0,0.568,19.5,119.726,119.726,12:09:19.454
324,6.835,3.0,25.5,26.6,4.116,104.2,0.24,22.0,24.0,0.581,19.8,118.386,118.386,12:09:20.592
325,3.852,3.0,25.5,26.6,4.607,104.2,0.276,21.8,25.4,0.551,20.0,119.812,119.812,12:09:21.713
326,3.285,3.0,27.6,26.6,4.116,104.2,0.269,22.0,24.0,0.546,20.0,121.289,121.289,12:09:22.837
327,2.87,3.0,27.6,26.6,4.003,104.2,0.273,22.0,24.0,0.664,20.0,119.533,119.533,12:09:23.961
328,3.436,3.0,25.5,28.1,3.323,104.2,0.206,22.3,24.0,0.507,20.4,120.253,120.253,12:09:25.081
329,3.7,3.0,25.6,26.6,4.191,104.2,0.295,22.0,24.0,0.571,19.8,119.893,119.893,12:09:26.203
330,4.342,3.0,25.5,26.6,4.191,104.2,0.326,22.3,25.4,0.587,20.2,119.523,119.523,12:09:27.320
331,2.794,3.0,27.6,26.6,3.549,104.2,0.278,22.5,24.0,0.555,20.0,119.905,119.905,12:09:28.442
332,3.663,3.0,25.6,28.1,3.21,104.2,0.291,22.3,24.0,0.62,20.0,119.997,119.997,12:09:29.563
333,3.549,3.0,25.6,28.1,5.664,104.2,0.25,22.0,24.0,0.524,20.0,120.043,120.043,12:09:30.701
334,3.587,3.0,25.6,26.6,4.003,104.2,0.271,22.0,24.0,0.62,20.0,119.713,119.713,12:09:31.832
335,3.172,3.0,25.6,26.6,5.06,104.2,0.269,22.3,25.4,0.608,20.4,119.753,119.753,12:09:32.954
336,3.889,3.0,25.6,26.6,3.965,104.2,0.288,22.0,25.4,0.521,19.8,119.944,119.944,12:09:34.093
337,3.625,3.0,25.6,26.6,4.758,104.2,0.254,22.0,25.4,0.541,20.7,119.917,119.917,12:09:35.219
338,3.587,3.0,27.7,26.6,3.738,104.2,0.286,22.3,24.0,0.579,20.7,120.294,120.294,12:09:36.330
339,2.794,3.0,27.7,28.1,4.078,104.2,0.233,22.3,24.0,0.516,21.3,120.328,120.328,12:09:37.464
340,3.096,3.0,25.6,26.6,3.059,104.2,0.276,22.3,24.0,0.569,20.7,119.994,119.994,12:09:38.577
341,4.267,3.0,25.6,26.6,4.418,104.2,0.264,22.3,24.0,0.52,20.4,119.287,119.287,12:09:39.730
342,3.852,3.0,25.6,26.6,4.531,104.2,0.276,22.0,25.4,0.602,19.8,119.819,119.819,12:09:40.850
343,3.474,3.0,25.6,26.6,3.738,104.2,0.255,22.3,25.4,0.577,20.2,119.808,119.808,12:09:41.977
344,3.927,3.0,27.7,26.6,4.04,104.2,0.293,22.0,24.0,0.479,20.4,119.59,119.59,12:09:43.090
345,3.625,3.0,25.6,26.6,3.776,104.2,0.247,21.8,24.0,0.541,20.0,119.83,119.83,12:09:44.204
346,4.418,3.0,25.6,26.6,3.549,104.2,0.284,22.3,24.0,0.568,20.9,120.236,120.236,12:09:45.330
347,2.908,3.0,25.6,26.6,3.927,104.2,0.27,22.5,25.4,0.574,20.9,119.41,119.41,12:09:46.457
348,3.776,3.0,27.7,26.6,3.021,104.2,0.25,22.5,24.0,0.584,20.4,121.144,121.144,12:09:47.576
349,3.7,3.0,27.7,28.1,3.889,104.2,0.278,22.3,24.0,0.529,19.5,120.073,120.073,12:09:48.699
350,4.342,3.0,27.7,28.1,3.927,104.2,0.275,22.3,24.0,0.571,20.9,119.592,119.592,12:09:49.836
351,2.87,3.0,25.6,26.6,3.776,104.2,0.275,22.3,24.0,0.592,20.7,119.795,119.795,12:09:50.959
352,4.305,3.0,25.6,26.6,3.21,104.2,0.232,22.3,25.4,0.544,20.9,120.031,120.031,12:09:52.082
353,3.625,3.0,25.6,26.7,4.229,104.2,0.291,22.7,25.4,0.565,20.4,119.935,119.935,12:09:53.204
354,3.738,3.0,25.6,26.7,3.7,104.2,0.269,22.5,24.0,0.549,20.9,119.747,119.747,12:09:54.330
355,3.247,3.0,27.7,28.1,3.7,104.2,0.295,22.7,24.0,0.564,20.4,119.788,119.788,12:09:55.453
356,4.04,3.0,27.7,28.1,3.7,104.2,0.291,22.3,24.0,0.554,20.4,119.944,119.944,12:09:56.606
357,4.758,3.0,27.7,28.1,5.551,104.2,0.256,22.0,24.0,0.553,20.4,120.329,120.329,12:09:57.748
358,3.587,3.0,27.7,28.1,4.04,104.2,0.266,22.3,24.0,0.555,20.4,120.733,120.733,12:09:58.871
359,4.078,3.0,25.7,26.7,3.927,104.2,0.266,22.3,24.0,0.56,20.4,119.142,119.142,12:09:59.996
360,4.154,3.0,25.7,26.7,6.419,104.2,0.266,22.7,25.4,0.554,20.0,119.81,119.81,12:10:01.120
361,3.7,3.0,25.7,26.7,3.436,104.2,0.24,22.3,25.4,0.551,20.9,120.192,120.192,12:10:02.259
362,2.832,3.0,25.7,26.7,4.305,104.2,0.347,22.7,25.4,0.518,20.9,120.341,120.341,12:10:03.396
363,4.003,3.0,25.7,26.7,3.927,104.2,0.293,22.3,25.4,0.53,20.4,120.184,120.184,12:10:04.521
364,3.738,3.0,25.7,28.1,5.437,104.2,0.231,22.7,24.0,0.596,20.4,119.605,119.605,12:10:05.646
365,4.191,3.0,27.8,28.1,4.04,104.2,0.266,22.0,24.0,0.428,20.4,120.214,120.214,12:10:06.770
366,2.983,3.0,25.7,26.7,4.191,104.2,0.269,22.3,24.0,0.565,20.2,120.072,120.072,12:10:07.893
367,3.096,3.0,25.7,26.7,3.134,104.2,0.281,22.7,24.0,0.533,20.4,120.663,120.663,12:10:09.030
368,4.078,3.0,25.7,26.7,4.871,104.2,0.226,22.3,25.4,0.541,20.9,119.733,119.733,12:10:10.159
369,3.965,3.0,25.7,26.7,3.889,104.2,0.293,22.7,25.4,0.596,20.7,120.003,120.003,12:10:11.286
370,3.398,3.0,25.7,26.7,3.889,104.2,0.261,22.7,24.0,0.525,20.7,120.035,120.035,12:10:12.412
371,3.814,3.0,25.7,26.7,3.021,104.2,0.336,22.3,24.0,0.492,20.4,120.461,120.461,12:10:13.552
372,3.738,3.0,27.8,28.2,4.796,104.2,0.3,22.7,24.0,0.571,21.1,120.379,120.379,12:10:14.673
373,3.436,3.0,27.8,28.2,3.172,104.2,0.242,22.7,24.0,0.492,20.9,121.765,121.765,12:10:15.811
374,2.945,3.0,27.8,26.7,4.493,104.2,0.291,22.5,24.0,0.586,20.0,120.251,120.251,12:10:16.934
375,3.361,3.0,27.8,26.7,2.945,104.2,0.288,22.3,24.0,0.52,20.0,120.054,120.054,12:10:18.076
376,3.512,3.0,25.7,26.7,4.229,104.2,0.256,22.3,25.4,0.555,20.7,119.886,119.886,12:10:19.201
377,3.738,3.0,25.7,26.7,3.436,104.2,0.35,22.3,25.4,0.51,21.3,119.935,119.935,12:10:20.320
378,2.983,3.0,25.7,26.7,4.078,104.2,0.247,22.7,24.0,0.518,20.7,119.508,119.508,12:10:21.457
379,3.134,3.0,25.7,28.2,2.983,104.2,0.333,22.3,24.0,0.541,20.4,120.485,120.485,12:10:22.577
380,3.7,3.0,27.8,28.2,4.531,104.2,0.254,22.5,24.0,0.524,20.4,119.744,119.744,12:10:23.701
381,3.436,3.0,25.7,26.7,3.663,104.2,0.289,22.7,25.4,0.543,21.1,120.026,120.026,12:10:24.809
382,3.247,3.0,25.8,26.7,4.078,104.2,0.25,22.7,24.0,0.563,20.7,119.961,119.961,12:10:25.934
383,3.776,3.0,25.8,28.2,3.096,104.2,0.273,22.5,24.0,0.591,20.7,120.682,120.682,12:10:27.057
384,3.7,3.0,25.8,28.2,4.267,104.2,0.289,22.3,24.0,0.541,21.1,120.059,120.059,12:10:28.181
385,4.267,3.0,27.8,26.7,3.285,104.2,0.266,22.9,24.0,0.574,20.9,119.972,119.972,12:10:29.307
386,3.096,3.0,27.9,26.7,3.059,104.2,0.256,22.5,24.0,0.571,20.4,119.9,119.9,12:10:30.445
387,4.116,3.0,25.8,26.7,2.945,104.2,0.259,22.9,25.4,0.596,20.4,120.596,120.596,12:10:31.567
388,3.512,3.0,25.8,26.7,3.814,104.2,0.341,22.7,25.4,0.546,20.4,120.162,120.162,12:10:32.703
389,3.587,3.0,25.8,26.7,3.625,104.2,0.288,22.5,24.0,0.492,20.7,119.685,119.685,12:10:33.828
390,3.059,3.0,25.8,28.2,3.549,104.2,0.286,22.9,24.0,0.577,20.9,120.073,120.073,12:10:34.949
391,3.096,3.0,27.9,26.7,3.059,104.2,0.313,22.7,24.0,0.596,20.9,119.697,119.697,12:10:36.070
392,3.323,3.0,27.9,26.7,4.078,104.2,0.265,22.5,25.4,0.503,20.7,120.199,120.199,12:10:37.197
393,3.587,3.0,27.9,26.7,3.814,104.2,0.28,22.5,25.4,0.586,20.4,120.431,120.431,12:10:38.336
394,2.945,3.0,25.8,26.7,3.965,104.2,0.208,22.7,24.0,0.558,20.7,119.82,119.82,12:10:39.458
395,3.852,3.0,25.8,26.7,3.7,104.2,0.278,22.7,24.0,0.513,20.4,120.105,120.105,12:10:40.590
396,3.587,3.0,25.8,28.2,4.758,104.2,0.256,22.9,24.0,0.564,20.2,119.992,119.992,12:10:41.708
397,3.776,3.0,27.9,26.7,3.21,104.2,0.256,22.7,24.0,0.56,20.9,120.291,120.291,12:10:42.827
398,3.172,3.0,27.9,26.7,3.965,104.2,0.247,22.3,25.4,0.529,20.7,119.523,119.523,12:10:43.949
399,3.134,3.0,25.8,26.7,3.625,104.2,0.24,22.7,25.5,0.536,20.9,120.033,120.033,12:10:45.083
400,3.738,3.0,25.8,26.7,5.551,104.2,0.248,22.5,24.0,0.571,20.9,119.828,119.828,12:10:46.204
401,3.059,3.0,25.8,28.2,4.342,104.2,0.255,22.9,24.0,0.608,20.9,119.946,119.946,12:10:47.327
402,3.096,3.0,27.9,26.7,3.398,104.2,0.242,22.9,24.0,0.507,20.9,119.549,119.549,12:10:48.444
403,3.323,3.0,27.9,26.7,3.021,104.2,0.323,22.7,25.5,0.505,21.3,120.267,120.267,12:10:49.573
404,3.436,3.0,25.8,26.7,3.361,104.2,0.265,22.7,24.0,0.61,21.1,120.197,120.197,12:10:50.697
405,4.078,3.0,25.8,26.7,4.456,104.2,0.278,22.7,24.0,0.535,21.1,119.62,119.62,12:10:51.831
406,3.172,3.0,25.8,26.7,4.191,104.2,0.281,22.7,24.1,0.571,20.4,119.457,119.457,12:10:52.968
407,3.889,3.0,25.8,26.7,3.927,104.2,0.243,22.7,24.1,0.621,20.9,120.016,120.016,12:10:54.105
408,3.738,3.0,25.8,28.2,4.154,104.2,0.281,22.9,24.1,0.551,21.6,119.893,119.893,12:10:55.222
409,3.814,3.0,25.8,26.7,4.003,104.2,0.299,22.7,24.0,0.551,20.4,120.2,120.2,12:10:56.348
410,3.663,3.0,25.8,26.7,3.965,104.2,0.288,23.2,24.1,0.52,21.1,119.435,119.435,12:10:57.486
411,3.738,3.0,27.9,26.7,4.154,104.2,0.275,22.7,25.5,0.596,21.6,120.137,120.137,12:10:58.606
412,4.796,3.0,27.9,26.8,4.38,104.2,0.295,22.5,24.1,0.598,20.4,119.27,119.27,12:10:59.731
413,4.342,3.0,25.8,28.2,5.324,52.1,0.338,23.2,24.1,0.498,20.9,120.287,120.287,12:11:00.849
414,3.776,3.0,25.8,28.2,3.738,52.1,0.288,23.2,24.1,0.568,21.3,119.543,119.543,12:11:01.980
415,3.927,3.0,25.8,26.7,4.078,52.1,0.228,22.9,24.1,0.581,20.9,119.657,119.657,12:11:03.101
416,4.078,3.0,25.8,26.7,4.154,52.1,0.261,22.7,25.5,0.535,21.1,120.482,120.482,12:11:04.238
417,4.644,3.0,27.9,26.7,3.927,52.1,0.254,23.2,24.1,0.551,20.9,119.101,119.101,12:11:05.351
418,3.398,3.0,25.8,28.2,3.398,52.1,0.251,22.7,24.1,0.581,21.1,119.671,119.671,12:11:06.474
419,4.116,1.5,25.8,28.2,3.927,52.1,0.27,22.7,24.1,0.375,20.7,119.647,119.647,12:11:07.603
420,4.796,1.5,25.8,26.7,3.965,52.1,0.298,22.7,24.1,0.386,21.1,119.69,119.69,12:11:08.738
421,3.247,1.5,25.8,26.7,4.078,52.1,0.326,22.9,25.5,0.405,20.4,120.156,120.156,12:11:09.863
422,3.21,1.5,25.8,26.7,2.908,52.1,0.337,23.2,25.5,0.369,21.6,120.015,120.015,12:11:11.007
423,3.512,1.5,27.9,26.7,3.814,52.1,0.214,22.7,25.5,0.407,21.1,120.66,120.66,12:11:12.129
424,4.229,1.5,27.9,26.7,3.776,52.1,0.261,22.7,24.1,0.431,21.3,120.222,120.222,12:11:13.245
425,3.512,1.5,25.8,28.2,3.398,52.1,0.294,23.2,24.1,0.398,21.3,120.265,120.265,12:11:14.367
426,3.738,1.5,25.8,26.7,3.21,52.1,0.276,23.2,24.1,0.402,20.9,119.642,119.642,12:11:15.491
427,4.607,1.5,25.8,26.7,3.965,52.1,0.245,22.7,25.5,0.42,21.3,119.2,119.2,12:11:16.629
428,4.342,1.5,25.8,26.7,3.738,52.1,0.294,23.2,25.5,0.422,21.8,119.45,119.45,12:11:17.748
429,3.134,1.5,25.8,26.7,3.889,52.1,0.276,22.7,25.6,0.431,20.9,120.023,120.023,12:11:18.887
430,3.663,1.5,25.8,26.7,3.172,52.1,0.276,22.7,25.6,0.483,20.9,120.135,120.135,12:11:20.023
431,3.549,1.5,27.9,26.7,4.04,52.1,0.294,22.7,24.1,0.43,20.4,119.766,119.766,12:11:21.147
432,3.965,1.5,27.9,28.2,3.663,52.1,0.266,23.2,24.1,0.417,20.7,120.369,120.369,12:11:22.270
433,2.908,1.5,25.8,26.7,4.72,52.1,0.281,23.2,24.1,0.441,20.7,120.017,120.017,12:11:23.395
434,3.172,1.5,25.8,26.7,3.021,52.1,0.233,23.2,25.6,0.391,20.4,119.783,119.783,12:11:24.518
435,3.323,1.5,25.8,26.7,4.72,52.1,0.247,22.7,25.6,0.413,20.7,120.035,119.991,12:11:25.659
436,4.418,1.5,25.8,26.7,4.796,52.1,0.251,23.2,24.1,0.383,21.1,119.324,119.324,12:11:26.782
437,3.096,1.5,25.8,26.7,4.078,52.1,0.323,23.2,24.1,0.397,20.9,120.194,120.194,12:11:27.913
438,3.549,1.5,27.9,26.7,2.87,52.1,0.209,22.7,24.1,0.446,20.9,120.306,120.36,12:11:29.050
439,3.21,1.5,27.9,26.7,3.134,52.1,0.259,22.7,24.1,0.425,20.9,119.827,119.827,12:11:30.191
440,3.285,1.5,27.9,26.7,3.512,52.1,0.247,22.9,24.1,0.407,21.3,119.951,119.951,12:11:31.332
441,2.832,1.5,27.9,28.2,3.625,52.1,0.28,22.9,24.1,0.454,21.8,119.942,119.942,12:11:32.458
442,3.965,1.5,27.9,26.7,3.927,52.1,0.27,22.9,24.1,0.411,21.8,119.747,119.747,12:11:33.595
443,3.398,1.5,25.8,26.7,4.38,52.1,0.288,23.4,25.6,0.415,21.3,119.84,119.84,12:11:34.715
444,3.436,1.5,25.8,26.7,4.154,52.1,0.288,22.7,25.6,0.398,21.8,120.964,120.964,12:11:35.856
