Log,ac_flowrate,cp_temperature,mixer_torque_M2,mixer_temperature_Funnel_plate,cp_pressure,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure,mixer_temperature_Funnel_outlet,mixer_speed_M2,mixer_temperature_Funnel,cp_flowrate,mixer_torque_M1,mixer_speed_M1,Time
208,112.2,0.0,2.832,27.4,0.543,21.6,20.2,0.342,28.5,29.815,25.6,3.0,1.964,29.815,11:00:29.934
209,112.2,0.0,2.568,26.0,0.569,22.0,20.4,0.275,26.5,29.887,27.1,3.0,3.512,29.887,11:00:31.048
210,112.2,0.0,3.059,26.0,0.568,21.8,19.8,0.266,26.5,29.753,27.1,3.0,2.53,29.753,11:00:32.183
211,112.2,0.0,2.417,25.9,0.679,21.8,20.2,0.293,26.5,29.99,25.6,3.0,2.794,29.99,11:00:33.303
212,112.2,0.0,2.87,27.4,0.577,22.3,20.0,0.25,28.5,29.78,25.6,3.0,3.172,29.78,11:00:34.418
213,112.2,0.0,2.492,26.0,0.569,22.3,20.0,0.328,28.6,30.121,25.6,3.0,2.681,30.121,11:00:35.532
214,112.2,0.0,3.323,26.0,0.538,22.0,20.0,0.283,26.5,30.013,27.1,3.0,2.681,30.013,11:00:36.654
215,112.2,0.0,3.059,26.0,0.554,22.0,20.4,0.273,26.5,29.908,25.6,3.0,2.908,29.908,11:00:37.771
216,112.2,0.0,2.832,27.4,0.584,22.0,20.4,0.265,28.6,29.843,25.6,3.0,2.454,29.843,11:00:38.890
217,112.2,0.0,2.605,26.0,0.597,21.6,20.7,0.259,28.6,30.257,25.6,3.0,2.87,30.257,11:00:40.015
218,112.2,0.0,2.454,26.0,0.582,22.0,20.7,0.293,26.5,29.928,27.1,3.0,2.53,29.928,11:00:41.136
219,112.2,0.0,3.738,26.0,0.581,21.8,19.8,0.256,26.5,30.006,25.6,3.0,2.492,30.006,11:00:42.259
220,112.2,0.0,2.266,27.4,0.529,22.3,20.0,0.28,26.5,29.935,25.6,3.0,2.832,29.759,11:00:43.380
221,112.2,0.0,2.87,27.4,0.592,22.0,20.0,0.314,28.6,31.001,25.6,3.0,3.21,31.001,11:00:44.498
222,112.2,0.0,2.794,26.0,0.554,22.3,20.4,0.337,28.6,30.168,25.6,3.0,2.379,30.168,11:00:45.621
223,112.2,0.0,2.228,26.0,0.586,22.3,19.5,0.322,26.5,30.22,27.1,3.0,3.21,30.22,11:00:46.742
224,112.2,0.0,2.643,26.0,0.616,21.8,19.5,0.281,26.5,29.98,25.7,3.0,2.417,29.98,11:00:47.857
225,112.2,0.0,2.945,26.0,0.558,22.0,20.0,0.259,26.5,29.903,25.7,3.0,2.832,29.903,11:00:49.005
226,112.2,0.0,2.379,27.4,0.42,21.6,19.3,0.251,26.5,29.578,25.7,3.0,2.87,29.578,11:00:50.130
227,112.2,0.0,2.568,27.4,0.586,22.3,20.4,0.266,28.6,30.205,25.7,3.0,3.21,30.205,11:00:51.252
228,112.2,0.0,3.021,26.0,0.51,21.8,20.4,0.243,26.5,29.505,27.1,3.0,2.756,29.505,11:00:52.369
229,112.2,0.0,3.059,26.0,0.592,22.0,20.4,0.259,26.5,29.968,27.1,3.0,4.644,29.968,11:00:53.499
230,112.2,0.0,2.115,26.0,0.518,21.8,19.8,0.308,26.5,29.808,25.7,3.0,2.492,29.808,11:00:54.616
231,112.2,0.0,2.53,27.5,0.372,21.6,19.8,0.281,26.5,29.872,25.6,3.0,2.908,29.872,11:00:55.747
232,112.2,0.0,2.681,26.0,0.56,22.3,20.0,0.316,28.6,29.573,25.7,3.0,2.719,29.573,11:00:56.865
233,112.2,0.0,2.945,26.0,0.584,22.0,20.2,0.3,28.6,29.836,25.7,3.0,2.719,29.836,11:00:57.994
234,112.2,0.0,2.756,26.0,0.524,22.3,19.3,0.281,26.5,30.183,25.7,3.0,3.172,30.183,11:00:59.109
235,112.2,0.0,3.361,26.0,0.584,22.3,20.4,0.3,26.5,30.812,25.7,3.0,2.983,30.812,11:01:00.238
236,112.2,0.0,3.814,27.4,0.581,21.6,20.2,0.299,26.5,30.007,25.7,3.0,2.681,30.007,11:01:01.356
237,112.2,0.0,2.492,27.4,0.52,21.6,20.0,0.245,26.5,29.398,25.7,3.0,5.135,29.398,11:01:02.471
238,112.2,0.0,2.417,26.0,0.518,21.8,20.0,0.26,28.6,29.922,27.1,3.0,2.53,29.922,11:01:03.609
239,112.2,0.0,2.983,26.0,0.47,21.6,20.2,0.321,26.5,29.603,27.2,3.0,3.323,29.603,11:01:04.740
240,112.2,0.0,2.756,26.0,0.551,21.6,20.4,0.28,26.5,29.873,25.7,3.0,2.643,29.873,11:01:05.868
241,112.2,0.0,3.021,26.0,0.565,22.0,20.0,0.298,26.5,29.591,25.7,3.0,3.549,29.591,11:01:06.992
242,112.2,0.0,3.474,27.5,0.42,22.3,20.0,0.273,26.5,29.93,25.7,3.0,2.379,29.93,11:01:08.105
243,112.2,0.0,2.983,26.0,0.544,22.3,20.2,0.3,28.6,29.671,27.2,3.0,3.247,29.671,11:01:09.221
244,112.2,0.0,2.719,27.5,0.52,22.0,19.8,0.273,26.5,30.158,25.7,3.0,2.605,30.158,11:01:10.409
245,112.2,0.0,2.681,26.0,0.554,22.0,19.8,0.243,26.5,29.898,25.7,3.0,3.323,29.898,11:01:11.524
246,112.2,0.0,2.001,26.0,0.525,22.3,20.4,0.289,28.6,31.472,27.1,3.0,3.134,31.472,11:01:12.639
247,112.2,0.0,2.266,26.0,0.508,22.3,20.4,0.276,26.5,29.6,25.7,3.0,3.059,29.6,11:01:13.755
248,112.2,0.0,2.454,27.5,0.493,22.5,20.9,0.295,26.5,29.816,25.7,3.0,2.756,29.816,11:01:14.872
249,112.2,0.0,2.832,26.0,0.515,21.8,20.4,0.248,28.6,29.977,27.1,3.0,2.53,29.977,11:01:15.986
250,112.2,0.0,2.945,26.0,0.503,21.8,19.8,0.286,26.5,29.442,25.7,3.0,3.172,29.442,11:01:17.109
251,112.2,0.0,3.172,26.0,0.553,21.8,20.9,0.294,26.5,29.757,25.7,3.0,3.134,29.757,11:01:18.245
252,112.2,0.0,2.643,27.5,0.591,22.0,20.4,0.259,26.5,29.614,25.7,3.0,2.908,29.614,11:01:19.367
253,112.2,0.0,2.228,26.0,0.439,21.8,20.7,0.275,28.6,29.741,27.1,3.0,2.983,29.741,11:01:20.519
254,112.2,0.0,2.417,27.5,0.438,22.0,19.5,0.341,26.5,30.121,25.7,3.0,2.719,30.121,11:01:21.639
255,112.2,0.0,2.19,26.0,0.454,22.0,20.4,0.228,26.5,30.047,25.7,3.0,3.059,30.047,11:01:22.762
256,112.2,0.0,3.285,26.0,0.536,21.6,19.8,0.28,28.6,29.895,27.1,3.0,2.115,29.895,11:01:23.881
257,112.2,0.0,2.756,26.0,0.541,22.0,20.7,0.264,28.6,30.156,25.7,3.0,3.398,30.156,11:01:25.000
258,112.2,0.0,2.681,26.0,0.344,22.3,20.7,0.255,26.5,29.96,25.7,3.0,1.926,29.96,11:01:26.137
259,112.2,0.0,2.643,27.5,0.425,22.0,20.7,0.269,26.5,30.799,25.7,3.0,3.247,30.799,11:01:27.267
260,112.2,0.0,2.266,26.0,0.443,21.8,19.3,0.264,26.5,30.048,25.7,3.0,2.832,30.048,11:01:28.384
261,112.2,0.0,2.454,26.0,0.417,22.3,20.4,0.298,26.5,29.558,25.7,3.0,4.456,29.558,11:01:29.520
262,112.2,0.0,2.379,26.0,0.455,21.6,20.0,0.273,28.6,30.221,27.2,3.0,2.341,30.221,11:01:30.638
263,112.2,0.0,2.794,26.0,0.483,22.3,20.4,0.309,28.6,29.681,25.7,3.0,3.549,29.681,11:01:31.759
264,112.2,0.0,2.681,27.5,0.386,21.6,20.0,0.276,26.5,29.954,25.7,3.0,3.021,29.954,11:01:32.881
265,112.2,0.0,2.945,26.0,0.359,21.8,20.0,0.264,26.5,29.699,25.7,3.0,3.361,29.699,11:01:34.003
266,112.2,0.0,2.568,26.0,0.32,21.6,20.4,0.275,26.5,29.394,25.7,3.0,3.7,29.394,11:01:35.140
267,112.2,0.0,2.832,26.0,0.243,21.6,19.3,0.248,26.5,30.105,27.2,3.0,2.87,30.105,11:01:36.261
268,112.2,0.0,2.605,26.0,0.402,22.0,20.2,0.256,28.6,29.853,25.7,3.0,2.983,29.853,11:01:37.384
269,112.2,0.0,2.001,27.5,0.408,21.8,20.4,0.254,28.6,29.81,25.7,3.0,3.549,30.193,11:01:38.509
270,112.2,0.0,2.756,27.5,0.41,22.3,20.0,0.31,26.5,29.87,25.7,3.0,2.303,29.87,11:01:39.631
271,112.2,0.0,2.077,26.0,0.464,22.5,20.4,0.299,26.5,30.361,25.7,3.0,2.643,30.361,11:01:40.755
272,112.2,0.0,2.832,26.0,0.277,22.3,19.5,0.26,26.5,29.974,25.7,3.0,2.53,29.974,11:01:41.895
273,112.2,0.0,3.474,26.0,0.348,22.0,20.0,0.255,26.5,30.081,25.7,3.0,2.794,30.081,11:01:43.034
274,112.2,0.0,3.738,26.0,0.333,22.3,20.2,0.266,26.5,30.369,27.1,3.0,2.039,30.369,11:01:44.153
275,112.2,0.0,2.492,26.0,0.383,21.6,20.4,0.27,28.6,29.702,25.7,3.0,3.474,29.702,11:01:45.274
276,112.2,0.0,2.794,27.5,0.415,22.3,20.7,0.288,26.5,30.003,25.7,3.0,2.492,30.003,11:01:46.398
277,112.2,0.0,2.643,26.0,0.453,22.3,20.2,0.237,26.5,29.866,25.7,3.0,2.908,29.866,11:01:47.522
278,112.2,0.0,2.266,26.0,0.518,21.8,19.8,0.278,26.5,29.96,27.2,3.0,2.379,29.96,11:01:48.643
279,112.2,0.0,2.832,26.0,0.444,21.8,20.0,0.313,26.5,30.652,25.7,3.0,2.945,30.652,11:01:49.769
280,112.2,0.0,2.908,27.5,0.388,22.0,20.4,0.265,28.6,29.86,25.7,3.0,3.323,29.86,11:01:50.888
281,112.2,0.0,2.492,26.0,0.421,22.0,20.4,0.256,26.5,29.961,25.7,3.0,2.341,29.961,11:01:52.007
282,112.2,0.0,3.285,26.0,0.433,22.3,20.4,0.25,26.5,30.142,27.2,3.0,2.492,30.142,11:01:53.129
283,112.2,0.0,2.492,26.0,0.465,22.3,20.0,0.293,26.5,29.933,25.7,3.0,2.719,29.933,11:01:54.247
284,112.2,0.0,3.021,27.5,0.421,22.3,20.2,0.243,28.6,29.914,25.7,3.0,3.361,29.914,11:01:55.366
285,112.2,0.0,2.492,27.5,0.391,21.6,20.9,0.206,26.5,29.999,25.7,3.0,3.134,29.999,11:01:56.486
286,112.2,0.0,2.417,26.0,0.413,22.7,20.2,0.294,26.5,29.931,25.7,3.0,3.134,29.931,11:01:57.613
287,112.2,0.0,2.454,26.0,0.483,22.3,20.2,0.27,26.5,30.691,27.2,3.0,2.983,30.691,11:01:58.733
288,112.2,0.0,3.021,26.0,0.426,22.3,20.2,0.288,26.5,30.298,25.7,3.0,2.341,30.298,11:01:59.851
289,112.2,0.0,3.059,27.5,0.426,21.8,20.0,0.271,28.6,29.915,25.7,3.0,2.945,29.915,11:02:00.975
290,112.2,0.0,2.379,26.0,0.367,22.0,20.2,0.281,26.5,30.116,25.7,3.0,2.039,30.116,11:02:02.094
291,112.2,0.0,3.21,26.0,0.348,21.8,20.2,0.273,26.5,30.062,27.2,3.0,2.945,30.062,11:02:03.214
292,112.2,0.0,2.605,26.0,0.377,22.3,20.7,0.283,26.5,29.909,25.7,3.0,2.756,29.909,11:02:04.336
293,112.2,0.0,3.398,27.5,0.448,22.5,19.8,0.222,28.6,29.715,25.7,3.0,3.436,29.715,11:02:05.459
294,112.2,0.0,2.303,27.5,0.327,22.3,20.4,0.281,28.6,30.396,25.7,3.0,2.266,30.396,11:02:06.597
295,112.2,0.0,2.605,27.5,0.375,22.3,20.4,0.288,28.6,29.837,25.7,3.0,3.512,29.837,11:02:07.734
296,112.2,0.0,2.832,26.0,0.297,22.5,20.0,0.198,28.6,30.089,25.7,3.0,2.417,30.089,11:02:08.855
297,112.2,0.0,2.605,26.0,0.326,22.0,20.2,0.27,26.5,29.908,27.2,3.0,2.832,29.908,11:02:09.973
298,112.2,0.0,2.643,26.0,0.378,22.3,19.8,0.276,26.5,30.012,25.7,3.0,2.266,30.012,11:02:11.094
299,112.2,0.0,2.643,27.5,0.267,21.8,20.4,0.264,28.6,29.941,25.7,3.0,2.492,29.941,11:02:12.210
300,112.2,0.0,3.21,27.5,0.33,22.3,20.7,0.26,28.6,30.117,25.7,3.0,2.756,30.117,11:02:13.346
301,112.2,0.0,2.719,26.1,0.339,21.8,20.9,0.228,26.5,29.862,25.7,3.0,2.945,29.862,11:02:14.466
302,112.2,0.0,2.87,26.1,0.386,22.0,20.0,0.331,26.5,29.919,25.7,3.0,2.492,29.919,11:02:15.605
303,112.2,0.0,2.454,26.1,0.464,22.3,20.7,0.222,26.5,29.798,27.2,3.0,3.398,29.795,11:02:16.729
304,112.2,0.0,2.719,26.1,0.431,22.3,20.9,0.261,26.5,29.528,25.7,3.0,2.794,29.528,11:02:17.852
305,112.2,0.0,2.87,27.5,0.264,22.3,20.9,0.233,26.5,29.971,25.7,3.0,2.794,29.971,11:02:18.970
306,112.2,0.0,2.379,26.1,0.333,22.3,20.0,0.265,28.6,29.955,25.7,3.0,2.303,29.955,11:02:20.089
307,112.2,0.0,3.096,26.1,0.286,21.6,20.4,0.24,28.6,30.962,25.7,3.0,2.87,30.962,11:02:21.207
308,112.2,0.0,2.417,26.1,0.363,22.3,19.8,0.288,26.5,29.904,27.1,3.0,2.568,29.904,11:02:22.343
309,112.2,0.0,2.908,26.1,0.358,22.0,19.8,0.276,26.5,29.712,25.7,3.0,3.7,29.712,11:02:23.481
310,112.2,0.0,2.417,27.5,0.334,22.3,19.8,0.266,26.5,30.118,25.7,3.0,2.077,30.118,11:02:24.599
311,112.2,0.0,2.832,27.5,0.398,22.0,20.4,0.24,26.5,29.755,25.7,3.0,3.247,29.755,11:02:25.736
312,112.2,0.0,3.134,26.1,0.341,22.0,19.8,0.266,28.6,29.889,25.7,3.0,2.492,29.889,11:02:26.858
313,112.2,0.0,2.983,26.0,0.425,22.3,20.2,0.319,28.6,29.947,27.2,3.0,2.756,29.947,11:02:27.976
314,112.2,0.0,2.719,26.1,0.411,22.3,19.8,0.293,26.5,30.134,25.7,3.0,2.492,30.134,11:02:29.096
315,112.2,0.0,3.436,26.1,0.438,22.3,20.4,0.184,26.5,29.852,25.7,3.0,3.021,29.852,11:02:30.239
316,112.2,0.0,3.436,27.5,0.134,22.3,20.4,0.251,26.5,30.0,25.7,3.0,2.87,30.0,11:02:31.358
317,112.2,0.0,3.172,26.1,0.33,22.3,20.0,0.209,26.5,30.083,25.7,3.0,2.794,30.083,11:02:32.476
318,112.2,0.0,2.643,26.1,0.297,22.3,20.4,0.273,28.6,30.369,27.2,3.0,2.228,30.369,11:02:33.595
319,112.2,0.0,3.247,26.1,0.426,22.0,20.2,0.293,28.6,29.254,27.2,3.0,4.267,29.254,11:02:34.746
320,112.2,0.0,3.134,26.1,0.407,22.3,20.4,0.31,26.5,29.504,25.7,3.0,3.021,29.504,11:02:35.864
321,112.2,0.0,3.096,27.5,0.27,22.0,19.8,0.223,26.5,30.199,25.7,3.0,3.587,30.199,11:02:36.986
322,112.2,0.0,2.605,27.5,0.378,21.8,20.2,0.266,26.5,29.862,25.7,3.0,2.228,29.862,11:02:38.126
323,112.2,0.0,3.361,27.5,0.359,21.6,20.0,0.261,26.5,29.974,25.7,3.0,3.285,29.974,11:02:39.248
324,112.2,0.0,2.454,26.1,0.464,22.3,20.7,0.298,28.6,30.084,25.7,3.0,2.794,30.084,11:02:40.366
325,112.2,0.0,2.794,26.1,0.421,22.3,19.5,0.317,28.7,29.894,27.2,3.0,4.04,29.894,11:02:41.497
326,112.2,0.0,2.681,26.1,0.267,22.0,20.2,0.238,26.5,29.868,25.7,3.0,3.889,29.868,11:02:42.620
327,112.2,0.0,2.681,26.1,0.428,22.3,20.4,0.261,26.5,29.887,25.7,3.0,3.021,29.887,11:02:43.753
328,112.2,0.0,3.021,26.1,0.211,21.8,20.4,0.208,26.5,30.513,25.7,3.0,2.605,30.513,11:02:44.891
329,112.2,0.0,2.605,27.5,0.205,22.0,19.8,0.236,26.5,30.726,25.7,3.0,2.719,30.726,11:02:46.011
330,112.2,0.0,3.927,26.1,0.277,22.5,20.9,0.255,26.5,30.38,25.7,3.0,2.794,30.38,11:02:47.149
331,112.2,0.0,2.605,26.1,0.269,22.0,19.8,0.276,26.6,29.951,27.2,3.0,3.096,29.951,11:02:48.268
332,112.2,0.0,3.625,26.1,0.28,22.3,20.7,0.256,26.5,29.699,25.7,3.0,3.625,29.699,11:02:49.420
