Log,mixer_speed_M2,cp_temperature_fresh,mixer_motor_temperature_M1,mixer_temperature_Funnel_outlet,ac_flowrate,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,cp_pressure,mixer_torque_M2,mixer_torque_M1,cp_flowrate,mixer_speed_M1,Time
60,120.131,22.0,20.9,24.9,0.0,0.237,21.0,23.8,0.25,3.889,3.096,3.0,120.131,10:40:42.735
61,119.652,22.0,20.2,22.8,0.0,0.247,21.0,23.8,0.25,4.682,3.663,3.0,119.652,10:40:43.839
62,119.839,23.4,20.4,22.8,0.0,0.269,21.0,23.4,0.231,3.776,3.663,3.0,119.839,10:40:44.964
63,119.717,22.0,20.9,24.9,0.0,0.26,22.4,23.6,0.225,3.587,2.643,3.0,119.717,10:40:46.065
64,120.216,23.4,20.9,22.8,0.0,0.25,21.0,23.6,0.245,3.361,3.361,3.0,120.216,10:40:47.168
65,119.91,22.0,21.1,22.8,0.0,0.219,21.0,23.4,0.243,4.078,3.096,3.0,119.91,10:40:48.275
66,121.66,22.0,20.9,22.8,0.0,0.248,21.0,23.2,0.232,4.38,3.021,3.0,121.66,10:40:49.378
67,119.92,23.4,20.4,22.8,0.0,0.242,21.0,23.8,0.249,5.664,2.983,3.0,119.897,10:40:50.482
68,119.731,22.0,20.9,24.9,0.0,0.219,22.4,23.2,0.236,3.663,3.738,3.0,119.731,10:40:51.584
69,120.0,23.4,21.3,22.8,0.0,0.24,21.0,23.8,0.259,3.323,2.756,3.0,120.0,10:40:52.683
70,119.763,22.0,21.8,24.9,0.0,0.245,22.4,23.8,0.227,3.172,3.096,3.0,119.763,10:40:53.783
71,120.297,23.4,20.4,22.8,0.0,0.236,21.0,23.6,0.248,4.342,4.607,3.0,120.297,10:40:54.883
72,119.901,22.0,20.9,22.9,0.0,0.222,22.4,23.6,0.262,4.116,3.852,3.0,119.901,10:40:55.984
73,119.819,23.4,20.9,22.9,0.0,0.264,21.0,23.6,0.239,4.078,3.323,3.0,119.819,10:40:57.084
74,120.074,22.0,20.7,22.9,0.0,0.261,22.4,23.6,0.253,3.436,3.21,3.0,120.074,10:40:58.186
75,119.763,22.0,20.4,24.9,0.0,0.237,21.0,23.6,0.25,3.738,2.643,3.0,119.763,10:40:59.298
76,120.707,23.4,20.4,22.9,0.0,0.228,21.0,23.8,0.243,4.531,4.418,3.0,120.707,10:41:00.404
77,120.221,22.0,20.9,24.9,0.0,0.233,22.4,23.6,0.25,5.211,2.832,3.0,120.221,10:41:01.511
78,120.655,22.0,21.1,24.9,0.0,0.212,21.0,23.4,0.264,3.436,4.116,3.0,120.655,10:41:02.634
79,120.019,22.0,21.6,22.8,0.0,0.275,21.0,23.4,0.226,5.551,3.663,3.0,120.019,10:41:03.740
80,119.597,22.0,21.1,24.9,0.0,0.242,22.4,23.8,0.245,4.078,3.361,3.0,119.597,10:41:04.842
81,119.951,23.4,21.3,22.9,0.0,0.24,21.0,24.1,0.22,3.814,3.852,3.0,119.951,10:41:05.953
82,119.815,22.0,20.9,22.9,0.0,0.265,21.0,23.8,0.226,4.229,2.983,3.0,119.815,10:41:07.075
83,120.1,22.0,21.1,24.9,0.0,0.245,22.4,23.8,0.26,2.568,2.832,3.0,120.1,10:41:08.180
84,119.746,22.0,20.7,24.9,0.0,0.243,21.0,23.6,0.227,3.549,2.87,3.0,119.746,10:41:09.285
85,121.849,22.0,20.9,22.8,0.0,0.222,21.0,23.8,0.239,3.549,2.983,3.0,121.849,10:41:10.400
86,120.269,22.0,21.3,24.9,0.0,0.247,21.0,23.6,0.27,4.682,3.059,3.0,120.269,10:41:11.503
87,119.815,23.4,21.1,24.9,0.0,0.259,21.0,23.8,0.249,4.191,3.323,3.0,119.815,10:41:12.624
88,120.065,22.0,21.1,22.9,0.0,0.237,22.4,23.8,0.243,3.021,3.7,3.0,120.065,10:41:13.725
89,119.745,22.0,20.9,24.9,0.0,0.238,21.0,23.8,0.234,3.965,3.512,3.0,119.745,10:41:14.824
90,119.976,22.0,20.9,22.9,0.0,0.204,21.0,23.8,0.26,3.663,3.965,3.0,119.976,10:41:15.947
91,119.832,22.0,20.9,22.9,0.0,0.243,22.4,23.8,0.24,3.21,3.059,3.0,119.832,10:41:17.043
92,120.4,23.4,20.9,22.9,0.0,0.242,21.0,23.4,0.264,3.134,4.342,3.0,120.4,10:41:18.151
93,119.906,22.0,20.7,22.9,0.0,0.24,21.0,23.6,0.24,3.776,2.983,3.0,119.906,10:41:19.263
94,118.648,22.0,20.7,24.9,0.0,0.245,21.0,23.4,0.231,3.927,3.738,3.0,118.648,10:41:20.362
95,120.142,23.4,20.7,24.9,0.0,0.242,21.0,23.8,0.227,4.984,3.172,3.0,120.142,10:41:21.485
96,119.653,22.0,20.4,22.9,0.0,0.254,22.4,23.8,0.243,3.361,4.267,3.0,119.653,10:41:22.593
97,120.306,22.0,21.3,24.9,0.0,0.255,21.0,24.1,0.264,3.398,3.398,3.0,120.306,10:41:23.695
98,119.733,22.0,21.3,22.9,0.0,0.27,21.0,24.1,0.221,4.191,2.945,3.0,119.733,10:41:24.803
99,120.76,22.0,21.6,22.9,0.0,0.247,21.0,23.8,0.229,3.852,3.587,3.0,120.76,10:41:25.905
100,120.177,22.0,21.3,22.9,0.0,0.25,21.0,23.2,0.272,4.833,3.059,3.0,120.177,10:41:27.008
101,119.124,22.0,20.7,22.9,0.0,0.251,22.4,23.8,0.253,3.398,4.531,3.0,119.124,10:41:28.111
102,120.033,23.4,20.4,24.9,0.0,0.24,21.0,23.8,0.229,3.512,3.474,3.0,120.033,10:41:29.213
103,119.588,22.0,21.3,24.9,0.0,0.237,21.0,23.8,0.255,3.889,4.229,3.0,119.588,10:41:30.347
104,119.893,22.0,21.1,22.9,0.0,0.254,22.4,23.8,0.245,3.776,3.247,3.0,119.893,10:41:31.451
105,119.845,22.0,20.7,22.9,0.0,0.271,21.0,23.6,0.24,4.38,2.794,3.0,119.845,10:41:32.567
106,120.287,23.4,21.3,24.9,0.0,0.238,21.0,24.1,0.236,3.285,3.625,3.0,120.287,10:41:33.688
107,119.85,22.0,21.3,22.9,0.0,0.243,21.0,23.4,0.244,3.587,2.908,3.0,119.85,10:41:34.807
108,120.182,22.0,22.0,22.9,0.0,0.24,21.0,23.8,0.267,3.512,3.587,3.0,120.182,10:41:35.916
109,119.981,23.4,21.6,25.0,0.0,0.237,21.0,23.6,0.25,4.116,3.059,3.0,119.981,10:41:37.025
110,120.108,22.0,21.1,22.9,0.0,0.232,22.4,23.6,0.234,3.21,3.21,3.0,120.108,10:41:38.129
111,120.392,22.0,21.3,22.9,0.0,0.26,21.0,23.6,0.255,6.381,2.605,3.0,120.392,10:41:39.246
112,121.181,23.4,21.3,22.9,0.0,0.232,21.0,23.8,0.243,3.738,4.72,3.0,121.181,10:41:40.378
113,119.868,22.0,21.1,24.9,0.0,0.248,21.0,23.4,0.249,4.909,4.003,3.0,119.868,10:41:41.484
114,119.626,22.0,21.3,22.9,0.0,0.251,22.4,24.1,0.24,3.474,3.663,3.0,119.626,10:41:42.592
115,119.98,23.4,21.6,25.0,0.0,0.247,21.0,24.3,0.232,3.965,2.832,3.0,119.98,10:41:43.699
116,119.98,22.0,20.9,22.9,0.0,0.242,22.4,24.3,0.248,4.229,2.983,3.0,119.98,10:41:44.800
117,120.611,23.4,20.9,22.9,0.0,0.25,21.0,23.8,0.243,3.965,3.398,3.0,120.611,10:41:45.907
118,120.132,22.0,20.9,25.0,0.0,0.284,21.0,23.6,0.229,4.607,3.625,3.0,120.132,10:41:47.010
119,120.07,22.0,21.3,22.9,0.0,0.286,21.0,24.1,0.225,4.003,3.134,3.0,120.07,10:41:48.126
120,120.695,22.0,20.9,25.0,0.0,0.245,21.0,23.8,0.234,3.512,3.172,3.0,120.695,10:41:49.228
121,119.67,22.0,21.1,25.0,0.0,0.242,22.4,24.1,0.258,3.965,4.342,3.0,119.67,10:41:50.349
122,119.997,22.0,21.1,22.9,0.0,0.256,21.0,24.3,0.229,3.814,3.361,3.0,119.997,10:41:51.461
123,119.807,23.4,21.1,22.9,0.0,0.256,21.0,24.1,0.227,3.814,2.832,3.0,119.807,10:41:52.565
124,119.649,22.0,21.6,25.0,0.0,0.233,21.0,23.6,0.236,3.814,3.096,3.0,119.649,10:41:53.684
125,119.914,22.0,21.3,22.9,0.0,0.236,21.0,23.8,0.229,3.247,2.87,3.0,119.914,10:41:54.786
126,119.48,22.0,21.3,25.0,0.0,0.236,21.0,23.8,0.245,4.003,3.512,3.0,119.48,10:41:55.892
127,120.159,22.0,21.3,22.9,0.0,0.233,22.4,23.8,0.243,3.965,2.568,3.0,120.159,10:41:56.999
128,119.484,23.4,20.9,22.9,0.0,0.264,21.0,23.8,0.221,3.549,4.04,3.0,119.484,10:41:58.095
129,119.935,22.0,21.1,25.0,0.0,0.25,22.4,23.8,0.238,3.549,3.398,3.0,119.935,10:41:59.205
130,119.688,22.0,21.3,22.9,0.0,0.25,21.0,24.1,0.216,3.852,2.417,3.0,119.688,10:42:00.311
131,120.216,22.0,20.7,25.0,0.0,0.248,21.0,23.8,0.253,3.398,3.21,3.0,120.216,10:42:01.416
132,119.985,22.0,20.9,22.9,0.0,0.256,21.0,24.1,0.265,3.625,3.512,3.0,119.985,10:42:02.530
133,120.004,23.4,21.3,22.9,0.0,0.228,20.9,24.1,0.255,3.436,2.756,3.0,120.004,10:42:03.633
134,120.016,22.0,21.1,25.0,0.0,0.259,22.4,24.3,0.236,3.625,2.945,3.0,120.016,10:42:04.736
135,119.605,22.0,21.6,22.9,0.0,0.247,21.0,23.6,0.221,4.04,4.003,3.0,119.605,10:42:05.841
136,119.987,22.0,20.9,22.9,0.0,0.24,21.0,24.3,0.232,3.927,3.21,3.0,119.987,10:42:06.959
137,119.774,22.0,21.3,25.0,0.0,0.251,22.4,23.8,0.243,3.852,3.21,3.0,119.774,10:42:08.064
138,119.941,22.0,21.3,22.9,0.0,0.242,20.9,24.1,0.243,3.285,3.587,3.0,119.941,10:42:09.197
139,119.981,22.0,21.6,22.9,0.0,0.238,21.0,24.1,0.239,3.134,2.794,3.0,119.981,10:42:10.296
140,122.432,22.0,21.8,25.0,0.0,0.237,22.4,23.4,0.231,3.7,3.7,3.0,122.432,10:42:11.401
141,120.119,22.0,21.3,22.9,0.0,0.25,21.0,23.8,0.24,5.249,2.605,3.0,120.119,10:42:12.501
142,119.288,22.0,21.3,25.0,0.0,0.276,22.4,24.1,0.212,3.285,3.7,3.0,119.288,10:42:13.607
143,120.268,22.0,21.3,22.9,0.0,0.255,20.9,24.1,0.232,3.323,3.096,3.0,120.268,10:42:14.728
144,119.476,23.4,21.6,22.9,0.0,0.222,20.9,23.8,0.254,3.852,3.474,3.0,119.476,10:42:15.851
145,119.727,22.0,21.8,22.9,0.0,0.264,22.4,24.3,0.232,4.191,3.512,3.0,119.727,10:42:16.956
146,119.946,22.0,21.1,22.9,0.0,0.233,21.0,24.1,0.231,3.474,2.87,3.0,119.946,10:42:18.060
147,120.136,22.0,21.6,22.9,0.0,0.247,20.9,23.8,0.231,3.134,3.134,3.0,120.136,10:42:19.163
148,119.92,22.0,21.1,22.9,0.0,0.266,22.4,24.1,0.222,3.549,3.021,3.0,119.92,10:42:20.284
149,121.638,23.4,20.9,23.0,0.0,0.247,20.9,24.1,0.24,3.587,2.908,3.0,121.638,10:42:21.387
150,120.594,22.0,21.8,22.9,0.0,0.211,20.9,24.1,0.229,4.191,2.417,3.0,120.594,10:42:22.494
151,118.399,22.0,21.3,22.9,0.0,0.245,22.4,23.8,0.244,3.285,4.72,3.0,118.399,10:42:23.602
152,120.091,23.4,21.3,22.9,0.0,0.248,20.9,24.1,0.249,3.587,3.096,3.0,120.091,10:42:24.721
153,119.875,22.0,21.6,23.0,0.0,0.232,22.4,23.8,0.234,4.229,3.059,3.0,119.875,10:42:25.825
154,119.844,22.0,20.9,22.9,0.0,0.254,22.4,24.5,0.221,4.116,3.247,3.0,119.844,10:42:26.954
155,119.713,23.4,21.8,23.0,0.0,0.251,20.9,24.8,0.222,3.587,2.983,3.0,119.713,10:42:28.059
156,120.053,22.0,21.3,22.9,0.0,0.233,20.9,24.5,0.243,3.134,3.436,3.0,120.053,10:42:29.191
157,119.882,22.0,21.8,22.9,0.0,0.256,22.4,23.8,0.238,3.398,2.832,3.0,119.882,10:42:30.293
158,122.19,23.4,21.3,25.0,0.0,0.243,20.9,24.3,0.244,4.04,3.549,3.0,122.19,10:42:31.398
159,119.978,22.0,20.9,22.9,0.0,0.238,20.9,24.3,0.236,4.909,3.398,3.0,119.978,10:42:32.515
160,120.762,22.0,22.3,22.9,0.0,0.269,22.4,24.1,0.258,3.361,3.776,3.0,120.762,10:42:33.634
161,120.532,22.0,21.3,25.0,0.0,0.271,20.9,23.8,0.226,4.305,2.719,3.0,120.532,10:42:34.742
162,119.584,22.0,21.3,23.0,0.0,0.245,20.9,24.1,0.253,4.003,3.889,3.0,119.584,10:42:35.846
163,119.645,22.0,20.9,23.0,0.0,0.254,22.4,23.8,0.238,3.814,4.493,3.0,119.645,10:42:36.966
164,119.564,23.4,21.6,25.0,0.0,0.254,20.9,24.3,0.234,3.7,2.87,3.0,119.496,10:42:38.072
165,120.476,22.0,21.8,23.0,0.0,0.251,22.4,24.3,0.245,2.87,3.285,3.0,120.476,10:42:39.174
166,119.748,22.0,21.3,23.0,0.0,0.247,20.9,24.1,0.244,3.021,2.87,3.0,119.748,10:42:40.285
167,121.891,23.4,21.3,25.0,0.0,0.24,20.9,24.3,0.239,3.889,3.625,3.0,121.891,10:42:41.394
168,120.253,22.0,21.3,23.0,0.0,0.248,22.4,24.3,0.231,4.909,2.605,3.0,120.253,10:42:42.501
169,119.031,23.4,21.1,25.0,0.0,0.255,20.9,24.3,0.234,3.021,3.436,3.0,119.031,10:42:43.606
170,120.173,22.0,21.1,23.0,0.0,0.245,20.9,24.3,0.22,3.549,3.134,3.0,120.173,10:42:44.720
171,119.684,22.0,21.3,23.0,0.0,0.25,20.9,24.3,0.225,4.267,2.945,3.0,119.684,10:42:45.820
172,120.412,23.4,21.8,25.0,0.0,0.25,20.9,24.5,0.217,4.418,2.832,3.0,120.412,10:42:46.938
173,119.851,22.0,22.0,25.0,0.0,0.233,20.9,23.8,0.236,3.814,2.568,3.0,119.984,10:42:48.060
174,119.967,22.0,21.3,23.0,0.0,0.237,22.3,24.3,0.253,2.568,3.889,3.0,119.967,10:42:49.164
175,119.758,23.4,21.1,25.1,0.0,0.223,20.9,24.3,0.227,4.191,2.945,3.0,119.758,10:42:50.270
176,122.127,22.0,21.1,23.0,0.0,0.25,22.3,24.3,0.222,3.965,3.549,3.0,122.127,10:42:51.374
177,120.14,22.0,21.3,23.0,0.0,0.255,22.3,24.3,0.25,4.229,3.398,3.0,120.14,10:42:52.513
178,120.837,22.0,22.3,23.0,0.0,0.242,20.9,24.3,0.236,3.247,3.436,3.0,120.837,10:42:53.638
179,120.084,23.4,21.3,23.0,0.0,0.222,20.9,24.8,0.226,5.098,2.832,3.0,120.084,10:42:54.757
180,121.163,23.4,21.8,23.0,0.0,0.24,20.9,24.3,0.239,3.814,3.323,3.0,121.163,10:42:55.899
181,120.074,22.0,21.8,25.0,0.0,0.238,20.9,24.8,0.249,4.418,3.096,3.0,120.074,10:42:57.006
182,119.383,22.0,22.5,23.0,0.0,0.26,22.4,24.5,0.21,3.059,3.549,3.0,119.383,10:42:58.127
183,119.746,23.4,21.6,25.0,0.0,0.248,20.9,24.5,0.236,3.625,4.191,3.0,119.746,10:42:59.228
184,119.468,22.0,21.6,25.0,0.0,0.24,20.9,24.3,0.236,3.927,4.305,3.0,119.468,10:43:00.350
185,119.582,22.0,21.6,23.0,0.0,0.236,22.3,24.3,0.238,3.398,3.096,3.0,119.582,10:43:01.471
186,119.676,22.0,22.0,23.0,0.0,0.24,20.9,24.5,0.216,4.116,3.474,3.0,119.676,10:43:02.585
187,120.049,23.4,21.6,23.0,0.0,0.226,20.9,24.3,0.234,3.285,2.983,3.0,120.049,10:43:03.707
188,119.836,22.0,21.8,25.0,0.0,0.245,20.9,24.3,0.249,4.38,2.794,3.0,119.836,10:43:04.815
189,120.373,22.0,21.8,23.0,0.0,0.243,20.9,24.3,0.25,3.587,2.832,3.0,120.373,10:43:05.935
190,119.956,23.4,21.3,23.0,0.0,0.238,20.9,24.3,0.244,3.663,3.21,3.0,119.956,10:43:07.058
191,120.145,23.4,22.0,23.0,0.0,0.265,20.9,25.0,0.225,2.983,2.605,3.0,120.145,10:43:08.191
192,119.721,22.0,21.3,25.0,0.0,0.25,20.9,24.3,0.232,4.644,2.945,3.0,119.721,10:43:09.313
193,120.113,22.0,22.3,25.0,0.0,0.236,22.3,24.3,0.25,3.587,2.681,3.0,120.113,10:43:10.435
194,120.055,22.0,21.1,23.0,0.0,0.245,20.9,24.3,0.25,3.512,2.983,3.0,120.055,10:43:11.556
195,119.747,22.0,21.6,23.0,0.0,0.245,20.9,24.3,0.245,3.247,3.436,3.0,119.747,10:43:12.677
196,119.923,22.0,21.6,25.0,0.0,0.269,20.9,24.3,0.216,2.983,2.643,3.0,119.923,10:43:13.786
197,120.873,22.0,21.8,25.0,0.0,0.254,22.3,24.3,0.215,4.116,3.852,3.0,120.873,10:43:14.920
198,119.952,22.0,21.8,23.0,0.0,0.236,20.9,25.0,0.239,3.852,2.832,3.0,119.952,10:43:16.041
199,120.859,22.0,21.8,23.0,0.0,0.251,20.9,24.5,0.272,3.059,4.531,3.0,120.859,10:43:17.165
200,119.997,22.0,21.8,23.0,0.0,0.223,20.9,24.8,0.253,4.984,3.323,3.0,119.997,10:43:18.272
201,120.6,22.0,21.8,23.0,0.0,0.231,20.9,24.3,0.215,3.361,3.663,3.0,120.6,10:43:19.409
202,120.01,22.0,21.3,25.0,0.0,0.266,22.3,25.0,0.205,3.814,3.247,3.0,120.01,10:43:20.528
203,119.678,22.0,21.3,23.0,0.0,0.245,20.9,24.3,0.254,3.096,3.549,3.0,119.678,10:43:21.650
204,120.026,23.4,21.8,23.0,0.0,0.221,20.9,24.3,0.239,3.587,2.945,3.0,120.026,10:43:22.769
205,120.455,22.0,21.8,23.0,0.0,0.245,20.9,24.8,0.255,3.587,3.059,3.0,120.455,10:43:23.884
206,120.117,21.9,21.3,23.0,0.0,0.255,20.9,24.8,0.231,3.776,3.436,3.0,120.117,10:43:24.989
207,119.271,22.0,21.8,23.0,0.0,0.259,20.9,24.5,0.226,3.398,4.456,3.0,119.271,10:43:26.109
208,119.95,23.4,21.6,23.0,0.0,0.247,20.9,25.0,0.22,5.286,2.719,3.0,119.95,10:43:27.242
209,119.224,22.0,21.6,23.0,0.0,0.228,22.4,24.3,0.239,3.398,4.267,3.0,119.224,10:43:28.357
210,119.721,22.0,21.6,25.0,0.0,0.243,20.9,24.3,0.206,3.323,4.191,3.0,119.721,10:43:29.477
211,120.026,22.0,21.3,25.1,0.0,0.247,20.9,24.8,0.215,3.285,3.512,3.0,120.026,10:43:30.602
212,119.743,23.4,21.8,23.0,0.0,0.238,20.9,24.8,0.232,3.663,3.814,3.0,119.743,10:43:31.724
213,119.859,22.0,21.6,23.0,0.0,0.247,22.3,24.8,0.226,4.493,3.512,3.0,119.859,10:43:32.828
214,120.213,22.0,22.0,25.1,0.0,0.259,20.9,25.0,0.254,3.927,3.398,3.0,120.213,10:43:33.947
215,119.854,22.0,21.6,23.0,0.0,0.243,20.9,24.3,0.234,3.436,2.794,3.0,119.854,10:43:35.061
216,120.683,22.0,21.8,23.0,0.0,0.25,22.4,24.3,0.229,2.605,3.21,3.0,120.683,10:43:36.168
217,119.562,22.0,21.1,25.1,0.0,0.237,22.4,25.0,0.205,4.04,3.059,3.0,119.562,10:43:37.291
218,120.743,22.0,21.8,23.0,0.0,0.259,20.9,25.0,0.215,3.398,3.361,3.0,120.743,10:43:38.401
219,119.99,22.0,22.3,23.0,0.0,0.236,20.9,24.5,0.254,3.285,2.983,3.0,119.99,10:43:39.532
220,120.652,22.0,21.6,23.0,0.0,0.223,22.4,24.5,0.234,3.21,4.04,3.0,120.652,10:43:40.648
221,119.944,22.0,21.8,25.1,0.0,0.243,20.9,24.5,0.243,4.04,2.643,3.0,119.944,10:43:41.766
