Log,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_temperature_Funnel_plate,mixer_speed_M2,ac_flowrate,cp_flowrate,mixer_torque_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_speed_M1,Time
97,25.4,24.8,0.269,0.592,0.0,18.8,24.9,9.713,112.2,3.0,2.605,1.888,20.7,9.713,10:48:29.209
98,25.4,26.2,0.248,0.593,0.0,18.8,24.9,9.509,112.2,3.0,1.888,1.964,21.1,9.509,10:48:30.315
99,25.4,24.8,0.372,0.479,0.0,19.3,24.9,9.608,112.2,3.0,1.699,1.812,20.9,9.608,10:48:31.440
100,25.4,24.7,0.256,0.563,0.0,18.6,24.9,9.542,112.2,3.0,1.926,1.964,21.1,9.542,10:48:32.547
101,25.4,26.2,0.264,0.551,0.0,18.8,24.9,9.502,112.2,3.0,1.397,1.624,20.9,9.502,10:48:33.669
102,25.4,24.8,0.259,0.573,0.0,18.6,24.9,9.552,112.2,3.0,1.699,1.737,20.7,9.552,10:48:34.776
103,27.5,24.8,0.338,0.571,0.0,19.1,26.3,9.624,112.2,3.0,1.775,2.19,20.7,9.624,10:48:35.898
104,25.4,26.2,0.214,0.518,0.0,18.8,24.9,9.584,112.2,3.0,1.812,1.85,20.7,9.584,10:48:37.002
105,25.4,24.8,0.236,0.634,0.0,18.8,24.9,9.643,112.2,3.0,1.473,2.077,20.7,9.643,10:48:38.107
106,27.5,24.8,0.269,0.581,0.0,19.3,26.3,9.688,112.2,3.0,1.661,1.737,20.9,9.688,10:48:39.224
107,25.4,26.2,0.286,0.533,0.0,19.3,24.9,9.603,112.2,3.0,2.341,2.19,21.1,9.603,10:48:40.332
108,25.4,26.3,0.31,0.548,0.0,18.2,24.9,9.293,112.2,3.0,1.624,1.737,20.7,9.293,10:48:41.455
109,27.5,24.8,0.291,0.531,0.0,18.8,26.3,9.854,112.2,3.0,1.737,1.435,20.9,9.854,10:48:42.556
110,25.4,26.2,0.298,0.663,0.0,18.8,24.9,9.691,112.2,3.0,1.888,2.492,20.7,9.691,10:48:43.661
111,27.5,24.8,0.303,0.596,0.0,19.8,26.3,9.551,112.2,3.0,1.246,2.19,21.1,9.551,10:48:44.764
112,25.4,24.8,0.288,0.535,0.0,19.3,24.9,9.718,112.2,3.0,2.077,1.888,20.7,9.718,10:48:45.867
113,25.4,24.8,0.295,0.593,0.0,19.1,24.9,9.015,112.2,3.0,2.077,2.719,20.7,9.015,10:48:46.974
114,27.5,24.8,0.256,0.619,0.0,19.1,24.9,9.673,112.2,3.0,1.888,2.001,21.1,9.673,10:48:48.079
115,25.4,26.2,0.298,0.591,0.0,19.8,24.9,9.561,112.2,3.0,2.039,1.964,20.7,9.561,10:48:49.182
116,27.5,24.8,0.3,0.584,0.0,19.3,26.3,9.545,112.2,3.0,1.586,1.737,21.1,9.545,10:48:50.274
117,25.4,24.8,0.278,0.593,0.0,19.1,24.9,9.677,112.2,3.0,1.888,1.888,20.9,9.677,10:48:51.396
