Log,ac_flowrate,cp_pressure,mixer_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,cp_temperature_fresh,mixer_speed_M2,mixer_torque_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M1,cp_temperature,mixer_speed_M1,Time
506,142.0,0.643,0.266,3.0,23.5,23.5,119.632,4.531,32.8,28.6,2.681,21.5,119.632,12:13:44.129
507,142.0,0.601,0.276,3.0,23.5,23.5,120.239,4.305,32.8,29.1,3.889,21.5,120.239,12:13:45.265
508,142.0,0.597,0.28,3.0,23.6,22.1,119.809,4.191,33.0,29.3,3.738,21.5,119.809,12:13:46.398
509,142.0,0.612,0.264,3.0,23.5,22.1,120.077,3.398,32.8,28.2,3.247,21.5,120.077,12:13:47.538
510,142.0,0.582,0.27,3.0,23.6,22.1,119.562,4.003,33.0,29.1,3.398,21.5,119.562,12:13:48.681
511,142.0,0.601,0.284,3.0,23.5,22.1,119.925,4.003,32.8,29.5,3.323,21.5,119.925,12:13:49.819
512,142.0,0.601,0.293,3.0,23.6,22.1,119.747,3.814,32.6,30.0,4.607,21.5,119.747,12:13:50.957
513,142.0,0.596,0.278,3.0,23.5,22.1,120.123,4.003,32.8,29.8,3.059,21.5,120.123,12:13:52.095
514,142.0,0.587,0.284,3.0,23.5,22.0,120.668,3.776,32.6,28.6,3.776,22.9,120.668,12:13:53.231
515,142.0,0.592,0.265,3.0,23.5,22.1,120.037,4.154,33.2,29.3,2.643,22.9,120.037,12:13:54.370
516,142.0,0.603,0.261,3.0,23.6,22.1,120.116,3.021,32.6,29.3,2.53,22.9,120.116,12:13:55.509
517,142.0,0.607,0.273,3.0,23.5,22.1,119.739,3.814,32.8,28.6,2.983,21.5,119.739,12:13:56.663
518,142.0,0.591,0.276,3.0,23.5,22.1,119.708,3.7,33.2,29.8,3.889,21.5,119.708,12:13:57.793
519,142.0,0.582,0.288,3.0,23.5,22.1,119.866,3.512,32.8,29.3,3.247,22.9,119.866,12:13:58.924
520,142.0,0.612,0.27,3.0,25.6,22.1,119.889,4.154,32.8,29.3,3.323,22.9,119.889,12:14:00.062
521,142.0,0.587,0.293,3.0,25.6,22.1,119.753,4.644,32.4,29.8,3.172,22.9,119.753,12:14:01.202
522,142.0,0.525,0.264,3.0,25.6,22.1,120.038,5.06,33.0,29.3,3.361,21.5,120.038,12:14:02.330
523,142.0,0.63,0.291,3.0,25.6,22.1,120.651,3.059,33.2,29.5,4.229,21.5,120.651,12:14:03.466
524,142.0,0.598,0.269,3.0,25.6,22.1,120.065,5.135,32.8,28.8,3.323,21.5,120.065,12:14:04.597
525,142.0,0.624,0.27,3.0,23.5,23.5,120.699,3.361,32.6,29.3,3.587,21.5,120.699,12:14:05.728
526,142.0,0.582,0.294,3.0,23.6,23.5,120.005,4.38,33.0,29.3,3.134,21.5,120.005,12:14:06.872
527,142.0,0.588,0.27,3.0,23.6,23.5,120.28,2.719,33.2,28.8,3.096,21.5,120.28,12:14:08.009
528,142.0,0.612,0.269,3.0,23.6,23.5,119.643,4.682,32.8,29.1,2.983,21.5,119.643,12:14:09.148
529,142.0,0.607,0.281,3.0,23.6,23.5,120.062,3.965,33.0,29.3,3.474,21.5,120.062,12:14:10.287
530,142.0,0.626,0.284,3.0,23.6,23.5,119.92,3.625,32.8,29.3,3.512,21.5,119.92,12:14:11.433
531,142.0,0.624,0.286,3.0,25.6,22.1,120.226,4.003,33.2,29.1,2.983,21.5,120.226,12:14:12.564
532,142.0,0.571,0.266,3.0,23.6,23.5,120.614,4.154,33.0,29.3,4.191,21.5,120.614,12:14:13.710
533,142.0,0.584,0.265,3.0,23.6,23.5,120.396,4.116,32.8,29.5,2.945,21.5,120.396,12:14:14.838
534,142.0,0.601,0.286,3.0,23.6,23.5,120.131,2.719,33.0,29.8,3.776,21.5,120.131,12:14:15.989
535,142.0,0.603,0.27,3.0,23.6,23.5,120.037,4.342,32.8,28.6,2.832,21.5,120.037,12:14:17.128
536,142.0,0.577,0.283,3.0,23.6,23.5,120.596,4.04,33.0,29.3,3.398,21.5,120.596,12:14:18.265
537,142.0,0.605,0.284,3.0,23.6,22.1,119.846,4.267,33.0,29.5,3.134,21.5,119.846,12:14:19.398
538,142.0,0.61,0.269,3.0,23.6,22.1,119.78,3.7,32.8,29.1,3.625,21.5,119.78,12:14:20.532
539,142.0,0.587,0.28,3.0,23.6,22.1,119.409,3.549,33.0,29.8,3.814,21.5,119.409,12:14:21.670
540,142.0,0.624,0.269,3.0,23.6,22.1,119.977,3.889,32.6,29.8,3.096,21.5,119.977,12:14:22.804
541,142.0,0.602,0.261,3.0,23.6,22.1,119.774,3.852,32.6,28.8,2.983,22.9,119.774,12:14:23.936
542,142.0,0.602,0.26,3.0,23.6,22.1,120.452,5.098,33.0,29.3,2.039,22.9,120.452,12:14:25.077
543,142.0,0.608,0.289,3.0,23.6,22.1,120.992,3.738,33.0,29.8,4.984,22.9,120.992,12:14:26.219
544,142.0,0.596,0.271,3.0,23.6,22.1,119.855,3.663,33.0,29.1,3.398,22.9,119.855,12:14:27.357
545,142.0,0.616,0.276,3.0,23.6,22.1,120.319,2.945,32.8,29.1,3.625,22.9,120.319,12:14:28.495
546,142.0,0.619,0.261,3.0,23.6,22.1,119.717,3.587,33.0,29.1,2.643,22.9,119.717,12:14:29.629
547,142.0,0.624,0.28,3.0,23.6,22.1,120.385,3.852,33.0,29.3,3.096,22.9,120.385,12:14:30.771
548,142.0,0.626,0.271,3.0,23.6,22.1,119.751,3.285,32.8,29.1,3.323,22.9,119.751,12:14:31.901
549,142.0,0.577,0.276,3.0,23.6,22.1,120.059,3.7,33.2,29.8,3.285,21.5,120.059,12:14:33.036
550,142.0,0.571,0.269,3.0,25.6,22.1,119.556,3.512,33.2,29.5,3.7,21.5,119.556,12:14:34.165
551,142.0,0.608,0.28,3.0,23.6,22.1,120.079,5.588,33.2,29.5,2.832,22.9,120.079,12:14:35.328
552,142.0,0.631,0.28,3.0,23.6,22.1,119.293,3.965,32.8,28.8,4.342,21.5,119.293,12:14:36.461
553,142.0,0.573,0.269,3.0,23.6,22.1,120.029,3.965,33.0,29.5,3.096,21.5,120.029,12:14:37.600
554,142.0,0.593,0.299,3.0,23.6,22.1,121.297,3.889,32.8,28.6,4.003,21.5,121.297,12:14:38.741
555,142.0,0.582,0.283,3.0,23.6,22.1,119.953,3.663,33.0,29.5,2.719,21.5,119.953,12:14:39.877
556,142.0,0.587,0.278,3.0,25.6,23.5,120.488,3.172,32.6,28.8,4.003,21.5,120.488,12:14:41.011
557,142.0,0.621,0.259,3.0,25.6,23.5,119.646,4.154,32.8,30.4,3.096,21.5,119.646,12:14:42.147
558,142.0,0.621,0.27,3.0,25.6,23.5,119.893,4.003,32.8,29.3,3.852,21.5,119.893,12:14:43.286
559,142.0,0.597,0.281,3.0,25.6,23.5,119.845,3.587,32.8,29.3,3.512,21.5,119.845,12:14:44.424
560,142.0,0.613,0.254,3.0,25.6,23.5,120.33,4.267,33.0,29.3,3.096,21.5,120.33,12:14:45.567
561,142.0,0.596,0.266,3.0,25.7,23.5,120.989,4.418,33.4,29.8,3.663,21.5,120.989,12:14:46.704
562,142.0,0.601,0.269,3.0,23.6,22.1,119.911,4.078,33.2,29.5,3.549,21.5,119.911,12:14:47.857
563,142.0,0.601,0.245,3.0,23.6,22.1,120.321,2.832,33.2,29.3,3.7,21.5,120.321,12:14:48.994
564,142.0,0.597,0.283,3.0,23.6,22.1,119.685,3.927,33.2,29.1,2.794,21.5,119.685,12:14:50.145
565,142.0,0.608,0.283,3.0,23.6,22.1,119.728,4.003,33.2,29.3,3.285,21.5,119.728,12:14:51.286
566,142.0,0.579,0.294,3.0,23.6,22.1,119.75,4.909,33.2,29.3,3.7,21.5,119.75,12:14:52.428
567,142.0,0.529,0.27,3.0,23.6,22.1,120.243,4.72,32.8,29.3,2.492,21.5,120.243,12:14:53.575
568,142.0,0.613,0.276,3.0,23.6,22.1,118.551,3.512,33.0,29.5,4.909,22.9,118.551,12:14:54.728
569,142.0,0.603,0.273,3.0,23.6,22.1,119.932,3.474,33.2,28.6,2.605,22.9,119.932,12:14:55.879
570,142.0,0.596,0.303,3.0,23.6,22.1,120.091,3.436,33.0,29.3,3.21,21.4,120.091,12:14:57.038
571,142.0,0.615,0.27,3.0,23.6,22.1,119.506,3.814,32.8,29.5,3.663,21.5,119.506,12:14:58.177
572,142.0,0.574,0.281,3.0,23.6,22.1,119.741,4.342,32.8,29.8,3.474,22.9,119.741,12:14:59.305
573,142.0,0.634,0.275,3.0,23.6,22.1,118.584,4.078,32.8,29.8,5.173,22.9,118.584,12:15:00.446
574,142.0,0.624,0.271,3.0,23.6,22.1,120.517,4.342,32.8,30.0,3.474,21.5,120.517,12:15:01.593
575,142.0,0.588,0.266,3.0,23.6,22.1,123.329,3.776,33.6,29.3,3.21,22.9,123.329,12:15:02.722
576,142.0,0.573,0.283,3.0,23.6,22.1,119.888,3.474,33.0,29.3,2.945,22.9,119.888,12:15:03.865
577,142.0,0.587,0.256,3.0,23.6,22.1,120.211,3.587,33.2,29.5,3.285,22.9,120.211,12:15:05.006
578,142.0,0.564,0.254,3.0,23.6,22.1,119.751,4.342,33.2,30.0,2.87,22.9,119.751,12:15:06.150
579,142.0,0.624,0.261,3.0,23.6,22.1,119.844,3.889,33.2,29.3,3.738,22.9,119.844,12:15:07.293
580,142.0,0.613,0.283,3.0,23.6,22.1,119.803,3.323,33.2,28.6,3.852,22.9,119.803,12:15:08.426
581,142.0,0.577,0.271,3.0,23.6,22.1,120.477,4.758,33.2,29.5,3.134,22.9,120.477,12:15:09.566
582,142.0,0.621,0.271,3.0,25.6,22.1,120.203,3.323,33.2,29.3,4.531,21.5,120.203,12:15:10.737
583,142.0,0.582,0.284,3.0,25.6,22.1,120.081,4.267,33.4,29.8,2.454,21.5,120.081,12:15:11.873
584,142.0,0.564,0.276,3.0,25.6,22.1,120.305,2.945,32.8,29.8,3.021,21.5,120.305,12:15:13.008
585,142.0,0.62,0.294,3.0,25.7,22.1,119.508,4.003,33.2,29.5,3.172,21.5,119.508,12:15:14.159
586,142.0,0.616,0.269,3.0,25.7,22.1,119.734,3.738,33.2,30.0,4.154,21.5,119.734,12:15:15.308
587,142.0,0.576,0.275,3.0,25.7,22.1,119.17,4.154,33.2,29.3,4.342,21.5,119.17,12:15:16.450
588,142.0,0.61,0.28,3.0,23.6,23.5,120.21,4.305,33.0,28.8,3.134,21.5,120.21,12:15:17.605
589,142.0,0.587,0.278,3.0,23.6,22.1,120.654,3.852,33.6,30.0,3.021,21.5,120.654,12:15:18.763
590,142.0,0.593,0.273,3.0,23.6,22.1,119.791,3.7,33.2,29.5,3.134,21.5,119.815,12:15:19.903
591,142.0,0.607,0.284,3.0,23.6,22.1,120.109,3.398,33.2,29.3,3.323,21.5,120.109,12:15:21.038
592,142.0,0.608,0.245,3.0,23.6,23.5,119.669,3.738,33.0,29.3,3.625,21.5,119.669,12:15:22.171
593,142.0,0.593,0.276,3.0,23.6,23.5,119.559,3.512,33.2,30.4,3.625,21.5,119.559,12:15:23.306
594,142.0,0.616,0.27,3.0,23.6,23.5,119.724,4.04,33.6,29.3,3.361,21.5,119.724,12:15:24.445
595,142.0,0.569,0.281,3.0,23.6,22.1,120.213,4.078,33.6,29.8,3.398,21.5,120.213,12:15:25.603
596,142.0,0.586,0.305,3.0,23.6,22.1,120.073,3.889,33.2,29.3,2.756,21.5,120.073,12:15:26.757
597,142.0,0.587,0.27,3.0,23.6,22.1,119.916,3.965,33.8,29.8,3.172,22.9,119.916,12:15:27.910
598,142.0,0.524,0.265,3.0,25.6,22.1,120.051,4.569,33.2,29.1,2.643,22.9,120.051,12:15:29.064
599,142.0,0.565,0.293,3.0,23.6,22.1,119.785,3.889,33.2,29.3,4.003,21.5,119.785,12:15:30.231
600,142.0,0.584,0.291,3.0,23.6,22.1,119.912,3.7,33.6,29.3,3.587,21.5,119.912,12:15:31.366
601,142.0,0.588,0.275,3.0,25.6,22.1,121.32,3.059,33.6,29.8,3.21,21.5,121.32,12:15:32.495
602,142.0,0.626,0.276,3.0,25.7,22.1,119.821,4.38,33.2,29.5,2.87,22.9,119.821,12:15:33.625
603,142.0,0.619,0.243,3.0,25.6,22.1,120.343,4.229,33.4,29.5,3.852,21.5,120.343,12:15:34.780
604,142.0,0.576,0.276,3.0,25.6,22.1,119.469,3.814,33.4,29.8,4.078,22.9,119.469,12:15:35.921
605,142.0,0.602,0.275,3.0,23.6,22.1,120.193,4.116,33.2,30.2,2.605,21.5,120.193,12:15:37.068
606,142.0,0.529,0.294,3.0,23.6,23.5,120.589,3.889,33.4,30.0,4.078,21.5,120.589,12:15:38.223
607,142.0,0.597,0.289,3.0,23.6,23.5,120.159,4.003,33.4,29.3,2.605,21.4,120.159,12:15:39.376
608,142.0,0.588,0.266,3.0,23.6,23.5,120.166,3.738,33.2,28.6,3.096,21.4,120.166,12:15:40.518
609,142.0,0.582,0.28,3.0,23.6,23.5,119.54,4.003,33.4,30.4,3.361,21.5,119.54,12:15:41.654
610,142.0,0.584,0.283,3.0,23.6,22.1,119.809,3.814,33.2,29.8,3.096,21.5,119.809,12:15:42.810
611,142.0,0.573,0.286,3.0,25.6,22.1,120.493,3.738,33.2,30.0,4.078,21.5,120.493,12:15:43.963
612,142.0,0.592,0.269,3.0,25.6,22.1,119.757,4.72,33.2,29.3,2.492,22.9,119.757,12:15:45.114
613,142.0,0.61,0.27,3.0,25.6,22.1,120.309,4.418,33.2,29.8,2.756,22.9,120.309,12:15:46.256
614,142.0,0.601,0.256,3.0,25.6,22.1,119.925,3.965,33.6,29.5,2.719,21.5,119.925,12:15:47.393
615,142.0,0.546,0.256,3.0,25.6,22.1,120.852,3.361,33.0,29.8,2.983,22.9,120.852,12:15:48.544
616,142.0,0.579,0.261,3.0,25.7,22.1,119.704,4.003,33.2,29.5,3.285,22.9,119.704,12:15:49.681
617,142.0,0.598,0.269,3.0,23.6,22.1,120.173,5.022,33.8,29.3,3.021,22.9,120.173,12:15:50.834
618,142.0,0.581,0.276,3.0,25.6,22.1,120.889,3.436,33.2,29.3,3.512,22.9,120.889,12:15:51.970
619,142.0,0.616,0.271,3.0,25.6,22.1,119.875,3.965,33.4,30.0,3.096,22.9,119.875,12:15:53.108
620,142.0,0.597,0.28,3.0,23.6,22.1,120.109,3.776,33.8,30.4,2.945,22.9,120.109,12:15:54.254
621,142.0,0.591,0.276,3.0,25.6,22.1,119.892,4.116,33.2,29.8,3.323,22.9,119.892,12:15:55.391
622,142.0,0.587,0.294,3.0,23.6,22.1,120.017,3.21,33.6,29.8,2.983,22.9,120.017,12:15:56.548
623,142.0,0.568,0.259,3.0,23.6,22.1,119.597,4.569,33.4,29.3,3.361,21.5,119.597,12:15:57.700
624,142.0,0.605,0.284,3.0,23.6,22.1,120.326,4.607,33.4,29.3,2.87,21.4,120.326,12:15:58.836
625,142.0,0.586,0.3,3.0,23.6,22.1,119.615,2.908,33.4,29.8,3.889,21.5,119.615,12:15:59.978
626,142.0,0.529,0.261,3.0,23.6,22.1,119.723,3.927,33.4,29.5,3.172,21.5,119.723,12:16:01.134
627,142.0,0.574,0.264,3.0,25.6,23.5,119.712,3.663,33.8,29.8,3.247,21.5,119.712,12:16:02.302
628,142.0,0.596,0.275,3.0,25.6,22.1,119.579,3.21,33.4,29.8,3.21,21.4,119.579,12:16:03.451
629,142.0,0.574,0.276,3.0,25.6,22.1,120.21,4.758,33.2,29.8,2.492,21.4,120.21,12:16:04.590
630,142.0,0.613,0.289,3.0,25.6,22.1,120.32,3.7,33.6,29.8,3.323,21.4,120.32,12:16:05.733
631,142.0,0.601,0.273,3.0,25.6,22.1,120.057,4.04,33.2,30.0,2.379,21.5,120.057,12:16:06.875
632,142.0,0.52,0.299,3.0,23.6,22.1,120.457,3.474,33.8,29.5,3.625,21.4,120.457,12:16:08.031
633,142.0,0.576,0.251,3.0,23.6,22.1,119.489,5.135,33.2,29.5,3.323,22.9,119.489,12:16:09.174
634,142.0,0.515,0.266,3.0,23.6,22.1,120.273,4.493,33.4,30.2,2.908,22.9,120.273,12:16:10.324
635,142.0,0.612,0.27,3.0,23.6,22.1,120.127,2.681,33.2,29.3,3.512,22.9,120.127,12:16:11.472
636,142.0,0.613,0.269,3.0,23.6,22.1,119.916,4.38,33.2,29.5,2.379,22.9,119.916,12:16:12.622
637,142.0,0.573,0.289,3.0,23.6,22.1,120.083,3.889,33.6,30.4,3.134,21.5,120.083,12:16:13.771
638,142.0,0.586,0.295,3.0,23.6,22.1,119.776,4.305,33.2,30.4,3.134,21.5,119.776,12:16:14.910
639,142.0,0.598,0.271,3.0,23.6,22.1,119.643,3.625,33.6,29.8,2.719,21.5,119.643,12:16:16.063
640,142.0,0.544,0.265,3.0,23.6,22.1,118.946,4.456,33.2,29.5,3.852,21.4,118.946,12:16:17.192
641,142.0,0.619,0.283,3.0,25.6,22.1,120.23,4.569,33.4,29.5,3.852,21.4,120.23,12:16:18.348
642,142.0,0.582,0.289,3.0,23.6,22.1,119.974,2.908,33.8,29.5,4.04,21.5,119.974,12:16:19.481
643,142.0,0.576,0.265,3.0,25.6,23.5,120.43,4.531,33.6,29.3,2.945,21.4,120.43,12:16:20.633
644,142.0,0.601,0.251,3.0,23.6,22.1,119.926,4.04,33.8,30.0,3.021,21.5,119.926,12:16:21.798
645,142.0,0.587,0.26,3.0,23.6,22.1,119.451,4.342,33.6,29.8,3.247,21.5,119.451,12:16:22.941
646,142.0,0.593,0.242,3.0,23.6,22.1,120.017,4.72,33.4,29.8,2.719,21.5,120.017,12:16:24.090
647,142.0,0.582,0.276,3.0,23.6,22.1,120.611,4.456,33.2,30.4,4.003,21.5,120.611,12:16:25.230
648,142.0,0.61,0.275,3.0,23.6,22.1,119.901,4.078,33.4,29.8,2.983,22.9,119.901,12:16:26.386
649,142.0,0.598,0.304,3.0,23.6,22.1,120.067,3.323,33.4,29.3,2.983,21.4,120.067,12:16:27.522
650,142.0,0.581,0.283,3.0,23.6,22.1,119.567,4.229,33.4,29.8,3.965,22.9,119.567,12:16:28.674
651,142.0,0.56,0.254,3.0,23.6,22.1,119.749,3.436,33.6,30.4,3.436,22.9,119.749,12:16:29.804
652,142.0,0.625,0.273,3.0,23.6,22.1,119.705,4.305,33.8,29.8,4.493,22.9,119.705,12:16:30.958
653,142.0,0.569,0.288,3.0,25.6,22.1,119.922,3.7,33.6,29.8,2.417,21.5,119.922,12:16:32.113
654,142.0,0.598,0.269,3.0,23.6,23.5,119.703,4.154,33.8,30.0,3.587,21.5,119.966,12:16:33.282
655,142.0,0.613,0.299,3.0,23.6,22.1,119.903,3.738,33.8,30.2,3.21,21.5,119.903,12:16:34.434
656,142.0,0.596,0.284,3.0,23.6,23.5,120.206,5.022,33.6,29.8,3.436,21.4,120.206,12:16:35.568
657,142.0,0.597,0.27,3.0,23.6,22.1,120.874,4.078,33.4,30.2,3.814,21.5,120.874,12:16:36.725
658,142.0,0.608,0.281,3.0,23.6,22.1,119.939,3.852,33.4,30.4,2.756,21.5,119.939,12:16:37.874
659,142.0,0.601,0.291,3.0,23.6,22.1,120.306,3.663,33.8,29.8,4.229,22.9,120.306,12:16:39.030
660,142.0,0.607,0.264,3.0,23.6,22.1,119.927,5.664,33.6,29.5,3.549,22.9,119.927,12:16:40.180
661,142.0,0.579,0.271,3.0,23.6,22.1,119.759,4.078,33.2,30.0,3.096,22.9,119.759,12:16:41.311
662,142.0,0.643,0.295,3.0,25.6,22.1,120.093,3.738,33.6,29.5,3.889,22.9,120.093,12:16:42.469
663,142.0,0.571,0.264,3.0,25.6,22.1,119.941,3.21,33.8,29.5,2.983,22.9,119.941,12:16:43.612
664,142.0,0.463,0.266,3.0,25.6,22.1,121.04,4.607,33.6,30.2,3.361,21.4,121.04,12:16:44.766
665,142.0,0.56,0.289,3.0,25.6,22.1,119.834,3.625,33.8,29.8,3.247,21.5,119.834,12:16:45.905
666,142.0,0.56,0.273,3.0,23.6,22.1,120.247,3.096,33.8,29.3,3.172,21.5,120.247,12:16:47.059
667,142.0,0.571,0.278,3.0,23.6,22.1,120.145,3.436,33.6,30.2,3.7,22.9,120.145,12:16:48.244
668,142.0,0.579,0.26,3.0,25.6,22.1,119.731,3.852,33.8,30.0,3.361,22.9,119.731,12:16:49.397
669,142.0,0.597,0.266,3.0,25.6,22.1,120.375,3.172,33.8,29.8,3.889,22.9,120.375,12:16:50.541
670,142.0,0.581,0.281,3.0,25.6,22.1,119.264,4.154,33.8,29.8,3.889,22.9,119.264,12:16:51.688
671,142.0,0.543,0.28,3.0,25.6,22.1,120.05,4.154,34.1,29.8,3.059,22.9,120.05,12:16:52.832
672,142.0,0.626,0.269,3.0,23.6,22.1,120.457,2.832,33.4,30.2,3.361,21.5,120.457,12:16:53.985
673,142.0,0.582,0.286,3.0,23.6,23.5,119.695,3.776,33.6,29.3,3.059,21.5,119.695,12:16:55.149
674,142.0,0.577,0.273,3.0,23.6,22.1,120.065,3.776,33.8,30.0,3.361,21.5,120.065,12:16:56.305
675,142.0,0.591,0.27,3.0,23.6,22.1,119.841,3.7,33.6,30.4,3.7,22.9,119.841,12:16:57.459
676,142.0,0.586,0.256,3.0,25.6,22.1,120.068,4.607,33.8,30.4,3.096,22.9,120.068,12:16:58.612
677,142.0,0.574,0.273,3.0,25.6,22.1,120.049,3.852,33.8,29.3,2.87,22.9,120.049,12:16:59.762
678,142.0,0.582,0.28,3.0,23.6,22.1,119.898,3.285,34.1,30.4,3.247,21.5,119.898,12:17:00.916
679,142.0,0.53,0.305,3.0,23.5,23.5,120.218,5.853,33.6,29.8,2.643,21.5,120.218,12:17:02.068
680,142.0,0.581,0.294,3.0,23.6,23.5,120.731,3.814,33.8,29.8,3.625,21.5,120.731,12:17:03.221
681,142.0,0.608,0.269,3.0,23.5,23.5,120.175,3.21,33.6,30.2,2.908,21.5,120.175,12:17:04.368
682,142.0,0.565,0.264,3.0,23.6,22.1,119.888,4.38,33.8,29.8,3.21,22.9,119.888,12:17:05.613
683,142.0,0.597,0.255,3.0,23.6,22.1,121.115,4.569,33.6,30.2,3.172,21.5,121.115,12:17:06.834
684,142.0,0.586,0.264,3.0,25.6,22.1,120.42,2.681,33.8,30.7,3.625,22.9,120.42,12:17:07.988
685,142.0,0.608,0.265,3.0,25.6,22.1,119.778,3.7,33.6,30.2,3.398,22.9,119.778,12:17:09.141
686,142.0,0.598,0.283,3.0,23.6,22.1,119.769,3.323,33.8,30.2,3.134,21.5,119.769,12:17:10.307
687,142.0,0.601,0.3,3.0,23.6,23.5,120.006,3.776,33.4,30.0,3.776,21.5,120.006,12:17:11.455
688,142.0,0.596,0.259,3.0,23.6,22.1,119.844,5.173,33.8,30.4,2.605,21.5,119.844,12:17:12.608
689,142.0,0.588,0.259,3.0,25.6,22.1,119.956,4.116,33.8,30.2,4.456,21.5,119.956,12:17:13.759
690,142.0,0.54,0.273,3.0,23.5,23.5,119.905,4.644,33.6,30.4,3.021,21.5,119.905,12:17:14.898
691,142.0,0.613,0.278,3.0,23.5,22.1,120.034,3.021,33.6,30.4,2.756,21.5,120.034,12:17:16.050
692,142.0,0.612,0.26,3.0,25.6,22.1,119.407,4.493,34.1,30.2,3.398,21.5,119.407,12:17:17.193
693,142.0,0.584,0.265,3.0,25.6,22.1,120.331,4.229,33.4,29.8,3.285,21.5,120.331,12:17:18.340
694,142.0,0.593,0.275,3.0,25.6,22.1,120.226,2.643,33.8,29.5,3.889,22.9,120.226,12:17:19.489
695,142.0,0.587,0.293,3.0,23.5,22.1,119.629,3.889,33.8,30.2,2.832,21.5,119.629,12:17:20.658
696,142.0,0.593,0.276,3.0,23.5,22.1,119.836,3.172,33.6,30.2,3.361,21.5,119.836,12:17:21.807
697,142.0,0.619,0.293,3.0,23.5,23.5,119.261,3.738,33.2,30.4,4.154,21.5,119.261,12:17:22.962
698,142.0,0.582,0.286,3.0,25.6,22.1,119.882,3.776,33.8,30.2,2.681,21.5,119.882,12:17:24.124
699,142.0,0.576,0.269,3.0,25.6,22.1,119.856,4.305,34.3,30.4,3.965,22.9,119.856,12:17:25.274
700,142.0,0.582,0.275,3.0,25.6,22.1,119.789,3.323,33.6,30.0,3.587,21.5,119.789,12:17:26.423
701,142.0,0.568,0.28,3.0,23.6,22.1,120.133,4.154,33.6,29.8,2.454,22.9,120.133,12:17:27.575
702,142.0,0.591,0.25,3.0,23.5,22.1,120.854,3.247,33.8,30.0,3.549,22.9,120.854,12:17:28.723
703,142.0,0.596,0.278,3.0,23.5,22.1,120.07,3.738,33.8,30.0,2.643,21.4,120.07,12:17:29.875
704,142.0,0.598,0.226,3.0,23.5,23.5,120.38,3.096,34.1,30.0,3.021,21.4,120.38,12:17:31.036
705,142.0,0.61,0.278,3.0,23.5,23.5,119.408,3.663,33.8,30.2,2.87,21.4,119.408,12:17:32.186
706,142.0,0.593,0.28,3.0,25.6,22.1,120.562,4.607,33.8,30.4,2.983,21.4,120.562,12:17:33.338
707,142.0,0.616,0.271,3.0,25.6,22.1,119.491,2.53,33.4,30.7,3.889,21.4,119.491,12:17:34.474
708,142.0,0.636,0.259,3.0,23.5,22.1,119.687,3.549,33.6,30.4,3.096,22.9,119.687,12:17:35.642
709,142.0,0.621,0.28,3.0,23.5,22.1,119.88,3.7,33.8,29.5,3.738,22.8,119.88,12:17:36.796
710,142.0,0.602,0.286,3.0,23.5,22.1,119.795,3.889,33.8,29.5,3.474,22.8,119.795,12:17:37.931
711,142.0,0.62,0.278,3.0,23.5,23.5,119.922,3.814,33.8,29.8,2.832,21.4,119.922,12:17:39.105
712,142.0,0.588,0.26,3.0,25.6,22.1,119.735,3.814,33.6,30.4,3.512,21.4,119.735,12:17:40.263
713,142.0,0.626,0.284,3.0,25.6,22.1,119.954,2.983,33.8,30.4,3.7,21.4,119.954,12:17:41.419
714,142.0,0.612,0.255,3.0,23.5,22.1,120.121,5.437,34.3,30.2,2.492,22.8,120.121,12:17:42.575
715,142.0,0.586,0.266,3.0,23.5,22.1,120.26,3.436,34.1,30.4,3.738,22.8,120.26,12:17:43.720
716,142.0,0.605,0.265,3.0,23.5,22.1,119.974,3.285,33.8,30.4,2.719,22.8,119.974,12:17:44.873
717,142.0,0.61,0.27,3.0,23.5,22.1,119.931,3.776,33.8,29.8,3.889,21.4,119.931,12:17:46.031
718,142.0,0.603,0.237,3.0,25.6,23.5,118.942,3.776,33.8,30.4,3.436,21.4,118.942,12:17:47.185
719,142.0,0.629,0.303,3.0,25.6,23.5,120.295,4.984,34.3,29.8,3.21,21.4,120.295,12:17:48.339
720,142.0,0.605,0.26,3.0,25.6,22.0,120.398,2.794,33.8,30.7,3.134,21.4,120.398,12:17:49.487
721,142.0,0.598,0.259,3.0,23.5,22.1,119.803,3.587,33.8,30.4,2.983,21.4,119.803,12:17:50.639
722,142.0,0.629,0.275,3.0,23.5,22.1,119.953,3.7,33.8,30.4,3.663,22.8,119.953,12:17:51.789
723,142.0,0.584,0.284,3.0,23.5,22.1,119.704,3.285,34.1,30.9,3.134,22.8,119.704,12:17:52.937
724,142.0,0.615,0.295,3.0,23.5,22.1,119.861,3.965,34.1,30.2,2.832,22.8,119.861,12:17:54.088
725,142.0,0.603,0.27,3.0,23.5,22.1,119.791,3.323,33.8,30.7,4.191,21.4,119.791,12:17:55.249
726,142.0,0.61,0.288,3.0,25.6,23.5,119.634,4.116,33.6,30.2,3.323,21.4,119.634,12:17:56.410
727,142.0,0.602,0.265,3.0,23.5,22.0,120.609,3.776,34.3,30.4,2.454,22.8,120.609,12:17:57.583
728,142.0,0.607,0.275,3.0,23.5,22.1,120.306,3.059,34.1,30.7,3.285,22.8,120.306,12:17:58.733
