Log,mixer_motor_temperature_M1,cp_flowrate,ac_flowrate,mixer_speed_M2,cp_pressure,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,cp_temperature,mixer_motor_temperature_M2,mixer_torque_M2,mixer_pressure,mixer_torque_M1,mixer_speed_M1,Time
222,19.8,1.5,51.6,120.386,0.735,24.5,23.4,24.4,22.5,2.681,0.273,3.059,120.386,11:51:59.362
223,20.0,1.5,51.6,119.62,0.625,24.5,23.4,25.8,22.3,3.021,0.278,3.172,119.62,11:52:00.485
224,20.4,1.5,51.6,119.943,0.769,26.6,23.5,25.8,22.5,3.512,0.28,3.625,119.943,11:52:01.609
225,20.0,1.5,51.6,121.335,0.762,26.6,23.5,25.8,22.5,2.945,0.276,2.87,121.335,11:52:02.744
226,19.8,1.5,51.6,119.701,0.853,26.6,23.5,24.4,22.5,3.474,0.308,2.87,119.701,11:52:03.866
227,20.9,1.5,51.6,119.413,0.724,24.5,24.9,24.4,22.3,2.681,0.242,3.059,119.413,11:52:04.985
228,20.9,1.5,51.6,119.743,0.71,24.5,23.5,24.4,22.3,3.398,0.286,3.361,119.743,11:52:06.110
229,20.4,1.5,51.6,119.489,0.674,24.6,23.4,25.8,22.3,2.87,0.295,3.776,119.489,11:52:07.240
230,20.4,1.5,51.6,119.765,0.746,24.5,23.5,25.8,22.3,3.096,0.293,2.832,119.765,11:52:08.361
231,20.9,1.5,51.6,119.989,0.767,24.5,24.9,24.4,22.3,3.021,0.264,3.021,119.989,11:52:09.479
232,20.4,1.5,51.6,120.936,0.793,24.6,24.9,24.4,22.7,3.587,0.358,3.512,120.936,11:52:10.601
233,20.7,1.5,51.6,120.056,0.712,24.6,24.9,24.4,22.3,3.247,0.326,2.983,120.056,11:52:11.742
234,19.8,1.5,51.6,119.778,0.709,24.5,23.5,24.4,22.3,2.945,0.331,2.908,119.778,11:52:12.862
235,20.4,1.5,51.6,119.764,0.688,24.6,23.5,25.8,22.7,2.983,0.27,3.021,119.764,11:52:13.982
236,20.7,1.5,51.6,120.013,0.753,26.6,23.5,24.4,22.3,3.172,0.308,3.361,120.013,11:52:15.108
237,20.9,1.5,51.6,119.512,0.769,24.6,24.9,24.4,22.7,3.285,0.303,3.134,119.512,11:52:16.230
238,20.2,1.5,51.6,119.731,0.739,24.6,23.5,24.4,22.7,2.87,0.281,3.814,119.731,11:52:17.351
239,20.0,1.5,51.6,120.753,0.736,24.6,23.5,25.8,22.3,2.87,0.278,3.247,120.753,11:52:18.470
240,19.8,1.5,51.6,119.478,0.74,26.7,23.5,24.4,22.7,3.285,0.308,3.285,119.478,11:52:19.588
241,20.2,1.5,51.6,119.982,0.745,26.7,23.5,24.4,22.3,3.21,0.275,3.247,119.982,11:52:20.710
242,19.8,1.5,51.6,119.778,0.789,26.7,24.9,24.4,22.7,3.096,0.243,2.832,119.778,11:52:21.851
243,20.9,1.5,51.6,120.697,0.735,24.6,23.5,24.4,22.7,2.983,0.269,3.134,120.697,11:52:22.966
244,20.9,1.5,51.6,119.811,0.751,24.6,23.5,25.8,22.3,3.625,0.243,2.87,119.811,11:52:24.088
245,20.2,1.5,51.6,119.848,0.762,24.6,23.5,25.9,22.7,3.398,0.291,3.172,119.848,11:52:25.212
246,20.7,1.5,51.6,119.64,0.659,24.6,23.5,24.4,22.3,3.512,0.291,2.719,119.64,11:52:26.335
247,20.4,1.5,51.6,120.276,0.776,24.6,24.9,24.4,22.7,3.398,0.289,2.568,120.276,11:52:27.452
248,20.2,1.5,51.6,120.05,0.834,24.6,23.5,24.4,22.5,3.663,0.289,2.756,120.05,11:52:28.577
249,20.4,1.5,51.6,120.086,0.735,24.6,23.5,25.9,22.7,3.549,0.247,2.832,120.086,11:52:29.696
250,20.4,1.5,51.6,119.945,0.734,26.7,23.5,24.4,22.5,3.549,0.281,2.417,119.945,11:52:30.818
251,19.8,1.5,51.6,120.21,0.712,26.7,24.9,24.4,22.5,2.417,0.256,2.832,120.21,11:52:31.935
252,20.4,1.5,51.6,120.247,0.743,24.6,25.0,24.4,22.5,3.852,0.291,3.021,120.247,11:52:33.061
253,20.2,1.5,51.6,119.89,0.787,24.6,23.5,24.4,22.9,2.87,0.295,3.247,119.89,11:52:34.186
254,20.7,1.5,51.6,119.327,0.743,24.6,23.5,25.9,22.5,2.87,0.294,2.908,119.327,11:52:35.306
255,21.3,1.5,51.6,120.222,0.712,24.7,23.5,24.4,22.7,2.341,0.299,2.908,120.222,11:52:36.430
256,20.4,1.5,51.6,120.318,0.75,26.7,25.0,24.4,22.7,3.096,0.319,2.794,120.318,11:52:37.551
257,20.9,1.5,51.6,120.855,0.784,26.7,25.0,24.4,22.7,2.908,0.31,2.492,120.855,11:52:38.691
258,20.4,1.5,51.6,120.012,0.806,24.7,23.5,24.4,22.7,3.21,0.289,2.341,120.012,11:52:39.810
259,20.2,1.5,51.6,119.77,0.769,24.7,23.5,25.9,22.5,2.756,0.245,3.398,119.77,11:52:40.929
260,20.9,1.5,51.6,120.181,0.743,24.7,23.5,25.9,22.5,2.794,0.289,2.568,120.181,11:52:42.052
261,20.9,1.5,51.6,119.958,0.626,26.8,23.5,24.5,22.7,3.587,0.298,3.512,119.958,11:52:43.170
262,20.0,1.5,51.6,120.057,0.724,26.7,25.0,24.4,22.7,2.832,0.27,2.341,120.057,11:52:44.307
263,20.4,1.5,51.6,120.74,0.784,24.7,23.5,24.4,22.7,2.643,0.283,2.794,120.74,11:52:45.426
264,20.7,1.5,51.6,120.081,0.806,24.7,23.5,25.9,22.7,2.945,0.316,3.398,120.081,11:52:46.549
265,20.7,1.5,51.6,119.255,0.725,24.7,23.5,25.9,22.5,2.756,0.333,4.418,119.255,11:52:47.670
266,20.9,1.5,51.6,120.068,0.691,26.8,23.5,24.4,22.5,3.172,0.27,2.983,120.068,11:52:48.792
267,20.7,1.5,51.6,119.604,0.753,26.8,25.0,24.4,22.3,2.832,0.283,3.663,119.604,11:52:49.917
268,20.4,1.5,51.6,119.934,0.748,24.7,23.5,24.4,22.5,3.776,0.255,3.474,119.934,11:52:51.036
269,20.9,1.5,51.6,120.082,0.814,24.7,23.5,25.9,22.7,2.719,0.333,3.134,120.082,11:52:52.162
270,19.8,1.5,51.6,119.305,0.751,24.7,23.5,25.9,22.9,3.512,0.284,3.474,119.305,11:52:53.286
271,20.7,1.5,51.6,121.993,0.676,24.7,23.5,24.5,22.7,2.454,0.288,2.794,121.993,11:52:54.419
272,20.9,1.5,51.6,121.181,0.757,26.8,25.0,24.5,22.9,3.361,0.254,2.908,121.181,11:52:55.538
273,20.9,1.5,51.6,120.716,0.709,26.8,25.0,24.4,22.7,2.87,0.271,3.323,120.716,11:52:56.672
274,20.4,1.5,51.6,119.916,0.764,24.7,23.6,24.5,23.2,3.059,0.276,2.87,119.916,11:52:57.791
275,20.9,1.5,51.6,120.0,0.782,24.7,23.5,25.9,22.7,2.53,0.255,3.134,120.0,11:52:58.911
276,20.2,1.5,51.6,120.361,0.779,24.7,23.6,24.5,22.7,3.323,0.284,2.87,120.361,11:53:00.034
277,21.3,1.5,51.6,120.058,0.712,26.8,23.6,24.4,22.9,2.908,0.275,3.21,120.058,11:53:01.168
278,20.7,1.5,51.6,120.115,0.774,26.8,25.0,24.4,22.9,3.549,0.316,2.908,120.115,11:53:02.283
279,20.7,1.5,51.6,120.576,0.817,24.7,23.5,24.4,22.7,3.021,0.293,3.096,120.576,11:53:03.402
280,20.4,1.5,51.6,120.866,0.817,24.7,23.6,24.5,23.2,3.889,0.271,2.417,120.866,11:53:04.519
281,20.9,1.5,51.6,120.079,0.731,24.8,23.6,24.5,22.7,3.323,0.278,2.719,120.079,11:53:05.641
282,20.9,1.5,51.6,120.016,0.725,26.8,25.0,24.5,22.9,3.512,0.238,2.001,120.016,11:53:06.764
283,21.1,1.5,51.6,119.345,0.709,24.7,23.6,24.4,22.7,2.53,0.316,3.059,119.345,11:53:07.884
284,21.1,1.5,51.6,120.037,0.73,24.8,23.6,25.9,22.7,3.738,0.254,3.021,120.037,11:53:09.005
285,20.9,1.5,51.6,119.987,0.789,24.8,23.6,24.4,22.9,3.587,0.314,2.492,119.987,11:53:10.125
286,21.3,1.5,51.6,120.69,0.767,24.8,23.6,24.5,22.7,4.116,0.265,2.152,120.69,11:53:11.263
287,21.1,1.5,51.6,120.372,0.753,24.8,23.6,24.5,22.7,3.285,0.242,2.832,120.372,11:53:12.382
288,20.4,1.5,51.6,120.019,0.706,24.8,23.6,24.4,23.2,3.814,0.31,2.681,120.019,11:53:13.503
289,20.9,1.5,51.6,119.649,0.778,24.8,23.6,25.9,22.7,3.285,0.259,3.285,119.649,11:53:14.626
290,21.1,1.5,51.6,120.168,0.729,24.8,23.6,24.5,23.2,3.398,0.255,2.794,120.168,11:53:15.779
291,21.1,1.5,51.6,119.416,0.814,24.8,23.6,25.9,22.7,3.247,0.269,3.247,119.416,11:53:16.897
292,20.9,1.5,51.6,120.241,0.706,24.8,23.6,24.5,22.7,3.21,0.289,2.794,120.241,11:53:18.027
293,20.7,1.5,51.6,119.803,0.759,26.9,25.0,24.5,22.7,3.436,0.321,3.134,119.803,11:53:19.147
294,20.2,1.5,51.6,120.072,0.696,26.8,25.0,24.5,23.2,3.059,0.264,2.417,120.072,11:53:20.273
295,20.9,1.5,51.6,119.977,0.781,24.8,23.6,24.5,23.2,3.134,0.289,3.134,119.977,11:53:21.397
296,21.1,1.5,51.6,119.407,0.824,24.8,23.6,25.9,23.2,3.21,0.261,3.776,119.407,11:53:22.519
297,21.3,1.5,51.6,119.885,0.734,24.8,23.6,25.9,22.7,3.512,0.266,3.625,119.885,11:53:23.659
298,20.9,1.5,51.6,120.192,0.753,24.8,23.6,24.5,22.7,4.72,0.298,2.908,120.192,11:53:24.778
299,21.3,1.5,51.6,120.847,0.746,24.8,23.6,24.5,23.2,2.756,0.255,2.983,120.847,11:53:25.903
300,20.4,1.5,51.6,119.842,0.773,26.9,25.1,24.5,23.2,3.247,0.283,3.247,119.842,11:53:27.023
301,20.9,1.5,51.6,119.993,0.862,24.8,23.6,24.4,23.2,3.436,0.305,2.681,119.993,11:53:28.143
302,21.3,1.5,51.6,120.951,0.745,24.8,23.6,25.9,22.7,5.022,0.284,1.926,120.951,11:53:29.262
303,20.9,1.5,51.6,120.093,0.674,24.8,23.6,24.5,22.9,2.681,0.294,2.605,120.093,11:53:30.387
304,21.3,1.5,51.6,120.414,0.778,26.9,25.1,24.5,23.4,4.267,0.273,2.379,120.414,11:53:31.512
305,20.4,1.5,51.6,120.848,0.746,24.8,23.6,24.5,23.2,3.587,0.256,2.492,120.848,11:53:32.628
306,21.1,1.5,51.6,120.082,0.811,24.8,23.6,25.9,23.4,2.681,0.226,3.474,120.082,11:53:33.748
307,20.0,1.5,51.6,120.588,0.804,24.8,23.6,25.9,23.4,3.059,0.323,2.719,120.588,11:53:34.882
308,21.1,1.5,51.6,120.196,0.724,24.8,23.6,25.9,22.7,3.21,0.222,3.247,120.196,11:53:36.021
309,20.9,1.5,51.6,119.97,0.773,24.8,23.6,24.5,23.4,3.059,0.261,3.059,119.97,11:53:37.144
310,20.9,1.5,51.6,120.168,0.743,26.9,25.1,24.5,23.2,4.305,0.308,2.417,120.168,11:53:38.269
311,20.9,1.5,51.6,120.052,0.717,26.9,25.1,24.5,22.7,3.021,0.309,3.059,120.052,11:53:39.403
312,21.1,1.5,51.6,120.463,0.786,26.9,23.6,24.5,23.2,4.191,0.245,2.568,120.463,11:53:40.522
313,20.9,1.5,51.6,119.91,0.721,24.8,23.6,25.9,23.4,3.285,0.385,4.078,119.91,11:53:41.643
314,20.9,1.5,51.6,120.305,0.768,24.8,23.6,24.5,23.4,4.456,0.266,2.19,120.305,11:53:42.764
315,21.3,1.5,51.6,119.027,0.751,24.8,25.1,24.5,22.9,2.794,0.283,3.549,119.027,11:53:43.885
316,21.1,1.5,51.6,120.173,0.757,26.9,23.6,24.5,23.2,3.096,0.331,2.908,120.173,11:53:45.005
317,21.3,1.5,51.6,119.782,0.793,24.8,23.6,25.9,22.7,3.21,0.226,3.436,119.782,11:53:46.128
318,20.4,1.5,51.6,120.661,0.835,24.9,23.6,24.5,23.2,3.021,0.273,2.568,120.661,11:53:47.249
319,21.1,1.5,51.6,119.802,0.781,24.8,23.6,24.5,23.2,3.927,0.273,2.681,119.802,11:53:48.370
320,21.1,1.5,51.6,119.859,0.748,26.9,25.1,24.5,22.9,2.643,0.288,2.19,119.859,11:53:49.492
321,21.3,1.5,51.6,119.225,0.772,26.9,23.6,24.5,23.2,3.059,0.27,3.21,119.225,11:53:50.612
322,21.1,1.5,51.6,119.092,0.719,24.8,23.6,25.9,22.9,3.361,0.284,3.889,119.092,11:53:51.733
323,20.4,1.5,51.6,119.944,0.797,24.8,23.6,24.5,23.4,3.247,0.26,2.643,119.944,11:53:52.850
324,21.1,1.5,51.6,119.777,0.778,24.9,25.1,24.5,23.2,3.625,0.289,3.549,119.777,11:53:53.971
325,20.7,1.5,51.6,119.834,0.741,24.9,25.1,24.5,22.9,3.663,0.295,3.172,119.834,11:53:55.110
326,20.4,1.5,51.6,120.509,0.729,24.9,23.6,24.5,23.2,3.776,0.3,2.87,120.509,11:53:56.227
327,21.3,1.5,51.6,119.835,0.811,24.8,23.6,25.9,23.2,3.587,0.247,2.983,119.714,11:53:57.350
328,21.1,1.5,51.6,120.081,0.73,24.8,23.6,24.5,23.4,2.605,0.328,3.398,120.081,11:53:58.471
329,20.9,1.5,51.6,120.125,0.751,24.9,25.1,24.5,23.2,3.285,0.304,2.87,120.125,11:53:59.594
330,20.9,1.5,51.6,120.181,0.736,24.8,25.1,24.5,23.4,3.021,0.303,2.605,120.181,11:54:00.732
331,21.6,1.5,51.6,119.625,0.784,26.9,23.7,24.5,23.2,3.021,0.299,3.134,119.625,11:54:01.852
332,21.3,1.5,51.6,120.351,0.778,24.9,23.7,25.9,23.4,3.021,0.316,3.285,120.351,11:54:02.971
333,21.1,1.5,51.6,120.479,0.84,24.9,23.7,25.9,23.2,3.965,0.269,2.983,120.479,11:54:04.090
334,20.9,1.5,51.6,121.308,0.779,24.9,23.7,24.5,23.4,3.247,0.283,3.134,121.308,11:54:05.213
335,20.9,1.5,51.6,119.642,0.668,24.8,25.1,24.5,22.9,3.134,0.332,2.719,119.642,11:54:06.347
336,20.7,1.5,51.6,120.0,0.798,27.0,23.7,24.5,23.6,2.794,0.233,2.983,120.0,11:54:07.470
337,21.6,1.5,51.6,119.938,0.75,27.0,23.7,25.9,23.4,3.512,0.291,3.021,119.938,11:54:08.592
338,21.1,1.5,51.6,119.664,0.825,24.9,23.7,25.9,23.2,3.398,0.322,3.625,119.664,11:54:09.717
339,21.3,1.5,51.6,119.916,0.82,24.9,23.7,25.9,23.2,2.756,0.238,3.134,119.916,11:54:10.853
340,21.3,1.5,51.6,119.797,0.762,24.9,23.7,24.5,23.2,3.965,0.313,3.587,119.797,11:54:11.974
341,20.9,1.5,51.6,120.883,0.73,24.9,25.2,24.5,23.6,3.361,0.323,2.643,120.883,11:54:13.094
342,21.8,1.5,51.6,119.571,0.74,27.0,23.7,24.5,23.2,3.285,0.275,3.134,119.571,11:54:14.216
343,20.4,1.5,51.6,119.218,0.769,26.9,23.7,24.5,23.2,3.059,0.284,3.889,119.218,11:54:15.351
344,21.6,1.5,51.6,119.892,0.862,27.0,23.7,24.5,23.2,2.568,0.248,2.87,119.892,11:54:16.490
345,20.9,1.5,51.6,120.241,0.801,24.9,23.7,25.9,23.6,3.096,0.291,3.172,120.241,11:54:17.610
346,21.1,1.5,51.6,120.552,0.721,24.9,23.7,24.5,23.2,3.398,0.293,3.059,120.552,11:54:18.732
347,21.1,1.5,51.6,119.591,0.724,24.9,25.2,24.5,23.4,2.832,0.259,3.096,119.591,11:54:19.852
348,20.9,1.5,51.6,119.97,0.778,27.0,23.7,24.5,23.2,2.908,0.27,3.361,119.97,11:54:20.971
349,21.8,1.5,51.6,120.609,0.797,24.9,23.7,25.9,23.4,3.361,0.275,3.172,120.609,11:54:22.091
350,20.7,1.5,51.6,120.02,0.802,24.9,23.7,24.5,23.6,3.398,0.283,3.474,120.02,11:54:23.214
351,21.1,1.5,51.6,119.942,0.774,24.9,25.2,24.5,23.2,3.587,0.219,2.19,119.942,11:54:24.330
352,20.9,1.5,51.6,118.934,0.735,27.0,23.7,24.5,23.2,2.908,0.273,4.493,118.934,11:54:25.451
353,21.3,1.5,51.6,121.38,0.763,24.9,23.7,25.9,23.2,3.285,0.304,2.605,121.38,11:54:26.576
354,21.3,1.5,51.6,119.952,0.772,24.9,23.7,25.9,23.2,3.323,0.304,3.738,119.952,11:54:27.712
355,20.2,1.5,51.6,119.686,0.787,24.9,23.7,24.5,23.6,3.285,0.317,2.568,119.686,11:54:28.828
356,21.3,1.5,51.6,120.739,0.679,24.9,25.2,24.5,23.8,2.719,0.314,2.719,120.739,11:54:29.950
357,21.3,1.5,51.6,120.112,0.776,24.9,25.2,24.5,23.6,3.172,0.348,3.021,120.112,11:54:31.087
358,20.9,1.5,51.6,119.276,0.682,27.0,23.7,24.5,23.8,3.587,0.319,3.059,119.276,11:54:32.208
359,21.6,1.5,51.6,120.766,0.767,24.9,23.7,25.9,23.2,3.247,0.276,2.19,120.766,11:54:33.327
360,21.1,1.5,51.6,121.465,0.769,24.9,23.7,24.5,23.2,2.077,0.28,2.681,121.465,11:54:34.447
361,21.3,1.5,51.6,119.808,0.764,24.9,23.7,24.5,23.4,3.965,0.3,2.719,119.808,11:54:35.579
362,21.6,1.5,51.6,119.044,0.746,24.9,25.2,24.5,23.6,3.247,0.291,4.229,119.044,11:54:36.718
363,21.3,1.5,51.6,119.563,0.758,24.9,25.2,24.5,23.6,2.756,0.294,3.134,119.563,11:54:37.849
364,21.8,1.5,51.6,120.066,0.757,27.0,23.7,24.5,23.6,3.512,0.242,4.191,120.066,11:54:38.968
365,20.9,1.5,51.6,119.896,0.85,27.0,23.7,24.5,23.6,3.21,0.286,3.247,119.896,11:54:40.106
366,20.9,1.5,51.6,120.755,0.736,27.0,23.7,25.9,23.8,3.361,0.328,3.134,120.755,11:54:41.226
367,21.3,1.5,51.6,119.753,0.774,24.9,23.7,24.5,23.4,3.512,0.271,2.53,119.753,11:54:42.349
368,21.3,1.5,51.6,120.297,0.758,24.9,23.7,24.5,23.4,3.096,0.238,3.247,120.297,11:54:43.472
369,21.6,1.5,51.6,119.834,0.72,24.9,25.2,24.5,23.6,3.285,0.281,2.945,119.834,11:54:44.597
370,20.9,1.5,51.6,120.74,0.846,27.0,23.7,24.5,23.8,3.247,0.291,3.965,120.74,11:54:45.717
371,22.3,1.5,51.6,119.505,0.741,24.9,25.2,24.5,23.6,2.794,0.294,2.266,119.505,11:54:46.871
372,20.9,1.5,51.6,119.895,0.774,27.0,23.7,24.5,23.4,3.436,0.276,2.87,119.895,11:54:48.006
373,21.3,1.5,51.6,119.593,0.698,27.0,23.7,24.5,23.2,2.832,0.291,3.172,119.593,11:54:49.132
374,21.3,1.5,51.6,120.95,0.769,25.0,23.7,24.5,23.8,3.738,0.275,3.172,120.95,11:54:50.249
375,21.8,1.5,51.6,118.853,0.807,24.9,23.7,24.5,23.8,2.681,0.281,4.003,118.853,11:54:51.388
376,21.3,1.5,51.6,119.977,0.791,24.9,23.7,24.5,23.4,3.323,0.281,2.87,119.977,11:54:52.526
377,21.1,1.5,51.6,119.415,0.759,25.0,23.7,24.5,23.6,2.53,0.283,3.625,119.415,11:54:53.663
378,21.3,1.5,51.6,119.907,0.725,24.9,25.2,24.5,23.8,3.436,0.348,2.719,119.907,11:54:54.784
379,21.3,1.5,51.6,121.003,0.781,25.0,25.2,24.5,23.6,2.643,0.314,2.605,121.003,11:54:55.918
380,21.3,1.5,51.6,120.299,0.753,24.9,25.2,24.5,23.8,3.549,0.291,2.568,120.299,11:54:57.056
381,21.3,1.5,51.6,120.527,0.825,25.0,25.2,24.5,23.4,3.096,0.276,3.285,120.527,11:54:58.197
382,21.1,1.5,51.6,120.137,0.762,25.0,23.7,24.5,23.6,3.21,0.298,2.454,120.137,11:54:59.320
383,21.1,1.5,51.6,120.101,0.763,27.0,23.8,25.9,23.4,2.945,0.243,2.53,120.101,11:55:00.446
384,21.1,1.5,51.6,119.537,0.774,25.0,23.7,24.5,23.4,3.587,0.314,3.247,119.537,11:55:01.565
385,21.8,1.5,51.6,120.548,0.763,25.0,23.7,24.5,23.4,3.285,0.264,2.568,120.548,11:55:02.698
386,22.0,1.5,51.6,120.193,0.802,25.0,25.2,24.5,23.8,3.398,0.186,2.417,120.193,11:55:03.818
387,21.1,1.5,51.6,120.133,0.836,25.0,23.7,24.5,23.6,2.681,0.288,2.341,120.133,11:55:04.942
388,21.3,1.5,51.6,119.921,0.751,27.0,23.8,24.5,23.4,3.436,0.3,3.323,119.921,11:55:06.077
389,21.3,1.5,51.6,120.237,0.712,27.0,23.8,26.0,23.4,4.078,0.228,2.832,120.237,11:55:07.203
390,21.3,1.5,51.6,119.208,0.714,25.0,23.8,26.0,23.6,3.474,0.348,3.096,119.208,11:55:08.326
391,22.3,1.5,51.6,120.468,0.779,25.0,23.8,24.5,23.6,3.889,0.294,2.568,120.468,11:55:09.450
392,21.3,1.5,51.6,119.714,0.787,25.0,25.2,24.5,23.6,3.361,0.276,2.945,119.714,11:55:10.588
393,21.3,1.5,51.6,120.228,0.778,25.0,25.2,24.5,23.8,3.285,0.278,3.625,120.228,11:55:11.710
394,21.1,1.5,51.6,120.199,0.743,25.0,23.8,24.5,23.4,3.361,0.295,2.303,120.199,11:55:12.831
395,21.3,1.5,51.6,120.202,0.754,27.1,23.8,26.0,23.8,2.832,0.275,3.285,120.202,11:55:13.950
396,21.8,1.5,51.6,119.563,0.758,25.0,23.8,24.5,23.8,3.474,0.286,3.361,119.563,11:55:15.074
397,21.8,1.5,51.6,120.764,0.831,25.0,25.2,24.5,24.3,2.945,0.26,2.417,120.764,11:55:16.193
398,21.3,1.5,51.6,120.17,0.768,25.0,23.8,24.5,24.1,3.398,0.281,2.417,120.17,11:55:17.316
399,21.3,1.5,51.6,119.916,0.762,25.0,23.8,24.5,23.8,3.134,0.283,4.305,119.916,11:55:18.450
400,21.1,1.5,51.6,120.193,0.75,27.1,23.8,26.0,24.1,3.776,0.254,3.134,120.193,11:55:19.571
401,21.6,1.5,51.6,119.361,0.702,25.0,23.8,24.5,23.6,2.832,0.275,3.625,119.361,11:55:20.691
402,21.8,1.5,51.6,119.84,0.798,25.0,25.2,24.5,23.4,3.436,0.245,2.341,119.84,11:55:21.811
403,21.3,1.5,51.6,119.973,0.84,25.0,23.8,24.5,23.8,2.341,0.276,2.756,119.973,11:55:22.934
404,21.1,1.5,51.6,120.022,0.784,27.1,23.8,26.0,24.3,4.003,0.299,3.247,120.022,11:55:24.054
405,20.9,1.5,51.6,120.523,0.748,27.1,23.8,26.0,23.8,2.945,0.251,3.247,120.523,11:55:25.173
406,21.3,1.5,51.6,119.299,0.731,25.0,23.8,24.5,23.8,3.7,0.283,2.756,119.299,11:55:26.309
407,21.1,1.5,51.6,118.76,0.887,25.0,23.8,24.5,24.3,2.756,0.281,4.191,118.76,11:55:27.429
408,22.0,1.5,51.6,119.885,0.834,25.0,25.3,24.5,23.8,3.625,0.276,2.983,119.885,11:55:28.566
409,21.1,1.5,51.6,120.198,0.748,25.0,23.8,24.5,23.8,2.87,0.275,3.134,120.198,11:55:29.689
410,21.6,1.5,51.6,119.811,0.736,25.0,25.3,24.5,23.8,3.625,0.281,2.417,119.811,11:55:30.830
411,21.8,1.5,51.6,120.592,0.782,25.0,23.8,25.9,23.6,3.096,0.293,2.908,120.592,11:55:31.953
412,21.8,1.5,51.6,120.709,0.715,27.1,23.8,26.0,23.8,3.738,0.314,2.492,120.709,11:55:33.075
413,22.3,1.5,51.6,120.202,0.822,25.0,23.8,24.5,24.1,3.134,0.269,2.87,120.202,11:55:34.195
414,22.0,1.5,51.6,120.841,0.741,25.0,25.3,24.5,24.3,3.361,0.294,2.605,120.841,11:55:35.316
415,21.8,1.5,51.6,120.787,0.75,25.0,25.3,24.5,24.1,3.663,0.261,2.794,120.787,11:55:36.453
416,21.8,1.5,51.6,119.479,0.767,25.0,25.3,24.5,24.1,3.474,0.288,3.361,119.479,11:55:37.593
417,21.3,1.5,51.6,120.324,0.789,25.0,25.3,24.5,23.8,3.172,0.281,3.021,120.324,11:55:38.730
418,21.6,1.5,51.6,119.91,0.796,25.0,25.3,24.5,24.3,3.549,0.31,3.021,119.91,11:55:39.871
419,21.3,1.5,51.6,119.829,0.829,25.0,23.8,24.5,24.1,3.512,0.3,3.096,119.829,11:55:40.992
420,21.3,1.5,51.6,119.227,0.748,27.1,23.8,26.0,23.8,3.361,0.26,3.814,119.227,11:55:42.114
421,20.9,1.5,51.6,120.446,0.778,25.0,23.8,24.5,24.3,3.512,0.304,3.738,120.446,11:55:43.234
422,21.8,1.5,51.6,119.353,0.671,25.0,25.3,24.5,24.3,3.436,0.337,3.323,119.353,11:55:44.353
423,21.3,1.5,51.6,120.139,0.758,25.0,23.8,24.5,23.8,4.191,0.286,4.04,120.139,11:55:45.477
424,22.3,1.5,51.6,119.503,0.763,25.0,23.8,24.5,23.8,3.361,0.284,4.04,119.503,11:55:46.615
425,21.8,1.5,51.6,119.045,0.772,25.0,23.8,26.0,23.8,3.096,0.255,3.549,119.045,11:55:47.750
426,22.3,1.5,51.6,119.777,0.806,27.1,23.8,26.0,23.8,3.436,0.254,2.681,119.777,11:55:48.872
427,22.0,1.5,51.6,120.077,0.759,27.1,23.8,26.0,23.8,3.776,0.291,3.134,120.077,11:55:50.008
428,22.3,1.5,51.6,119.615,0.804,27.1,23.8,24.5,24.1,3.134,0.276,3.134,119.615,11:55:51.131
429,21.8,1.5,51.6,120.612,0.844,25.0,25.3,24.5,24.1,3.738,0.286,2.832,120.612,11:55:52.254
430,22.0,1.5,51.6,119.88,0.714,25.0,23.8,24.5,24.1,3.7,0.251,3.096,119.88,11:55:53.389
431,21.8,1.5,51.6,120.203,0.751,25.0,23.8,26.0,24.1,4.191,0.266,3.134,120.203,11:55:54.509
432,22.3,1.5,51.6,120.405,0.801,25.0,23.8,26.0,23.8,3.587,0.291,3.172,120.405,11:55:55.645
433,22.3,1.5,51.6,119.99,0.758,27.1,23.8,26.0,24.1,4.078,0.255,2.454,119.99,11:55:56.769
434,21.8,1.5,51.6,118.923,0.731,27.1,23.8,26.0,23.8,3.7,0.271,4.947,118.923,11:55:57.905
435,21.8,1.5,51.6,120.753,0.782,27.1,23.9,26.0,24.3,3.21,0.327,3.7,120.753,11:55:59.043
436,21.6,1.5,51.6,120.209,0.767,25.0,23.8,24.5,23.8,3.059,0.278,3.512,120.209,11:56:00.162
437,22.0,1.5,51.6,119.922,0.748,25.0,25.3,24.5,24.3,3.549,0.288,2.983,119.922,11:56:01.297
438,21.3,1.5,51.6,120.621,0.709,25.0,25.3,24.5,24.3,2.832,0.24,3.436,120.621,11:56:02.430
439,21.8,1.5,51.6,120.525,0.773,25.0,23.9,24.5,23.8,3.927,0.288,2.983,120.525,11:56:03.568
440,21.8,1.5,51.6,120.217,0.848,25.0,23.9,26.0,24.1,3.323,0.283,3.134,120.217,11:56:04.687
441,21.3,1.5,51.6,119.853,0.797,27.1,23.9,26.0,24.1,4.04,0.255,2.983,119.853,11:56:05.802
442,20.9,1.5,51.6,121.275,0.681,27.1,23.9,24.5,24.3,2.832,0.26,3.247,121.275,11:56:06.926
443,22.3,1.5,51.6,120.767,0.767,25.0,25.3,24.6,24.8,4.04,0.232,4.229,120.767,11:56:08.048
444,21.8,1.5,51.6,120.899,0.714,25.0,25.3,24.5,24.3,3.21,0.313,3.965,120.899,11:56:09.184
