Log,cp_temperature,mixer_temperature_Funnel_outlet,mixer_motor_temperature_M2,mixer_speed_M2,cp_flowrate,ac_flowrate,cp_pressure,cp_temperature_fresh,mixer_pressure,mixer_torque_M1,mixer_speed_M1,mixer_motor_temperature_M1,mixer_torque_M2,Time
55,21.2,24.5,22.0,39.901,3.0,0.0,0.288,22.1,0.236,1.699,39.901,18.8,2.945,10:31:53.131
56,21.2,22.4,22.3,39.553,3.0,0.0,0.278,22.1,0.255,2.19,39.553,19.3,2.794,10:31:54.235
57,21.3,22.4,21.6,39.596,3.0,0.0,0.283,22.1,0.251,1.624,39.596,19.3,2.87,10:31:55.337
58,21.3,24.5,22.3,39.751,3.0,0.0,0.293,22.1,0.243,2.87,39.751,19.3,2.719,10:31:56.439
59,21.3,22.4,21.8,39.476,3.0,0.0,0.282,22.1,0.242,2.379,39.476,19.8,3.512,10:31:57.549
60,21.2,24.5,22.0,40.025,3.0,0.0,0.287,23.5,0.242,3.474,40.025,19.8,2.492,10:31:58.649
61,22.7,22.4,21.6,39.504,3.0,0.0,0.278,22.1,0.247,1.964,39.504,19.8,2.756,10:31:59.753
62,21.2,22.4,21.8,39.319,3.0,0.0,0.291,22.1,0.233,3.096,39.319,19.5,2.756,10:32:00.857
63,21.2,22.4,21.6,39.505,3.0,0.0,0.295,22.1,0.238,2.228,39.505,19.5,2.643,10:32:01.959
64,21.2,22.4,22.0,39.665,3.0,0.0,0.286,22.1,0.269,2.266,39.665,18.8,3.096,10:32:03.066
65,21.3,22.4,22.3,59.832,3.0,0.0,0.28,23.5,0.245,3.436,59.832,20.2,3.663,10:32:04.184
66,21.2,24.5,22.3,60.202,3.0,0.0,0.287,22.1,0.243,2.794,60.202,20.2,3.059,10:32:05.293
67,21.2,22.4,22.0,59.981,3.0,0.0,0.295,22.1,0.25,2.266,59.981,19.5,3.625,10:32:06.402
68,21.2,24.5,22.3,59.884,3.0,0.0,0.287,23.5,0.245,2.039,59.884,19.5,3.247,10:32:07.511
69,22.7,22.4,22.3,59.956,3.0,0.0,0.302,22.1,0.24,2.19,59.956,18.8,2.681,10:32:08.616
70,21.2,22.4,21.8,59.958,3.0,0.0,0.28,23.5,0.247,3.172,59.958,18.8,2.417,10:32:09.717
71,22.7,22.4,21.6,60.077,3.0,0.0,0.303,22.1,0.261,3.549,60.077,19.8,2.53,10:32:10.816
72,21.2,22.4,21.8,60.197,3.0,0.0,0.308,23.5,0.255,2.681,60.197,19.5,2.719,10:32:11.920
73,21.2,24.5,21.6,60.046,3.0,0.0,0.287,22.1,0.251,1.964,60.046,20.0,3.625,10:32:13.025
74,21.2,22.4,22.0,59.842,3.0,0.0,0.269,22.1,0.243,2.19,59.842,18.8,2.832,10:32:14.133
75,21.2,22.4,21.8,60.836,3.0,0.0,0.295,23.5,0.212,3.172,60.836,20.0,2.605,10:32:15.237
76,22.6,22.4,21.8,60.161,3.0,0.0,0.267,22.1,0.265,2.983,60.161,19.1,3.361,10:32:16.342
77,21.2,22.4,22.3,60.492,3.0,0.0,0.275,22.1,0.251,3.21,60.492,19.3,2.908,10:32:17.469
78,21.2,22.4,21.8,60.02,3.0,0.0,0.282,22.1,0.236,2.87,60.02,19.8,3.021,10:32:18.573
79,22.7,24.5,22.3,59.977,3.0,0.0,0.286,22.1,0.255,2.681,59.977,19.3,3.663,10:32:19.675
80,21.2,22.4,21.8,60.254,3.0,0.0,0.306,23.5,0.24,2.719,60.254,20.0,3.059,10:32:20.777
81,22.7,24.5,22.3,59.803,3.0,0.0,0.282,22.1,0.24,2.492,59.803,19.3,2.983,10:32:21.878
82,21.2,22.4,22.3,59.98,3.0,0.0,0.3,22.1,0.233,2.19,59.98,19.8,3.965,10:32:22.984
83,21.2,24.5,22.3,80.409,3.0,0.0,0.262,22.1,0.247,2.341,80.409,18.6,2.681,10:32:24.088
84,22.6,22.4,22.3,81.174,3.0,0.0,0.283,22.1,0.222,2.756,81.174,19.5,3.021,10:32:25.195
85,21.2,22.4,22.3,80.994,3.0,0.0,0.277,22.1,0.243,3.587,80.994,20.0,3.965,10:32:26.297
86,22.7,24.5,22.3,80.401,3.0,0.0,0.293,22.1,0.236,3.134,80.401,19.5,3.172,10:32:27.404
87,21.2,22.4,22.3,80.965,3.0,0.0,0.273,22.1,0.236,2.945,80.965,20.2,3.285,10:32:28.519
88,21.2,22.4,22.3,81.265,3.0,0.0,0.303,22.1,0.237,3.134,81.265,19.5,3.059,10:32:29.622
89,21.2,22.4,21.6,80.38,3.0,0.0,0.282,22.1,0.25,3.436,80.38,19.8,4.154,10:32:30.719
90,21.2,22.4,22.0,80.866,3.0,0.0,0.293,23.5,0.237,2.643,80.866,19.1,2.908,10:32:31.838
91,22.6,24.5,22.3,79.285,3.0,0.0,0.311,22.1,0.261,3.814,79.285,19.8,4.116,10:32:32.942
92,21.2,22.4,22.5,80.605,3.0,0.0,0.262,22.1,0.226,2.945,80.605,19.5,3.436,10:32:34.047
93,21.2,22.4,21.8,80.302,3.0,0.0,0.286,22.1,0.227,3.398,80.302,19.1,3.927,10:32:35.153
94,21.2,24.5,21.8,80.266,3.0,0.0,0.283,22.1,0.259,2.908,80.266,19.8,2.983,10:32:36.257
95,21.2,22.4,22.3,80.226,3.0,0.0,0.273,22.1,0.251,2.568,80.226,19.5,2.681,10:32:37.360
96,22.6,24.5,22.0,80.439,3.0,0.0,0.273,22.1,0.248,2.417,80.439,19.3,4.154,10:32:38.469
97,21.2,22.4,22.7,80.409,3.0,0.0,0.278,23.5,0.228,2.87,80.409,19.3,3.776,10:32:39.574
98,22.6,22.4,22.0,80.44,3.0,0.0,0.255,22.1,0.255,2.53,80.44,19.8,3.587,10:32:40.674
99,21.2,22.4,21.8,80.217,3.0,0.0,0.278,22.1,0.256,2.908,80.217,20.0,3.361,10:32:41.779
100,21.2,22.4,22.0,80.51,3.0,0.0,0.293,23.5,0.256,2.794,80.51,20.0,4.229,10:32:42.900
101,22.6,24.5,22.5,99.443,3.0,0.0,0.302,22.1,0.243,3.776,99.443,18.8,3.436,10:32:44.000
102,21.2,22.4,22.3,99.511,3.0,0.0,0.275,23.5,0.219,2.605,99.511,19.3,3.776,10:32:45.090
103,22.6,22.4,22.3,99.761,3.0,0.0,0.287,22.1,0.24,2.945,99.761,19.3,3.172,10:32:46.195
104,21.2,22.4,22.3,98.969,3.0,0.0,0.283,23.5,0.25,4.154,98.969,19.8,3.172,10:32:47.301
105,21.2,22.4,22.5,99.531,3.0,0.0,0.277,22.1,0.266,3.059,99.531,18.8,3.927,10:32:48.423
106,22.6,22.4,21.8,99.39,3.0,0.0,0.283,22.1,0.231,2.983,99.39,19.5,4.078,10:32:49.532
107,21.2,22.4,22.5,100.405,3.0,0.0,0.278,23.5,0.238,3.852,100.405,20.0,3.738,10:32:50.636
108,22.7,22.4,22.7,99.525,3.0,0.0,0.27,22.1,0.259,2.983,99.525,19.1,4.154,10:32:51.740
109,22.6,22.4,21.6,99.732,3.0,0.0,0.277,22.1,0.248,3.096,99.732,19.5,4.418,10:32:52.851
110,21.2,24.5,22.5,99.859,3.0,0.0,0.288,22.1,0.248,3.512,99.859,19.8,3.059,10:32:53.987
111,21.2,22.4,22.5,99.472,3.0,0.0,0.291,23.5,0.256,3.361,99.472,18.8,3.285,10:32:55.106
112,22.6,22.4,22.3,99.766,3.0,0.0,0.278,22.1,0.255,3.096,99.766,20.2,4.04,10:32:56.208
113,21.2,24.5,22.3,99.53,3.0,0.0,0.287,22.1,0.232,4.418,99.53,20.0,3.776,10:32:57.315
114,21.2,22.4,22.3,99.182,3.0,0.0,0.278,22.1,0.264,3.814,99.182,20.0,4.04,10:32:58.421
115,21.2,22.4,22.5,99.513,3.0,0.0,0.278,22.1,0.245,2.53,99.513,19.3,3.7,10:32:59.525
116,21.2,22.4,22.0,99.709,3.0,0.0,0.311,22.1,0.261,3.134,99.709,19.5,3.549,10:33:00.617
117,22.6,22.4,22.0,99.452,3.0,0.0,0.273,22.1,0.243,2.794,99.452,19.8,3.285,10:33:01.724
118,21.2,22.4,22.3,99.406,3.0,0.0,0.26,22.1,0.254,2.908,99.406,20.4,4.531,10:33:02.855
119,21.2,22.4,22.3,120.045,3.0,0.0,0.27,22.1,0.237,2.945,120.045,19.5,4.305,10:33:03.960
120,22.6,22.4,22.3,120.488,3.0,0.0,0.283,22.1,0.237,3.059,120.488,19.8,2.908,10:33:05.074
121,21.2,24.5,22.3,120.035,3.0,0.0,0.273,22.1,0.269,3.21,120.035,19.8,3.663,10:33:06.183
122,21.2,22.4,22.3,120.466,3.0,0.0,0.293,22.1,0.231,3.965,120.466,20.2,4.229,10:33:07.287
123,21.2,22.4,22.5,119.824,3.0,0.0,0.27,22.1,0.242,3.965,119.824,20.0,4.154,10:33:08.394
124,21.2,24.5,22.7,119.84,3.0,0.0,0.273,22.1,0.243,3.927,119.84,20.2,3.587,10:33:09.503
125,22.6,22.4,22.7,120.114,3.0,0.0,0.283,22.1,0.255,4.531,120.114,19.8,3.776,10:33:10.603
126,21.2,24.5,22.3,119.757,3.0,0.0,0.287,23.5,0.228,3.021,119.757,20.2,4.456,10:33:11.711
127,21.2,22.4,22.3,121.815,3.0,0.0,0.292,22.1,0.242,3.474,121.815,19.8,3.474,10:33:12.815
128,21.2,22.4,22.3,120.185,3.0,0.0,0.269,22.1,0.255,3.549,120.185,19.3,5.324,10:33:13.921
129,21.2,22.4,22.3,118.764,3.0,0.0,0.269,22.1,0.264,4.342,118.764,20.0,3.965,10:33:15.022
130,22.7,22.4,22.7,120.025,3.0,0.0,0.277,22.1,0.243,3.398,120.025,19.8,3.852,10:33:16.126
131,21.2,24.5,22.3,119.718,3.0,0.0,0.262,23.5,0.251,3.776,119.718,19.8,3.889,10:33:17.232
132,22.6,22.4,22.5,120.209,3.0,0.0,0.272,22.1,0.238,3.549,120.209,19.3,3.549,10:33:18.337
133,21.2,22.4,22.7,120.077,3.0,0.0,0.269,23.5,0.28,2.794,120.077,19.8,5.362,10:33:19.437
134,21.2,24.5,22.7,119.983,3.0,0.0,0.272,22.1,0.24,3.889,119.983,19.8,3.21,10:33:20.555
135,22.6,22.4,22.5,120.001,3.0,0.0,0.283,22.1,0.228,3.247,120.001,20.2,5.513,10:33:21.662
136,21.2,22.4,22.3,119.53,3.0,0.0,0.305,23.5,0.232,3.965,119.53,19.8,4.456,10:33:22.766
137,22.6,22.4,22.5,99.673,3.0,0.0,0.278,22.1,0.222,4.229,99.673,20.7,3.587,10:33:23.872
138,21.2,22.4,22.7,99.509,3.0,0.0,0.295,22.0,0.24,2.794,99.509,19.8,3.738,10:33:24.979
139,21.2,24.5,22.7,99.543,3.0,0.0,0.273,23.5,0.232,2.945,99.543,19.8,3.965,10:33:26.100
140,21.2,24.5,22.3,99.924,3.0,0.0,0.28,22.1,0.24,3.21,99.924,20.7,3.059,10:33:27.217
141,21.2,22.5,22.7,99.497,3.0,0.0,0.297,22.1,0.273,3.436,99.497,19.8,4.04,10:33:28.325
142,21.2,22.4,22.3,99.927,3.0,0.0,0.297,23.5,0.238,2.832,99.927,19.8,3.625,10:33:29.433
143,21.2,24.5,22.3,99.63,3.0,0.0,0.267,22.1,0.247,3.776,99.63,19.8,3.096,10:33:30.568
144,22.7,22.4,22.7,99.216,3.0,0.0,0.277,22.1,0.243,3.059,99.216,20.4,4.191,10:33:31.675
145,21.2,22.4,22.3,99.682,3.0,0.0,0.291,23.5,0.269,2.379,99.682,20.2,4.531,10:33:32.780
146,21.2,24.5,22.5,99.63,3.0,0.0,0.27,22.1,0.221,3.361,99.63,20.2,2.983,10:33:33.899
147,22.6,22.5,22.5,99.029,3.0,0.0,0.275,22.1,0.25,3.776,99.029,19.8,3.096,10:33:35.004
148,21.2,22.4,22.5,99.551,3.0,0.0,0.292,23.5,0.24,2.266,99.551,20.2,4.078,10:33:36.108
149,22.6,22.5,22.7,99.587,3.0,0.0,0.277,22.1,0.242,4.078,99.587,19.3,3.7,10:33:37.212
150,21.2,22.5,22.7,98.181,3.0,0.0,0.283,23.5,0.24,5.286,98.181,19.5,3.474,10:33:38.316
151,21.2,22.4,22.7,99.406,3.0,0.0,0.277,22.1,0.251,3.587,99.406,19.8,3.436,10:33:39.441
152,22.6,24.5,22.3,100.08,3.0,0.0,0.286,22.1,0.26,3.021,100.08,20.4,3.512,10:33:40.557
153,21.2,22.5,22.5,99.895,3.0,0.0,0.265,22.0,0.245,2.945,99.895,19.3,3.021,10:33:41.656
154,21.2,24.5,22.7,99.475,3.0,0.0,0.269,22.1,0.254,3.474,99.475,19.5,3.814,10:33:42.759
155,22.7,24.5,22.5,81.168,3.0,0.0,0.286,22.1,0.242,2.832,81.168,19.8,3.436,10:33:43.881
156,21.2,22.5,22.5,80.347,3.0,0.0,0.267,22.1,0.273,2.756,80.347,19.5,2.681,10:33:44.995
157,21.2,22.5,22.5,80.563,3.0,0.0,0.282,23.5,0.233,3.852,80.563,20.4,3.247,10:33:46.115
158,21.2,22.5,22.3,80.452,3.0,0.0,0.265,22.1,0.223,4.229,80.452,20.4,2.832,10:33:47.239
159,22.6,24.5,22.7,81.328,3.0,0.0,0.278,22.1,0.259,3.323,81.328,20.4,3.398,10:33:48.355
160,21.2,22.5,22.7,80.584,3.0,0.0,0.262,22.0,0.264,3.776,80.584,20.2,2.945,10:33:49.476
161,21.2,22.5,22.3,80.547,3.0,0.0,0.283,22.1,0.26,3.096,80.547,19.3,3.323,10:33:50.582
162,22.6,24.5,22.7,81.293,3.0,0.0,0.282,22.1,0.242,3.852,81.293,20.2,2.53,10:33:51.698
163,21.2,22.5,22.7,80.718,3.0,0.0,0.273,23.5,0.261,3.927,80.718,20.4,3.738,10:33:52.813
164,21.2,22.5,22.7,80.5,3.0,0.0,0.282,22.1,0.236,3.059,80.5,20.0,2.605,10:33:53.918
165,22.6,24.5,22.7,81.133,3.0,0.0,0.275,22.1,0.223,3.361,81.133,19.8,3.134,10:33:55.036
166,21.2,22.5,22.7,79.656,3.0,0.0,0.293,23.5,0.251,3.059,79.656,20.2,3.059,10:33:56.141
167,21.2,22.5,22.5,80.762,3.0,0.0,0.27,23.5,0.256,4.229,80.762,19.8,3.927,10:33:57.276
168,22.6,22.5,22.5,80.427,3.0,0.0,0.272,22.1,0.247,2.87,80.427,20.0,3.21,10:33:58.380
169,21.2,22.5,22.5,79.816,3.0,0.0,0.272,22.1,0.228,3.323,79.816,20.4,3.889,10:33:59.489
170,21.2,22.5,22.7,79.978,3.0,0.0,0.26,23.5,0.27,3.474,79.978,20.2,2.605,10:34:00.613
171,21.2,22.5,22.5,79.204,3.0,0.0,0.273,22.1,0.199,3.927,79.204,20.4,3.398,10:34:01.720
172,21.2,24.5,22.9,80.103,3.0,0.0,0.283,22.0,0.254,3.323,80.103,20.2,3.172,10:34:02.825
173,21.2,22.5,22.7,59.874,3.0,0.0,0.26,22.0,0.261,3.21,59.874,19.8,2.643,10:34:03.926
174,22.6,22.5,22.9,59.976,3.0,0.0,0.283,22.0,0.232,3.096,59.976,20.4,3.247,10:34:05.047
175,21.2,24.5,22.7,59.073,3.0,0.0,0.31,22.0,0.232,3.852,59.073,20.0,3.436,10:34:06.168
176,21.2,22.5,22.7,60.043,3.0,0.0,0.278,23.5,0.237,2.719,60.043,19.8,3.059,10:34:07.272
177,21.2,22.5,22.9,59.767,3.0,0.0,0.287,22.0,0.242,2.303,59.767,19.3,3.398,10:34:08.394
178,22.6,22.5,22.7,60.003,3.0,0.0,0.267,22.1,0.26,2.756,59.93,20.2,4.04,10:34:09.512
179,21.2,24.5,23.2,60.079,3.0,0.0,0.295,22.1,0.24,2.681,60.079,20.4,2.87,10:34:10.648
180,21.2,22.5,22.5,59.982,3.0,0.0,0.282,22.1,0.243,2.454,59.982,19.5,2.643,10:34:11.750
181,21.2,22.5,22.7,59.764,3.0,0.0,0.272,22.0,0.223,3.021,59.764,20.2,3.021,10:34:12.869
182,21.2,22.5,22.7,60.024,3.0,0.0,0.267,22.1,0.232,2.341,60.024,19.5,4.607,10:34:13.987
183,21.2,22.5,23.2,59.723,3.0,0.0,0.282,22.1,0.245,2.379,59.723,20.2,2.87,10:34:15.090
184,22.6,22.5,22.5,60.274,3.0,0.0,0.229,22.1,0.265,2.908,60.274,19.8,2.832,10:34:16.210
185,22.6,22.5,22.7,59.88,3.0,0.0,0.278,22.0,0.232,2.643,59.88,19.5,2.454,10:34:17.327
186,21.2,24.5,22.9,59.933,3.0,0.0,0.287,23.5,0.245,3.021,59.933,20.2,3.096,10:34:18.434
187,22.6,22.5,22.7,59.927,3.0,0.0,0.282,22.1,0.24,2.568,59.927,20.0,3.247,10:34:19.539
188,21.2,24.6,22.9,59.868,3.0,0.0,0.275,23.5,0.237,2.341,59.868,20.4,2.643,10:34:20.644
189,21.2,22.5,22.7,60.114,3.0,0.0,0.273,22.0,0.216,3.361,60.114,19.8,2.794,10:34:21.748
190,22.6,22.5,22.7,59.98,3.0,0.0,0.273,22.0,0.251,2.228,59.98,20.4,2.756,10:34:22.865
191,21.2,24.5,22.9,39.845,3.0,0.0,0.245,23.5,0.264,1.964,39.845,20.7,1.926,10:34:23.982
192,21.2,24.6,22.9,39.635,3.0,0.0,0.269,23.5,0.254,2.115,39.635,20.4,2.983,10:34:25.120
193,21.2,22.5,22.7,39.798,3.0,0.0,0.269,22.0,0.228,3.285,39.798,20.0,2.643,10:34:26.224
194,22.6,22.5,22.3,39.695,3.0,0.0,0.291,22.1,0.251,1.812,39.695,19.8,2.832,10:34:27.348
195,21.2,22.5,22.7,39.596,3.0,0.0,0.272,22.1,0.243,2.681,39.596,19.8,1.775,10:34:28.466
196,21.2,24.5,22.3,39.419,3.0,0.0,0.287,23.5,0.248,2.341,39.419,20.0,3.021,10:34:29.588
197,21.2,22.5,22.5,40.49,3.0,0.0,0.264,22.0,0.227,2.303,40.49,20.0,2.417,10:34:30.706
198,22.6,22.5,22.7,39.648,3.0,0.0,0.249,22.0,0.247,1.699,39.648,20.7,2.983,10:34:31.827
199,21.2,22.5,22.7,39.693,3.0,0.0,0.277,22.0,0.232,3.172,39.693,19.8,3.134,10:34:32.933
200,21.2,22.5,22.7,39.547,3.0,0.0,0.267,22.0,0.248,2.039,39.547,20.4,2.266,10:34:34.037
201,22.6,22.5,23.2,39.449,3.0,0.0,0.297,22.0,0.221,2.87,39.449,20.4,2.908,10:34:35.167
202,21.2,22.5,22.3,39.628,3.0,0.0,0.303,22.0,0.227,2.152,39.628,20.4,2.341,10:34:36.291
203,21.2,22.5,22.7,39.679,3.0,0.0,0.273,22.0,0.236,2.303,39.679,19.8,2.454,10:34:37.413
204,21.2,24.6,22.7,39.567,3.0,0.0,0.275,22.1,0.259,2.379,39.567,19.3,2.417,10:34:38.531
205,21.2,22.5,22.7,39.681,3.0,0.0,0.287,22.1,0.254,1.812,39.681,20.4,3.172,10:34:39.656
206,21.2,22.5,22.7,39.732,3.0,0.0,0.27,23.5,0.273,2.454,39.732,20.0,2.228,10:34:40.752
207,21.2,24.6,22.7,39.683,3.0,0.0,0.27,22.0,0.236,2.152,39.683,20.4,2.19,10:34:41.872
208,21.2,24.6,22.7,39.513,3.0,0.0,0.277,22.0,0.228,2.681,39.513,20.9,2.832,10:34:42.998
209,22.6,22.5,22.3,20.329,3.0,0.0,0.282,22.1,0.269,1.624,20.329,20.4,2.077,10:34:44.117
210,21.2,22.5,22.7,20.665,3.0,0.0,0.253,22.0,0.28,1.85,20.665,19.5,1.812,10:34:45.233
211,21.2,22.5,22.7,20.367,3.0,0.0,0.287,23.5,0.243,1.51,20.367,19.5,2.001,10:34:46.354
212,21.2,24.6,22.9,20.23,3.0,0.0,0.277,22.0,0.25,2.077,20.23,20.4,2.039,10:34:47.489
213,22.6,24.6,22.9,20.465,3.0,0.0,0.25,22.0,0.242,1.812,20.465,20.0,1.51,10:34:48.607
214,22.6,22.5,22.5,20.049,3.0,0.0,0.277,22.1,0.243,1.737,20.049,19.8,2.341,10:34:49.739
215,21.2,22.5,22.3,20.317,3.0,0.0,0.293,22.1,0.281,2.228,20.317,20.2,3.361,10:34:50.872
216,22.6,22.5,22.5,20.284,3.0,0.0,0.262,22.0,0.245,1.85,20.284,20.7,2.303,10:34:52.017
217,21.2,22.5,22.7,20.517,3.0,0.0,0.272,22.0,0.269,1.888,20.517,20.9,3.059,10:34:53.151
218,21.2,22.5,23.2,20.384,3.0,0.0,0.267,23.5,0.248,1.85,20.384,20.7,2.605,10:34:54.271
219,21.2,22.5,22.7,20.231,3.0,0.0,0.243,22.0,0.25,2.039,20.231,19.3,2.417,10:34:55.384
220,21.2,22.5,22.9,20.452,3.0,0.0,0.293,23.5,0.223,1.661,20.452,20.2,3.134,10:34:56.520
221,22.6,22.5,22.7,20.33,3.0,0.0,0.245,22.0,0.286,2.568,20.33,20.0,2.492,10:34:57.640
