normalized_point,LORA_current_uA,LORA_max_voltage,LORA_min_voltage,BLE_current_uA,BLE_max_voltage,BLE_min_voltage,TX_current_uA,TX_max_voltage,TX_min_voltage,VDD_CAP_current_uA,VDD_CAP_max_voltage,VDD_CAP_min_voltage
59,90,0.805428586,0.794923414,90,0.805929502,0.797101498,90,1.525527867,1.433855133,,,
60,95,0.806997936,0.796432064,95,0.807379637,0.798566363,95,1.529586502,1.438925498,,,
61,100,0.808418976,0.797846024,100,0.808724967,0.800017033,100,1.533246439,1.443777561,,,
62,105,0.809797542,0.799161458,105,0.810045891,0.801356109,105,1.536771343,1.448801657,,,
63,110,0.811075115,0.800491885,110,0.8112856,0.8026544,110,1.540026789,1.453043211,,,
64,115,0.812308654,0.801809346,115,0.812507733,0.803872267,115,1.543150379,1.456960621,,,
65,120,0.813466538,0.803008462,120,0.813643773,0.805077227,120,1.546092345,1.460798655,,,
66,125,0.814569035,0.804092965,125,0.814740473,0.806203527,125,1.548975677,1.464634323,,,
67,130,0.815350279,0.805208721,130,0.815804044,0.807320956,130,1.551664867,1.468281133,,,
68,135,0.816586785,0.806351215,135,0.816845433,0.808357567,135,1.554215342,1.471410658,,,
69,140,0.817540369,0.807393631,140,0.81783012,0.80938788,140,1.556592288,1.474717712,,,
70,145,0.818475429,0.808290571,145,0.818787608,0.810372392,145,1.558950126,1.477672874,,,
71,150,0.819392134,0.809320866,150,0.819691564,0.811355436,150,1.561269897,1.480609103,,,
72,155,0.820036328,0.810315672,155,0.820588855,0.812257145,155,1.563519655,1.483506345,,,
73,160,0.82111128,0.81116572,160,0.821464345,0.813169655,160,1.565540645,1.486131355,,,
74,165,0.821913111,0.812039889,165,0.822303424,0.814037576,165,1.567522336,1.488791664,,,
75,170,0.822717495,0.812924505,170,0.823127614,0.814888386,170,1.569384198,1.491298802,,,
76,175,0.82352145,0.81374855,175,0.823907581,0.815717419,175,1.57132653,1.49403347,,,
77,180,0.824326851,0.814482149,180,0.8246738,0.8165322,180,1.573194421,1.496257579,,,
78,185,0.825060183,0.815361817,185,0.825438814,0.817315186,185,1.574956185,1.498531815,,,
79,190,0.825755858,0.816159142,190,0.826163798,0.818076202,190,1.576610089,1.500623911,,,
80,195,0.826508191,0.816961809,195,0.826895768,0.818802232,195,1.578338406,1.502798594,,,
81,200,0.827096408,0.817708592,200,0.82756633,0.81953367,200,1.579948746,1.504730254,,,
